twitter_id,date,tweet
1546243495953739776,2022-07-10 21:22:31+00:00,"b'Thank you, whoever came up with fish and chips.'"
1545934663906037760,2022-07-10 00:55:20+00:00,"b""@yorgakos @CuckSwarm @fraac1 It's really well made by the way, check it out. https://t.co/lH8aF0Z6Uz"""
1545934415997440001,2022-07-10 00:54:21+00:00,"b""@yorgakos @CuckSwarm @fraac1 Hey it sort of felt like I willed that pixel graphics circuit board game into existence, which is close enough to success as i need.\n\nIf it's even a thing. I call it new vague."""
1545933008166801408,2022-07-10 00:48:45+00:00,"b'@yorgakos @CuckSwarm @fraac1 You know what, thank you.'"
1545932205137940480,2022-07-10 00:45:34+00:00,b'@yorgakos @CuckSwarm @fraac1 What if I prefer it without expectations?\nWhat if plans prevent beauty? (other than the beauty of pulling off a plan that is)'
1545929967787130880,2022-07-10 00:36:40+00:00,"b""@yorgakos @CuckSwarm @fraac1 So there might be something undiagnosed in play here, but i'm happy."""
1545929835670687744,2022-07-10 00:36:09+00:00,"b""@yorgakos @CuckSwarm @fraac1 Oh and it might look like a loop to an observer, but that is me being home doing the things I actually enjoy. I'll pop out every once in a while since it makes people happy, but there's so much more information in there.\n\nI wish I could finally grasp the hilbert curve encoding."""
1545928596996272128,2022-07-10 00:31:14+00:00,"b'@yorgakos @CuckSwarm @fraac1 oh yeah covid really happened with the worst timing.\n\nI have been feeling a creative drive fairly consistenly over the last couple of months rather the one-day spiked I used to get.\n\nSo like i open up software from time to time now, but there defintiely are new habits in place.'"
1545927385714806784,2022-07-10 00:26:25+00:00,"b""@tylerguitar_ @fraac1 Now people want me to do more, and i'm super curious to see if I could make something interesting to the fans and I have a bunch of ideas, but I'm very lazy and now that I don't need a job, I can just do my very favorite thing all the time.\n\nThink about cubes and shit."""
1545927116922925057,2022-07-10 00:25:21+00:00,"b""@tylerguitar_ @fraac1 Like I should've told the guy who was when I tried to give back the award for entrepreneur of the year because I'm not an entrepreneur:\n\nI'm not being humble, I literally just stumbled a successful product while looking for something else when seeing if I could actually do it."""
1545926490117656577,2022-07-10 00:22:51+00:00,"b'@tylerguitar_ @fraac1 Yes, but nothing for the public.\n\nI do programming stuff all the time, just not in marketable forms.'"
1545926272353648643,2022-07-10 00:21:59+00:00,b'@ECCL211 @YourNerdWonder I guess this is actually more true than i give it credit for.'
1545925928798371842,2022-07-10 00:20:37+00:00,b'@DoomYassha Yeah the rockstar life sure seems rough.'
1545925239871197185,2022-07-10 00:17:53+00:00,"b""@CuckSwarm @fraac1 Oh you're blaming the wrong thing, the plant is actually attempt to fix that problem. Main problem is laziness and lack of interest and kind of lack of challenge.\n\ndid a bit too well.. oopsie poopsies"""
1545924525690212353,2022-07-10 00:15:03+00:00,b'@DoomYassha nah i have to stop playing games in my mansion to do a huge party.'
1545924095237271553,2022-07-10 00:13:20+00:00,"b""@Mikeybay64 @fraac1 Worked great, but i don't keep it around for a reason."""
1545923984771796993,2022-07-10 00:12:54+00:00,"b""@Mikeybay64 @fraac1 Not now, i have a big party tonight and was worried about sleep since i've been up playing this incredible game i want to play nonstop now.\ngot a sleep ai and went to see the xandman at midnight when the urge got stronger."""
1545923286629945344,2022-07-10 00:10:08+00:00,"b""@yorgakos @muddyfiftysix yes, these requirements are since the soul, but money's made it easier to find via doing great gatsby shit.\n\nNut mostly i just described a normal relationship, as they all end from someone finding someone else, feeling neglected, or falling out of love and wanting to move on"""
1545922126883930114,2022-07-10 00:05:31+00:00,"b""@Mikeybay64 i like figuring things out, and it's usually not too bad once I finally realize there even is a thing to figure out in the first place."""
1545921862344904704,2022-07-10 00:04:28+00:00,"b""@Mikeybay64 If this is a role you seek, you seem sort of like the type I'd work with. I don't like the dm and actual conversation part though, this one is known to balk at backseat driving.\n\nBut coming across the gentle nudge here or there that gently helps steer the vessel is acceptable."""
1545921062172446721,2022-07-10 00:01:17+00:00,"b""@xnite @tylerguitar_ I don't want to attract people who expect something other than what I'm offering.\n\nNor do I want to be attracted to someone who offers only to find out they actually don't have that."""
1545919998689832960,2022-07-09 23:57:04+00:00,b'@fraac1 Three hours since I woke up that is. From like 12 hours of badly needed sleep.'
1545919888799150081,2022-07-09 23:56:37+00:00,"b""@fraac1 No this sucks.\nSure it worked and made me sleep, but it's been three hours and I still feel it.\n\nSure, it's comfortable and all I want to do is sleep and muse about things, but I've got stuff to do man."""
1545919464184524800,2022-07-09 23:54:56+00:00,"b""@muddyfiftysix Well I guess it's at least describing what i primarily look for in a relationship in overly prosaic words.\n\nSo i guess it's actually my list. There's no joke, only confession guised as joke. Hey at least that's original."""
1545919020108419072,2022-07-09 23:53:10+00:00,"b'@tylerguitar_ @its_thetroll Abstract artwork appeals to nobody but looks cool,\nportraits make you seem shallow, and anime characters is a weird cult.'"
1545918719997538304,2022-07-09 23:51:59+00:00,b'@tylerguitar_ @its_thetroll You have any idea how cute some girls find this?'
1545918658362322944,2022-07-09 23:51:44+00:00,b'@tylerguitar_ @its_thetroll This is a more grown up profile pic.'
1545918027094298624,2022-07-09 23:49:14+00:00,"b""You do know i just described a normal relationship? They lasts until someone wants to do something else, doesn't feel like they're getting what they need, or falls in love with some else.\n\n(this is the reverse order from the original list btw)"""
1545917620599136258,2022-07-09 23:47:37+00:00,"b""@JakeTheSnoop72 It's not a wishlist. It's a real thing and i've had it multiple times. It usually ends up failing on the third or first entry\n\nOh and hint:, i just described a normal relationship.\nYou need to take care without feeling neglected and if you lose interest in the person you move on."""
1545916921257725952,2022-07-09 23:44:50+00:00,"b'@LTSVoice Not sure exactly what the definition of that is or why (and if) they prefer it over ""the flow state""\n\nI will think about anything openly, honestly and meanderingly when i\'m working on something and in flow state. including this stuff, if that answers your question.'"
1545916175397269504,2022-07-09 23:41:52+00:00,"b'@its_thetroll @tylerguitar_ you know what, i agree'"
1545915820861140992,2022-07-09 23:40:28+00:00,"b""@YourNerdWonder It's more like that's all i accept, not really looking for it per se.\n\nLooking for things makes you compromise, or worse, feel like you created and own.\nAccepting something that floats by makes you curious and feel lucky."""
1545915279355416576,2022-07-09 23:38:18+00:00,"b""@GarakPassive no thank you.\n\nWorse than being a guy, you're being pushy when i don't secretly wished for it, so now it's suddenly like the worst thing in the world.\n\nSo I guess you people really have no choice other than to guess when it's appropriate to guess to us people"""
1545914545561997312,2022-07-09 23:35:24+00:00,b'@tylerguitar_ UwU'
1545914120771235840,2022-07-09 23:33:42+00:00,"b""@JonsLongs I doubt it, my physical body seem to require a lot of attention and sometimes.\n\nBut hopefully i get to transcend it at some point so what we like is easier to chance. I'd try all the stuff!"""
1545913553642655745,2022-07-09 23:31:27+00:00,"b""@GarakPassive Smirking. So I'm smirk gay, not smile gay."""
1545913383731441664,2022-07-09 23:30:47+00:00,"b""@GarakPassive The one time would be seeing a gif of a young marlon brandon smiling, but other than that I never seem to do a second glance at a guy.\n\nimo we're kinda dull looking"""
1545913021872029698,2022-07-09 23:29:20+00:00,"b""@aaronuart That's well fucking done and I'm proud by the both of you!"""
1545912802153357312,2022-07-09 23:28:28+00:00,"b""also if you didn't catch that, that one represents the mind in the body/mind/soul family."""
1545912562058792960,2022-07-09 23:27:31+00:00,b'The third one had ended more relationships than the first two combined'
1545912473768697856,2022-07-09 23:27:10+00:00,"b""My perfect relationship:\n1) We are as free as our souls need, there is no trace of must or even should.\n2) We fulfil everything our bodies need, we never feel judged or mind trying.\n3) We somehow don't lose interest the second we pull this off."""
1545900403782406144,2022-07-09 22:39:12+00:00,"b'ERRATA: There\'s not enough information as written to understand the joke with no prior information.\n\nThere was a late edit of the joke, and the ""i"" in ""i18n"" got accidentally removed.\n\nAgain, the actual spelling is ""i18n"". But ""i5n"" is right out.'"
1545899699407704064,2022-07-09 22:36:24+00:00,"b""@calrogman Jesus christ, this ruins the joke for people who don't know of the concept.\n\nMust've gone when I added the quotations marks for highlighting.\n\nThanks, I'll add an errata."""
1545899249237250048,2022-07-09 22:34:37+00:00,b'RT @Iotusroot: obsessed with this fucking video she looks so uncanny https://t.co/pZUNyOJdXX'
1545898818566123520,2022-07-09 22:32:54+00:00,"b'The guy who came up with ""18n"" for internationalization probably has so much ""s1x"".\n\nYou know who else wishes that? ""i-1i""'"
1545894679652093953,2022-07-09 22:16:27+00:00,"b'Hm, I was going for ""cart"", but didn\'t realize obviously people assume the regular letter in time to stop curt from happening.'"
1545893728807636993,2022-07-09 22:12:40+00:00,"b""I'm a bad ass motherf*rter. Seriously, I'll f*rt you up if you lookiat me wrong, c*rt"""
1545829277156773889,2022-07-09 17:56:34+00:00,"b'@RaveCaveMan ""Hey, what object would you like to receive"" usually works.'"
1545829107895717889,2022-07-09 17:55:54+00:00,"b""@LevitatorThe @tehbignic Especially considering we frequently spread half truths about people we've decided to be upset with, and how rumors propagate more the more delicious they are.\n\nThat's just bad design by whoever invented humans living together, but I think I'll play other games than care."""
1545828291205947392,2022-07-09 17:52:39+00:00,"b'@DAVID_FIRTH @anon_opin Arguably the benefit to originality is you discover new ideas that way. If you discover something you REALLY like, why keep searching?\n\nI guess it depends if you love it when something works out or if you immediately lose interest as soon as you got it.'"
1545827637578174466,2022-07-09 17:50:03+00:00,"b""Finding out they regifted the thing you were sure they'd love should not offend you, it just means they're not you. If you cared at all, you wold jump at the opportunity to get to know your friend better.\n\n... after apologizing for giving them a bad gift."""
1545826666236170240,2022-07-09 17:46:11+00:00,"b""Good life advice is not telling them what you've done or a list of things you'd wish others did, it's figuring out what your experiences can do to help do as they want."""
1545780166999171086,2022-07-09 14:41:25+00:00,"b'Oh and if people were to, say, use this decent explanation as incidental evidence that seems to imply I think through all my opinions and they probably make sense from some angle, that would be AMAZING for me.'"
1545779671173775360,2022-07-09 14:39:27+00:00,b'The rationale for this is that meta programming is so much more fun and long term beneficial it will kill the original. Best case make it a sample implemention.\n\nIt will also ruin a pure meta project with real life compromises. It will not always be either incomplete or a game.'
1545779108616867842,2022-07-09 14:37:13+00:00,"b""My rule for fancy adding meta programming/development mechanics like dynamic recompilers, extending asset hotswapping, or ading the ability tie any vairable to a midi input:\n\nDo not add it unless the project started out meta.\nThe second you add anything not meta, it's never meta."""
1545777956097626112,2022-07-09 14:32:38+00:00,"b""@tehbignic Skipping words, I see. I got a xanax from a friend because I was freaking out over lost sleep and have a huge party tomorrow.\n\noh yeah speaking off, i'm on twitter again aren't i"""
1545777689604239360,2022-07-09 14:31:35+00:00,"b'@tehbignic ""Why is he saying so random things"".\nIt\'s because right now you\'re being in denial and saying things will only make them get added to your mental walls, my friend.\n\nI said it to leave a crumbtrail for you to accidentally get curious about and them form your own thoughts.'"
1545777204235104257,2022-07-09 14:29:39+00:00,"b'@tehbignic And the puzzle in there, how to reach through to someone, is amazingly addictive.'"
1545777121145942016,2022-07-09 14:29:19+00:00,"b'@tehbignic You know, like trying to convince your friend he honestly could save money by not going to his back cracker or not have a bottle telling hem when to drink water.\n\nPeople will make up all sorts of lies to cover up what just is a nice thing to them and is completely fine.'"
1545776876672540672,2022-07-09 14:28:21+00:00,"b""@tehbignic That's the thing, I usually argue not because I think thet might be right about whatever it is they got going on.\nIt usually starts with me trying to throw them a bone at how to realize they might be wrong, then devolves into them obviously not wanting it and me having fun."""
1545776390649221120,2022-07-09 14:26:25+00:00,"b'@bbbbbbhgd @tehbignic Hi! Sorry for indulging in this rather than talking to you the actually pleasant people out there...\n\nSame problem as the other one actually, if we just to to get rid of problems, they grow.'"
1545775927061204994,2022-07-09 14:24:34+00:00,"b""@tehbignic He's dead from shooting himself in the heed."""
1545775350809890821,2022-07-09 14:22:17+00:00,"b""@tehbignic Yeah you'd probably hate caring."""
1545775244899545089,2022-07-09 14:21:52+00:00,"b""@Sky42515241 Nah I'm still part of us mostly. Do a lot of video games maybe.\n\nI mostly said that because the twist felt like it made it deep.\n(possibly is too)"""
1545774684838322176,2022-07-09 14:19:38+00:00,"b""@kidApokalypz 'es blind, innit"""
1545774589019467776,2022-07-09 14:19:15+00:00,"b""I feel so bad arguing with stupid people upset about whatever their lives will allow, but man it's like trying to put down a fidget spinner sometimes."""
1545774280775847936,2022-07-09 14:18:02+00:00,"b""@tehbignic Oh yeah, what happens when you do? Please fill me in, I'm curious."""
1545774117781024768,2022-07-09 14:17:23+00:00,b'@tehbignic The greek letter based pissing content that seems unironic also gives you away more than your priorities'
1545773972066734080,2022-07-09 14:16:48+00:00,"b'@tehbignic I mean that IS what people do, right?'"
1545773900168138753,2022-07-09 14:16:31+00:00,"b'@tehbignic Oh that was a boxing invitations? That explains the video part!\n\nPardon me for misreading that, but man my mental canon of you was getting kind of neat.\n\nAs much as I like holding on to those ideas, I will try to actually learn and re-evaluate you based on finding out i was wrong'"
1545773387615576069,2022-07-09 14:14:29+00:00,"b'@tehbignic Also, I am not quitting porn, the girls like watching it too much.'"
1545773177598447616,2022-07-09 14:13:39+00:00,"b'@tehbignic It was more the threats of violence, bruce'"
1545772685627518976,2022-07-09 14:11:41+00:00,"b""Never pay to fix something that bothers you unless you really have zero idea how the free market works.\n\nThat's why we have people telling us the world is shit"""
1545772248606199809,2022-07-09 14:09:57+00:00,"b""@copersband @Sanfilzands @birdmademejoin @VdaGr82 If you just treat the symptoms, it will keep coming back.\nSo you better not pay for things you want to get rid of, or you ARE making a market that rewards people who don't actually treat it.\n\nYou know like painkillers, acupuncture, politics"""
1545771826466287616,2022-07-09 14:08:17+00:00,"b""@copersband @Sanfilzands @birdmademejoin @VdaGr82 But it's good to understand a problem instead of its symptoms."""
1545771698733006848,2022-07-09 14:07:46+00:00,"b'@copersband @Sanfilzands @birdmademejoin @VdaGr82 And honestly your tribe doing well at the expense of others is such a massive high of biological reward functions, I might be able to accept that trade.'"
1545771312928370688,2022-07-09 14:06:14+00:00,"b'@copersband @Sanfilzands @birdmademejoin @VdaGr82 If everybody ""gets theirs"" and we sort of like it when it\'s us or our friends, it absolutely will be.'"
1545770928834957312,2022-07-09 14:04:43+00:00,"b'@tehbignic You know, you seem overly aggressive and daft, maybe quit the roids while you still have a dick man'"
1545770677344411648,2022-07-09 14:03:43+00:00,"b""@tehbignic Enjoying the other people out in the world doesn't mean I need them to get to me.\n\nDo you worry what your pets think about you? How about the trees during a nice walk?"""
1545770345386217472,2022-07-09 14:02:24+00:00,"b""@Sanfilzands @birdmademejoin @VdaGr82 Me personally? I don't think so, but that does flipping hilarous"""
1545770132907077634,2022-07-09 14:01:33+00:00,"b""I admire a friend who will do anything to get paid. He's got a kid he wants to spoil for crying out loud, so he's become great at suckering people into legit thinking they got a good deal.\nSelling a security package? Just tell them the crime rates.\nMan I miss society"""
1545769300086050817,2022-07-09 13:58:14+00:00,b'@ultramegawatch I may have had it.\n\nI found a something something kush in spain that rocked my world. Best prolonged dinner ending with nonsense conversation in a hammock i sort of was a afraid to leave.'
1545768890990354432,2022-07-09 13:56:37+00:00,b'@tehbignic The fact that the vast majority of us it dumb as shit should be no surprise to you.'
1545768785155465218,2022-07-09 13:56:12+00:00,"b""@tehbignic The world could think I'm a lobster for all reality or i care."""
1545768576568594432,2022-07-09 13:55:22+00:00,"b""Yeah. It's be over very fast though unels you resampled i. And it probably would look nothing like music considering how little spectrum resoluton we have.\n\nI wonder about the other way around.. Would the music come out with basically just three frequencies used?"""
1545768498793553921,2022-07-09 13:55:03+00:00,"b'@vadiks20032 Hey I liked your frequency question, it made me think. And I might have reply in case you still care:'"
1545767236144549888,2022-07-09 13:50:02+00:00,b'@tehbignic Are you seriously that out of control you need to use your physical body to get shit done?'
1545767015264047104,2022-07-09 13:49:10+00:00,"b""@ultramegawatch I never figure out which one I like in a way that will also let me remember what I was doing the experiment for or to retain any memories of any of the samples.\n\nI've actually tried it. Twice\n\nBut sativas are my main thing, I even like the slightly sour flavor"""
1545766202286301191,2022-07-09 13:45:56+00:00,b'@tehbignic No. Fuck your labels.'
1545766114075893760,2022-07-09 13:45:35+00:00,"b""@tehbignic I don't care if you think there's a better me, I don't."""
1545765882407751680,2022-07-09 13:44:39+00:00,"b'@tehbignic Not the war, the operation.\n\n(this is a metaphor for political opinons starting to turn, I am unaware of any actual plans)'"
1545764497725345793,2022-07-09 13:39:09+00:00,"b""@tehbignic Maybe you're just in it for the edgy tweets though, which is understandable. I do those mostly as replies these days to keep the audience size down. The jokes work better that way."""
1545764205814435840,2022-07-09 13:38:00+00:00,"b""@tehbignic Oh and in case you didn't notice, the ship is now facing the right direction. My part of the job is no longer needed \n\nI do more harm than done if dealing with the basic day ot the day stuff, people think way too short term with that."""
1545763816507523072,2022-07-09 13:36:27+00:00,"b""@tehbignic Cool, I usually get the opposite reason! :D\n\nNot sure what to tell you though, I suppose thanks for giving me data on what opinions of mine people enjoy and would want more off, but I'm just being me here.\nI don't care if you like it. :)"""
1545763290373955585,2022-07-09 13:34:21+00:00,b'@karnisgodplayz2 @SatisfactoryAF I jus failed o press he  button'
1545762705130147842,2022-07-09 13:32:02+00:00,b'@Kurz_Gesagt So more like the end is nay'
1545762548221325312,2022-07-09 13:31:25+00:00,"b'@birdmademejoin @VdaGr82 Yeah this is the worst part of the sale. Almost everything else obviously makes up for that, my price is WAAAY lover than that.\n\nBut boo corporate pissing on kids having fun because they got bitched at by some moms.'"
1545761997056159745,2022-07-09 13:29:13+00:00,"b'People always wonder howitzer, but nobody ever asks whereitzer.'"
1545761600107212800,2022-07-09 13:27:38+00:00,"b""@SatisfactoryAF But she's got he best spaghetti."""
