twitter_id,date,tweet
1546582501014925312,2022-07-11 19:49:37+00:00,b'Geng begadang \xf0\x9f\x94\xa5'
1546035599194619904,2022-07-10 07:36:25+00:00,b'Alhamdulillah https://t.co/razt0tSrHp'
1545651360108257282,2022-07-09 06:09:35+00:00,b'RT @Alhamdhulillaah: Ya All\xc4\x81h facilitate us to worship You on the plains of Arafat next year \xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbd\xf0\x9f\x98\xad https://t.co/ZPQeBiBlKx'
1545419320821694465,2022-07-08 14:47:33+00:00,b'RT @Alhamdhulillaah: Being close to Allah multiplies your happiness'
1544922524164976641,2022-07-07 05:53:27+00:00,b'Bismillah \xe2\x9d\xa4\xef\xb8\x8f'
1544664665040769024,2022-07-06 12:48:49+00:00,b'RT @Alhamdhulillaah: Victory comes only from Allah.\n\n#Quran 8:10'
1544323096823615488,2022-07-05 14:11:33+00:00,b'Sakit kepala \xf0\x9f\x98\xb5\xe2\x80\x8d\xf0\x9f\x92\xab'
1544010483195609088,2022-07-04 17:29:20+00:00,b'\xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbb'
1543553806730141697,2022-07-03 11:14:40+00:00,b'Laksa \xe2\x9d\xa4\xef\xb8\x8f https://t.co/5SuMGOlt3J'
1543157173748137984,2022-07-02 08:58:35+00:00,b'RT @Alhamdhulillaah: Guide us to the straight path\n\n#Quran 1:6'
1542923379476668417,2022-07-01 17:29:34+00:00,b'\xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbb'
1542880419053375488,2022-07-01 14:38:51+00:00,b'RT @GreatestQuotes: The only person you are destined to become is the person you decide to be. - Ralph Waldo Emerson'
1542826577968656384,2022-07-01 11:04:55+00:00,b'Sudah.'
1542819498465841157,2022-07-01 10:36:47+00:00,b'Selalu dan selalu.. *fiuuuh'
1541755522248224769,2022-06-28 12:08:55+00:00,"b'Tiba-tiba inget jaman kecil, jam segini baru pulang ngaji dan Al-quran nya masih ada sampai sekarang \xe2\x9d\xa4\xef\xb8\x8f'"
1541685056208773121,2022-06-28 07:28:55+00:00,b'Bismillah untuk semuanya \xe2\x9d\xa4\xef\xb8\x8f'
