twitter_id,date,tweet
1546345598168846336,2022-07-11 04:08:14+00:00,"b'The new and VERY STUPID trend is   Sinophobia \n- racism against China, or against anyone who has Asian features\n\nThe world is heading to a point of no return'"
1546295608662786049,2022-07-11 00:49:36+00:00,"b'@Thiago_Beck no caso, um insulto mais que merecido. Um escritor - ou qualquer pessoa - n\xc3\xa3o tem o direito de tratar ningu\xc3\xa9m assim. Pe\xc3\xa7o desculpas - bastante atrasadas'"
1546196859550666755,2022-07-10 18:17:12+00:00,"b'@cynaramenezes @LeoJaime Eu achei aqui, tinha salvo, mas \xc3\xa9 imenso o arquivo. Como mandar?'"
1546019099242860544,2022-07-10 06:30:51+00:00,"b'@AngelRTalk Unless you understand that 95% of the people just want to insult, not communicate. That said, great article abt Apple/Windows'"
1545297822270062592,2022-07-08 06:44:45+00:00,b'@deaalves Muito troll de outros pa\xc3\xadses aqui'
1545256418080604160,2022-07-08 04:00:14+00:00,b'@parox40 A \xc3\xa1gua viva ainda est\xc3\xa1 na fonte'
1545227053997457408,2022-07-08 02:03:33+00:00,b'@millylacombe @KennedyAlencar @mauriciostycer que entrevista maravilhosa. Obrigado @wcasagrandejr'
1544525651587305472,2022-07-06 03:36:25+00:00,"b'@ChicoCesarOf Mama \xc3\x81frica, que foi tamb\xc3\xa9m o melhor v\xc3\xaddeoclip que assisti at\xc3\xa9 hoje'"
1544426938151976961,2022-07-05 21:04:10+00:00,"b'@parox40 @BolivarianaRede @cirogomes claro que nao autorizei, mas \xc3\xa9 t\xc3\xa3o rid\xc3\xadcula, t\xc3\xa3o rid\xc3\xadcula,  que nao vale a pena nenhum movimento'"
1544124793737314305,2022-07-05 01:03:33+00:00,"b'@LeoJaime Borgen \xc3\xa9 otimo. Tente tamb\xc3\xa9m The Bridge. Isso dito, aparece gente com arma na m\xc3\xa3o em poster promovendo  eu nem clico @cynaramenezes'"
1544121603969146880,2022-07-05 00:50:53+00:00,b'@ajdillon7 I am sure you will not regret'
1543649386781184000,2022-07-03 17:34:28+00:00,"b'@camposmello aproveitando para dizer que voc\xc3\xaa \xc3\xa9 um verdadeiro exemplo de coragem, dignidade, e excelente jornalismo'"
1543067298117844997,2022-07-02 03:01:27+00:00,b'@luceliaoficial estamos todos empenhados na mesma tarefa. Parab\xc3\xa9ns musa'
1542697118267219968,2022-07-01 02:30:29+00:00,"b'@Escritor4 O t\xc3\xadtulo em portugues \xc3\xa9 ""O Diario de um mago"" mas obrigado pela referencia'"
1542020964451598338,2022-06-29 05:43:41+00:00,b'@flaviomendes70 Uma pesquisa excelente'
1541992037196505089,2022-06-29 03:48:45+00:00,b'A Turkish shepherd reading about an Andalusian shepherd.\n\n#Simyaci #paulocoelho #TheAlchemist @Selcuktanaydin https://t.co/a4hYEcGFd2'
1541865518487027712,2022-06-28 19:26:00+00:00,b'@Selcuktanaydin um pastor lendo um livro sobre um pastor!  MARAVILHA'
1541827069922926593,2022-06-28 16:53:13+00:00,"b'Dear  @LewisHamilton : Piquet is currently the driver of the worst president in our history. His racist remarks shows the desperate need to return to the spotlight\nI apologize in the name of the Brazilian people, who respect and love you'"
1540879961472606208,2022-06-26 02:09:45+00:00,"b'@oatila @KalTentrovsky Edi\xc3\xa7\xc3\xb5es piratas na \xc3\x8dndia. Minha mulher viu a menor livraria do mundo, os bra\xc3\xa7os de um garoto . Viva o garoto! https://t.co/GKdBHmuL1F'"
1540752855727890432,2022-06-25 17:44:41+00:00,"b'@oatila @KalTentrovsky Acho que dividir para multiplicar foi e \xc3\xa9 fundamental. Est\xc3\xa1 em bibliotecas em toda \xc3\x81frica,  p.ex. N\xc3\xa3o quero citar pa\xc3\xadses mas no OM tenho \xc3\xb3timas tradu\xc3\xa7\xc3\xb5es \nE por causa de guerras ali n\xc3\xa3o h\xc3\xa1 outra maneira de distribui\xc3\xa7\xc3\xa3o al\xc3\xa9m da \xe2\x80\x9cpirataria\xe2\x80\x9d.'"
1540748956149329922,2022-06-25 17:29:11+00:00,b'@oatila @KalTentrovsky S\xc3\xa3o medalhas. As vendas s\xc3\xb3 aumentam. N\xc3\xa3o pense em ficar rico - pense no que tem a dizer. Exemplo do Windows \xc3\xa9 perfeito'
1540747546363953154,2022-06-25 17:23:35+00:00,b'@oatila @KalTentrovsky Eu sempre me inspirei na necessidade de ser lido. Em muitos pa\xc3\xadses da \xc3\x81frica e OM s\xc3\xb3 tenho vers\xc3\xb5es piratas. Em 2019 fizeram um levantamento e conclu\xc3\xadram que apr. 40 milh\xc3\xb5es j\xc3\xa1 foram vendidos. Em um pa\xc3\xads chego a ter 5/6 edi\xc3\xa7\xc3\xb5es diferentes +'
1540116997782085633,2022-06-23 23:38:00+00:00,b'@misaelseuda Vi de novo. Realmente estava inspirado'
1539086346542792705,2022-06-21 03:22:34+00:00,"b'@prattprattpratt OMG I should have written to my wife what you wrote to yours! But our anniversary is only in July, so I still have time'"
1538702915224879104,2022-06-20 01:58:57+00:00,b'@lucasdamasio @chris_oiticica vou tentar achar uma foto. Uma das poucas fotos que tirou'
1538596999284633600,2022-06-19 18:58:05+00:00,"b'@lucasdamasio @chris_oiticica Fez o Caminho em 1990, quando havia poucos peregrinos e quase nenhum albergue'"
1537981833131896832,2022-06-18 02:13:37+00:00,b'@lagomaresLaerte @abruxinhataon Pensei ontem nessa m\xc3\xbasica'
1537665299058765827,2022-06-17 05:15:50+00:00,"b'@adrianabattmg @lucasdamasio E respondendo ao tweet do @lucasdamasio , n\xc3\xa3o importa o que digam -sempre fiz o que achava que deveria fazer'"
1537627591254937601,2022-06-17 02:46:00+00:00,b'@Giulian32537273 Miss\xc3\xa3o cumprida nunca. E n\xc3\xa3o foi f\xc3\xa1cil connseguir'
1537625397181005829,2022-06-17 02:37:17+00:00,"b'@juniorro16 claro que sim. Segundo os peregrinos, o caminho come\xc3\xa7a quando voce sai de casa. Eu fiz o Caminho Frances, mas nao \xc3\xa9 o \xc3\xbanico. Por sinal, pergunte ao @lucasdamasio sobre a temperatura. Nao deve estar f\xc3\xa1cil.'"
1537615257941712904,2022-06-17 01:56:59+00:00,b'https://t.co/SbPfDrb5v8'
1537613301806419968,2022-06-17 01:49:13+00:00,b'@lucasdamasio Nunca importou. Eu sigo meu caminho guiado por Deus'
1536931150547099648,2022-06-15 04:38:35+00:00,"b'@rodrigo23jus As livrarias l\xc3\xa1 queimaram meus livros, soube agora'"
1536914573365739522,2022-06-15 03:32:43+00:00,"b'@vlatoma_sc N\xc3\xa3o existe. Segundo o pat\xc3\xa9tico ex-secret\xc3\xa1rio de cultura, ele foi informado que  Ratanab\xc3\xa1 e amazonia s\xc3\xa3o uma coisa s\xc3\xb3.'"
1536913420938797057,2022-06-15 03:28:08+00:00,b'@elikatakimoto N\xc3\xa3o divulga!'
1536901939832754176,2022-06-15 02:42:31+00:00,b'@Ticostacruz E seu show? Divulgaram bem ou ficou foi prejudicado pelo ex-secret\xc3\xa1rio de cultura?'
1536771336831393792,2022-06-14 18:03:33+00:00,"b'@hsawan posted again, closing the comments'"
1536189418087886848,2022-06-13 03:31:12+00:00,b'@morenoricmelo Am\xc3\xa9m. Obrigado. Excelente semana'
1535317483552489473,2022-06-10 17:46:27+00:00,b'SENTENCES https://t.co/YQOcHNGoA2\n\nFRASES https://t.co/fQ7TGKO2pD\n\xe0\xa4\xaa\xe0\xa4\xbe\xe0\xa4\x93\xe0\xa4\xb2\xe0\xa5\x8b \xe0\xa4\x95\xe0\xa5\x8b\xe0\xa4\x8f\xe0\xa4\xb2\xe0\xa5\x8b  https://t.co/83Y2zpxqzy\nCITAS  https://t.co/Zmmc5oSTBf\nFRASI  https://t.co/SOoCSCpMnt\nCITATIONS https://t.co/BBxbT1U8M9\nC\xc3\xbcMLELER  https://t.co/tQeJEhPeb8 https://t.co/7omUGmuHtn'
1534738614239870976,2022-06-09 03:26:14+00:00,b'@maracris04 @tomphillipsin Eu posso estar errado'
1534721422836342784,2022-06-09 02:17:55+00:00,b'@GaboLimao a amea\xc3\xa7a bateu e voltou para quem amea\xc3\xa7ou. Bloqueado.'
1534713874766774273,2022-06-09 01:47:56+00:00,b'@amassadeira10 @antoniofortal @tomphillipsin entendam bem que eu posso estar errado. O que mais me agonia \xc3\xa9 a fam\xc3\xadlia nao ter acesso aos corpos'
1534389648159657987,2022-06-08 04:19:34+00:00,b'@isnardbio Feito'
1533489982450671618,2022-06-05 16:44:37+00:00,b'@Escritor4 @Rocha7591 Conversa que me ilustrou muito. Obrigado por mostrar que \xc3\xa9 poss\xc3\xadvel discutir com respeito'
1532968645512548353,2022-06-04 06:13:00+00:00,b'@ThiagoResiste A fonte do blog est\xc3\xa1 muito pequena?'
1532911276871008256,2022-06-04 02:25:03+00:00,b'@NurRassip Of course not. It is an honor'
1532876544682643458,2022-06-04 00:07:02+00:00,"b'@jantonho Na verdade, gostei apenas de um.'"
1532862408494092288,2022-06-03 23:10:52+00:00,b'@detremura voce ia adorar estar aqui com @demori . Veja meu post'
1532859264678739968,2022-06-03 22:58:22+00:00,"b'@ThiagoResiste @demori voce e Joanna estao sempre convidados. Por sinal, falamos muito bem de seu podcast'"
1531812185374072833,2022-06-01 01:37:39+00:00,b'@sa_yens I believe that are many more. Thank you for your support'
1530692146541608960,2022-05-28 23:27:01+00:00,b'@ThiagoResiste Pois a \xc3\xa1gua viva ainda est\xc3\xa1 na fonte'
1530239728431386624,2022-05-27 17:29:16+00:00,"b'@Karl_Marx_br por falar nisso, quem daria um excelente ministro da cultura \xc3\xa9 o Fernando Morais'"
1530235322377850880,2022-05-27 17:11:45+00:00,b'@antoniotabet Coment\xc3\xa1rio genial!'
1529513907697721347,2022-05-25 17:25:07+00:00,"b""@ivivek_nambiar proud to use it! Many people asked me where to buy, but I understand you still don't have an export division, right?"""
1528555420788326401,2022-05-23 01:56:26+00:00,b'@serbretas foram os versos usados para avisar aos maquis que o desembarque na normandia estava acontecendo'
1528130600082759682,2022-05-21 21:48:21+00:00,b'@ThiagoResiste ela \xc3\xa9 genial!'
1526666851417264128,2022-05-17 20:51:56+00:00,b'@genhummel91 farsi'
1526590317415346182,2022-05-17 15:47:49+00:00,b'@KingJames @CWilliamson44 Thank you very much for sharing!'
1526416423488262144,2022-05-17 04:16:49+00:00,"b'@junior_janir Li, e gostava muito do seu pai'"
1526377491543343106,2022-05-17 01:42:07+00:00,b'@eureka263800271 this is not written by me'
1526014031416512518,2022-05-16 01:37:51+00:00,b'@LJosSoulsearch primeira edi\xc3\xa7\xc3\xa3o em Portugal!'
1525993354802126849,2022-05-16 00:15:42+00:00,b'@CacaBenicio @Ancelmocom de todos os sonhadores'
1525164069711450113,2022-05-13 17:20:25+00:00,"b""@BTS_SrARMY an every day miracle that I don't try to explain"""
