twitter_id,date,tweet
1546615315190059008,2022-07-11 22:00:00+00:00,"b'After 12+ years of dedication &amp; amazing support from you, Wild Love Preserve has finally found its forever home! In June, WLP convoyed 187 of their wild horses from their longtime leased acreage to their permanently protected wildlife preserve. Learn more: https://t.co/Tg6NLlWIxD https://t.co/Xzz6MHWPrY'"
1546595048615206912,2022-07-11 20:39:28+00:00,"b""RT @SIRIUSXM: Go on tour with @PearlJam in Europe without ever leaving home. All summer long, we're premiering the bootlegs from their stop\xe2\x80\xa6"""
1546568146181562369,2022-07-11 18:52:34+00:00,"b'Coming up this week, @tmorello\xe2\x80\x99s #RadioComandante returns to @SIRIUSXM\xe2\x80\x99s @PJRadio. Tune in: https://t.co/srjljAENM6 https://t.co/vOq3gqqJhO'"
1546488569459621888,2022-07-11 13:36:21+00:00,b'What a weekend in London.\n\n\xf0\x9f\x93\xb8: @Danny_Clinch https://t.co/d4kJMY8MLS'
1546192561387085824,2022-07-10 18:00:08+00:00,b'LDN was a bit of a blur. \xf0\x9f\x93\xb7 @Pluralone1 https://t.co/nqK0RzQQWg'
1545881934395371520,2022-07-09 21:25:48+00:00,"b'Thank you again, @BSTHydePark! \xe2\x9c\xa8 https://t.co/bwJIF6CjtN'"
1545664048829583360,2022-07-09 07:00:00+00:00,"b'London, Night 2 at @BSTHydePark. See you soon.\n\nArtwork by: Pedro Correa and @bellagraceart\n\nThe event posters and merch are all available at the merch stand starting at 1pm today. https://t.co/c3ogse7n8F'"
1545529618307788802,2022-07-08 22:05:50+00:00,"b'Cheers, @BSTHydePark! \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc https://t.co/mpxwrF63Q4'"
1545502447669350407,2022-07-08 20:17:52+00:00,b'Sunset energy over Hyde Park. \xf0\x9f\x93\xb7 Josh Klinghoffer https://t.co/ZxhWDbuGRG'
1545421381806039041,2022-07-08 14:55:44+00:00,"b""Recorded from Pearl Jam's 2021 performances, Gigaton Live (Tour Edition) is now available for streaming on all digital music platforms. \n\nListen now or purchase the Vinyl LP and physical CD from your favorite local record shop: https://t.co/41loIyb2wg https://t.co/Qo3Pi1XuDd"""
1545301661287006210,2022-07-08 07:00:01+00:00,"b""Pearl Jam's at @BSTHydePark for Night 1 in London. Who's going?\n\nArtwork by: @amesbros and Josh Townshend\n\nThe event poster and merch are all available at the merch stand starting at 1pm today. https://t.co/fffRSglrYp"""
1545161806603321350,2022-07-07 21:44:17+00:00,"b'Last chance to bid on a lot of 2 moleskine notebooks, with proceeds benefitting the Vitalogy Foundation. Check it out: https://t.co/3xlHTaPlCR https://t.co/ckbji7LjaK'"
1544753072257253377,2022-07-06 18:40:07+00:00,"b'London, head over to the @PIXIES x Pearl Jam pop-up store Thursday, July 7th from 10am to 6pm. See directions below. https://t.co/FL1g733SY6'"
1544447218681122816,2022-07-05 22:24:46+00:00,"b'Tak, Copenhagen! \xf0\x9f\x87\xa9\xf0\x9f\x87\xb0 https://t.co/qAIW97SfVA'"
1544259797125677056,2022-07-05 10:00:01+00:00,"b""Pearl Jam's heading to Copenhagen tonight with @idlesband. See you there.\n\nArtwork by: @AmesBros\n\nThe event poster and merch are all available at the merch stand starting at 1pm today. https://t.co/DrWyK1aZxX"""
1543983784248352773,2022-07-04 15:43:14+00:00,"b'.@Volcom entertainment presents... a special acoustic performance by @Pixies Thursday, July 7th in London, England. Head to their pages for details on how to win tickets for the show. https://t.co/hnQO1KNca9'"
1543719144561844225,2022-07-03 22:11:39+00:00,"b'Tack, @lollapaloozaSE! \xf0\x9f\x87\xb8\xf0\x9f\x87\xaa https://t.co/a8jVWA6txm'"
1543636435563053058,2022-07-03 16:43:00+00:00,b'Head to @AXSTV tonight to watch. Check your local listings for more information. https://t.co/duPuNS0K0q'
1543357248734482435,2022-07-02 22:13:36+00:00,b'https://t.co/oLmbJbC8oO'
1542764950493413377,2022-07-01 07:00:02+00:00,"b""Pearl Jam's taking over @lollapaloozaSE on Sunday. Who's ready for this set?\n\nArtwork by: Martin Ander\n\nThe event poster and merch are all available at the merch stand, starting at 1 pm. https://t.co/aQDRDvolUI"""
1542647628088737792,2022-06-30 23:13:50+00:00,"b'Dank je, @RockWerchter! \xf0\x9f\x87\xa7\xf0\x9f\x87\xaa https://t.co/lq1p5OVD7F'"
1542644154018238467,2022-06-30 23:00:01+00:00,"b'.@Volcom Entertainment Presents\xe2\x80\xa6 The Pearl Jam X @Pixies Pop-Up Shop. Thursday, July 7, 2022 in London, England. Featuring exclusive limited edition collabs, London event merch, and more. https://t.co/wFZrhcbMHI'"
1542447862893740032,2022-06-30 10:00:02+00:00,"b'Today we honor and remember the young men who lost their lives on June 30, 2000 and grieve with those who continue to ache in their absence. - Stone Gossard, on behalf of Pearl Jam https://t.co/hkKdvsG05R'"
