twitter_id,date,tweet
1543839338122817536,2022-07-04 06:09:16+00:00,b'I love fighting with a guy that has to name his two awards in his bio. https://t.co/MykB00F6XF'
1543838962170572801,2022-07-04 06:07:46+00:00,b'Read it back. There were three points.\nYou missed all of them #cantsayimsurprised https://t.co/MykB00F6XF'
1543838704233418758,2022-07-04 06:06:44+00:00,b'I hear you. I have to say I am SHOCKED to see that you\xe2\x80\x99re affiliated with Fox News. I am sure we will miss you at all of those shows you attended https://t.co/nkI8JFrJ7k'
1543467816384270336,2022-07-03 05:32:58+00:00,b'When they tell you to \xe2\x80\x9cshut up and sing\xe2\x80\x9d\xe2\x80\xa6. Okay then. #myfavoriteview #thisismylanetoo https://t.co/O4JmIKjj0W'
1542942449311498240,2022-07-01 18:45:21+00:00,b'RT @MisterRogersSay: \xe2\x80\x9cBecause deep down we know that what matters in this life is more than winning for ourselves. What really matters is h\xe2\x80\xa6'
1542941688443723776,2022-07-01 18:42:19+00:00,"b'RT @ravikarkara: Ketanji Brown Jackson\xe2\x80\x99s swearing-in a ""monumental moment"" for Black women https://t.co/OxeC2lvDpt https://t.co/DvWIyblwN7'"
1542682967100690434,2022-07-01 01:34:15+00:00,b'Yep https://t.co/fzNif15y7T'
1542600117873627136,2022-06-30 20:05:02+00:00,b'Hi beautiful girl!!! https://t.co/0EZZhvID1b'
1542378734749044736,2022-06-30 05:25:21+00:00,b'RT @DankReject: @2stupidquestion @shelmuth19382 @Lex80Tex @WayneTobeck @pillarofiron @GuntherEagleman @Pink https://t.co/2oTodjO5Qq'
1542224300568064000,2022-06-29 19:11:41+00:00,b'Wishing you nothing but health and recovery and healing and love. https://t.co/HPb0Gqb2Vp'
1542224017054085122,2022-06-29 19:10:33+00:00,"b'A huge honor for me coming from this organization. Have to dedicate it to my Dad, a writer and warrior himself, who taught me that if you don\xe2\x80\x99t stand for something, you\xe2\x80\x99ll fall for anything. Miss you, Dad. \xe2\x9d\xa4\xef\xb8\x8f https://t.co/mxNBFW1y8K'"
1542015249145921536,2022-06-29 05:20:59+00:00,"b'RT @pinkdatabr: According with @chartmastersorg @Pink is now nearly 50 million pure copies sold wolrd wide, and nearly 80 million CSPC tota\xe2\x80\xa6'"
1541923206994579457,2022-06-28 23:15:14+00:00,"b'The Supreme Court has stolen our basic right to control our bodies and futures. But together, we are a force of nature. Join us at https://t.co/pEPbnb1Jks. #BansOffOurBodies @PPFA https://t.co/sSaqWyMWvG'"
1541810273878585344,2022-06-28 15:46:29+00:00,b'RT @BillyMann: The #1 reason why I love .@Pink is her fearless devotion to truth. Writing it. Searching for it. Sharing it. Speaking it. Si\xe2\x80\xa6'
1541503442740424704,2022-06-27 19:27:15+00:00,b'I love this man. He\xe2\x80\x99s right. And he\xe2\x80\x99s kind. And I love him https://t.co/aO1C7kggrF'
1541492058191306752,2022-06-27 18:42:00+00:00,"b'RT @davidmweissman: .@pink, you know you are doing something right when all of conservative Twitter is triggered by your tweets.'"
1541490709672300546,2022-06-27 18:36:39+00:00,b'(Cont\xe2\x80\x99d) that a woman should have the right to choose. Real patriots believe In Freedom. I am only speaking to the other ones- that ones that want to control everyone and everything and spit hatred at any woman that scares them or disagree. I appreciate your post. \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/fqErWlASlA'
1541490414951096320,2022-06-27 18:35:29+00:00,"b'I love my dad, he was an old white guy too, with a big heart that fought for this country. He believed that women should have the right to choose. He was also a republican who voted for Trump. I\xe2\x80\x99m married to an old white guy (sorry @hartluck ) who believes in gun rights and that https://t.co/fqErWlASlA'"
