twitter_id,date,tweet
1546540581907726337,2022-07-11 17:03:02+00:00,b'RT @aled11rojas: El mv de \xe2\x80\x98Si te preguntan\xe2\x80\x99 esta muy cerca de llegar a 10 millones de vistas \xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\xa9\xb9 \n- https://t.co/aKB0TxBlUY \n\nEl canal de\xe2\x80\xa6'
1546477022016323584,2022-07-11 12:50:28+00:00,b'Good morninnnnng \xe2\x98\x80\xef\xb8\x8f'
1546182935837122562,2022-07-10 17:21:53+00:00,b'Si te preguntan\xe2\x80\xa6 que dirias? https://t.co/QOeF4ZmKFe'
1545513629683957762,2022-07-08 21:02:18+00:00,b'La luna siempre me acompa\xc3\xb1a'
1545408331015245827,2022-07-08 14:03:53+00:00,b'New dates added to the #PRClassicTour!!! See you there \xf0\x9f\x8e\x99 https://t.co/rTgWvnNkp7'
1545101333761515522,2022-07-07 17:43:59+00:00,b'Turisteando \xf0\x9f\x98\x9c https://t.co/a1DgL6AJhp'
1545084456687607809,2022-07-07 16:36:55+00:00,b'Roycenatic@s! El primer concierto de mi Classic Tour en New York est\xc3\xa1 sold out \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc Agregamos una segunda fecha el 30 de septiembre. Boletos a la vente MA\xc3\x91ANA y pre-venta para ustedes AHORA con el c\xc3\xb3digo \xe2\x80\x9cCLASSICROYCE\xe2\x80\x9d \xf0\x9f\xa4\xb4\xf0\x9f\x8f\xbb #PRClassicTour https://t.co/mJykFv2sSU'
1544667896919605248,2022-07-06 13:01:39+00:00,b'Mi gente!! Ya escucharon la nueva versi\xc3\xb3n de \xe2\x80\x9cCoraz\xc3\xb3n Sin Cara\xe2\x80\x9d exclusiva para @amazonmusic? Check it out en la playlist \xe2\x80\x9cTierra Tropical\xe2\x80\x9d \xf0\x9f\x8e\xb6 https://t.co/CrePwh7YOv #CorazonSinCaraAmazon https://t.co/zm1cLRoqaI'
1544665662764744704,2022-07-06 12:52:47+00:00,"b'Thanks for the love @amazonmusic @AmazonMusicMX \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc Env\xc3\xadenme fotos si ven alguna en NYC, Los Angeles, Las Vegas o Ciudad de M\xc3\xa9xico! https://t.co/Sp9INkIKWi #CorazonSinCaraAmazon https://t.co/aowaANPSmE'"
1544310487403450369,2022-07-05 13:21:26+00:00,b'Ya pueden escuchar #SiTePreguntan en la playlist \xe2\x80\x9cViva Latino\xe2\x80\x9d de @Spotify \xf0\x9f\x94\xa5 Go stream! \xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\xa9\xb9\xe2\x9d\x8c https://t.co/IU7AVE9cHt https://t.co/ViaKdL5utb'
1544279533330767874,2022-07-05 11:18:26+00:00,b'https://t.co/Qe7sSYRKY1'
1543922250050674688,2022-07-04 11:38:43+00:00,b'RT @sonymusicmexico: Iluminando el #WTC de la CDMX \xf0\x9f\x98\x8d encuentra a @PrinceRoyce promocionando su #AmazonOriginal llamado \xe2\x80\x9cCoraz\xc3\xb3n Sin Cara\xe2\x80\x9d \xf0\x9f\x94\xa5\xe2\x80\xa6'
1543650807312252928,2022-07-03 17:40:06+00:00,b'https://t.co/Gbzl7StRfi'
1543368931628523526,2022-07-02 23:00:02+00:00,b'No saben lo lindo que es sentir el calor de ustedes de nuevo. Los extra\xc3\xb1\xc3\xa9! \xf0\x9f\xa4\xb4\xf0\x9f\x8f\xbd #TeEspero https://t.co/90MQn1iVbd'
1543019893255290880,2022-07-01 23:53:05+00:00,b'RT @SonyMusicLatin: En @AmazonMusic te espera este #AmazonOriginal de @PrinceRoyce: #CorazonSinCara \xf0\x9f\xa4\xa9\xf0\x9f\x94\xa5 https://t.co/5WxhgvZH1y https://t.co\xe2\x80\xa6'
1543008447544827911,2022-07-01 23:07:36+00:00,b'Ciao https://t.co/VpgQaGNooP'
1542457414120865797,2022-06-30 10:37:59+00:00,b'RT @PremiosJuventud: El pr\xc3\xadncipe de la bachata @PrinceRoyce tambi\xc3\xa9n nos regalar\xc3\xa1 una presentaci\xc3\xb3n musical en #PremiosJuventud \xe2\x9c\xa8 https://t.c\xe2\x80\xa6'
1542454269814755329,2022-06-30 10:25:29+00:00,b'@didi36d \xe2\x9d\xa4\xef\xb8\x8f'
1542348473193971713,2022-06-30 03:25:06+00:00,"b'Mi gente! Hace 12 a\xc3\xb1os sali\xc3\xb3 ""Coraz\xc3\xb3n Sin Cara"" y ahora hice una nueva versi\xc3\xb3n exclusiva que pueden escuchar en @amazonmusic. Check it out! https://t.co/Sp9INkIKWi #CorazonSinCaraAmazon https://t.co/1CUcgOA9sL'"
1542321260738351105,2022-06-30 01:36:58+00:00,"b'Don\xe2\x80\x99t you act single when I\xe2\x80\x99m not around you, don\xe2\x80\x99t go there\xe2\x80\xa6 you\xe2\x80\x99re still mine.'"
1542314832367599618,2022-06-30 01:11:25+00:00,b'@Axrm830 We about to go innn \xf0\x9f\x94\xb1 \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc'
1542310705101246464,2022-06-30 00:55:01+00:00,b'\xe2\x9a\x9c\xef\xb8\x8f https://t.co/RjM33U3ipw'
