twitter_id,date,tweet
1542673091469266944,2022-07-01 00:55:01+00:00,"b""\xed\x97\xa4\xec\x9d\xb4\xec\xa6\x88(Heize) - '\xec\x97\x86\xec\x97\x88\xeb\x8d\x98 \xec\x9d\xbc\xeb\xa1\x9c (Undo)' MV https://t.co/Ln5cflxLy2 - @YouTube"""
1539982120218550272,2022-06-23 14:42:03+00:00,"b""PSY - '9INTRO' Performance Video https://t.co/SxJU4WTZhs - @YouTube"""
1534806546168750080,2022-06-09 07:56:10+00:00,"b""RT @psy_oppa: PSY - 'That That (prod. &amp; feat. SUGA of BTS)' Live Performance at \xea\xb3\xa0\xeb\xa0\xa4\xeb\x8c\x80 (K... https://t.co/2mSsk7n77F - @YouTube"""
1534473815945666560,2022-06-08 09:54:01+00:00,"b""PSY - 'That That (prod. &amp; feat. SUGA of BTS)' Live Performance at \xea\xb3\xa0\xeb\xa0\xa4\xeb\x8c\x80 (K... https://t.co/2mSsk7n77F - @YouTube"""
1533302899794538498,2022-06-05 04:21:13+00:00,"b""RT @insight_co_kr: 3\xeb\x85\x84 \xeb\xa7\x8c\xec\x97\x90 \xec\x97\xb4\xeb\xa6\xac\xeb\x8a\x94 '\xed\x9d\xa0\xeb\xbb\x91\xec\x87\xbc' \xea\xb0\x80\xea\xb3\xa0 \xec\x8b\xb6\xea\xb2\x8c \xeb\xa7\x8c\xeb\x93\x9c\xeb\x8a\x94 \xec\x8b\xb8\xec\x9d\xb4\xec\x9d\x98 \xeb\xa0\x88\xec\xa0\x84\xeb\x93\x9c \xeb\xac\xb4\xeb\x8c\x80 6\n\n#\xec\x8b\xb8\xec\x9d\xb4 #\xec\x8b\xb8\xec\x9d\xb4\xec\xbd\x98\xec\x84\x9c\xed\x8a\xb8 #\xec\x8b\xb8\xec\x9d\xb4\xed\x9d\xa0\xeb\xbb\x91\xec\x87\xbc #\xed\x9d\xa0\xeb\xbb\x91\xec\x87\xbc \n\nhttps://t.co/dfJUyp2dYA"""
1532921411437678592,2022-06-04 03:05:19+00:00,"b""PSY - 'That That (prod. &amp; feat. SUGA of BTS)' Live Performance at \xea\xb3\xa0\xeb\xa0\xa4\xeb\x8c\x80 (Korea University) 220527\n\n\xf0\x9f\x8e\xac https://t.co/2mSsk7n77F\n\n\xec\xa0\x95\xea\xb7\x9c9\xec\xa7\x91 [\xec\x8b\xb8\xeb\x8b\xa49]\nFull-Length Album [PSY 9th]\n\n#PSY #\xec\x8b\xb8\xec\x9d\xb4 \n#\xec\x8b\xb8\xeb\x8b\xa49 #PSY9th\n#PNATION #\xed\x94\xbc\xeb\x84\xa4\xec\x9d\xb4\xec\x85\x98"""
1532639208598188032,2022-06-03 08:23:57+00:00,"b""10 years after 'Gangnam Style', Psy is happier than ever https://t.co/T5isuIpTAh"""
1532205563840368640,2022-06-02 03:40:48+00:00,b'200mil!! 2\xec\x96\xb5\xeb\xb7\xb0!! \nTHX all for all\xf0\x9f\x92\x9c\n#thatthat_psyxsuga https://t.co/V3iHpa48Ct'
1531204499917787136,2022-05-30 09:22:55+00:00,b'RT @AppleMusic: \xec\xa7\x80\xea\xb8\x88 Apple Music\xec\x97\x90\xec\x84\x9c \xec\x8b\xb8\xec\x9d\xb4\xec\x9d\x98 That That (prod. &amp; feat. SUGA of BTS)\xec\x9d\x84 \xea\xb3\xb5\xea\xb0\x84 \xec\x9d\x8c\xed\x96\xa5\xec\x9c\xbc\xeb\xa1\x9c \xeb\x93\xa4\xec\x96\xb4\xeb\xb3\xb4\xec\x84\xb8\xec\x9a\x94.\n1\xea\xb0\x9c\xec\x9b\x94 \xeb\xac\xb4\xeb\xa3\x8c\xec\xb2\xb4\xed\x97\x98 \xec\x8b\x9c\xec\x9e\x91\xed\x95\x98\xea\xb8\xb0'
1531132750463258626,2022-05-30 04:37:49+00:00,"b'RT @weverseofficial: \xed\x94\xbc\xeb\x84\xa4\xec\x9d\xb4\xec\x85\x98\xec\x9d\x98 \xec\xb2\xab \xeb\xb3\xb4\xec\x9d\xb4\xea\xb7\xb8\xeb\xa3\xb9, TNX \xec\xbb\xa4\xeb\xae\xa4\xeb\x8b\x88\xed\x8b\xb0 \xea\xb0\x80 #\xec\x9c\x84\xeb\xb2\x84\xec\x8a\xa4 \xec\x97\x90 \xec\x98\xa4\xed\x94\x88\xed\x96\x88\xec\x8a\xb5\xeb\x8b\x88\xeb\x8b\xa4.\xf0\x9f\x8e\x89\n\n#TNX \xeb\x8a\x94 \xec\x95\x9e\xec\x9c\xbc\xeb\xa1\x9c \xec\x9c\x84\xeb\xb2\x84\xec\x8a\xa4\xeb\xa5\xbc \xed\x86\xb5\xed\x95\xb4 \xec\x97\xac\xec\x84\xaf \xec\x83\x89\xec\x9d\x98 \xea\xb0\x90\xec\x84\xb1\xea\xb3\xbc \xea\xb0\x95\xec\x84\xb1\xec\x9d\x84 \xeb\x8b\xb4\xec\x9d\x80 \xeb\x8d\xb0\xeb\xb7\x94 \xec\x95\xa8\xeb\xb2\x94 \xe2\x80\x98WAY UP\xe2\x80\x99 \xeb\x93\xb1 \xeb\x8b\xa4\xec\x96\x91\xed\x95\x9c \xed\x99\x9c\xeb\x8f\x99 \xec\x86\x8c\xec\x8b\x9d\xec\x9d\x84 \xec\xa0\x84\xed\x95\x98\xea\xb3\xa0 THX \xec\x97\xac\xeb\x9f\xac\xeb\xb6\x84\xea\xb3\xbc\xe2\x80\xa6'"
