twitter_id,date,tweet
1546557474165198848,2022-07-11 18:10:10+00:00,b'Michael Moore posted a reworked 2nd amendment. Not a bad start to an important conversation! https://t.co/DynhSqHvTR @MMFlint'
1546405031930318849,2022-07-11 08:04:25+00:00,b'Homelander is one of the top 10 villains and even more \xe2\x80\x94- top TV Characters of alllllll time!!! @toni.starr #TheBoys'
1546196316883238912,2022-07-10 18:15:03+00:00,b'Can\xe2\x80\x99t believe this is still an issue in the States and that I have to hear about it on BBC. #BankBlack https://t.co/3l7gDCuWLb'
1544801195566551046,2022-07-06 21:51:20+00:00,b'RT @EJinAction: I grew up near a coal power plant. This @EPA decision by the #SupremeCourt will worsen public health injustices and cost Bl\xe2\x80\xa6'
1544460912475705347,2022-07-05 23:19:10+00:00,b'They used to happen yearly. Then monthly. Now weekly and even daily. And still the incessant drum beats: MORE GUNS MORE GUNS MORE GUNS.\n\nhttps://t.co/5lNHPlHxP5'
1544057112178868224,2022-07-04 20:34:37+00:00,b'https://t.co/PTKssYNxgJ'
1542914218621558784,2022-07-01 16:53:10+00:00,"b'Congrats to the champions of the first ever #SmallinShow \n@alexandra_macncheese,\xc2\xa0@peachy_the_sunconure and\xc2\xa0@fosterarmy\xc2\xa0from the first ever hosts of Small in Show, Kenneth and I. Thank you to all who participated. #SmallinShow #ad\xc2\xa0@KayteeBrand https://t.co/1reGTVz6pZ'"
1542893229565247490,2022-07-01 15:29:46+00:00,b'2003 reference. https://t.co/viqUkilVGd'
1542534751436869632,2022-06-30 15:45:18+00:00,"b'Happy Anniversary! \xc2\xa027 Years alongside @HolidayReinhorn: a light, a lamp, a song. https://t.co/Cxb71TMWr0'"
1542287055409106944,2022-06-29 23:21:02+00:00,"b'New episode of @MetaMilkPodcast with YouTuber and World Traveler, Drew Binsky! @drewbinsky Listen now: https://t.co/jJT5msHwMn https://t.co/8wvq4DECjR'"
1542217856032571393,2022-06-29 18:46:04+00:00,b'I want a tattoo across my shoulder blades that says \xe2\x80\x9cB A C K.\xe2\x80\x9d'
1542029384588169217,2022-06-29 06:17:09+00:00,b'I talk about Dark Winds and myself:\n\nhttps://t.co/p8NKlujCvV'
1541807292110233601,2022-06-28 15:34:38+00:00,b'I was greatly saddened to hear about the passing of actor Mary Mara. We had our first professional gigs together in 12th Night at the New York Shakespeare Festival. Hadn\xe2\x80\x99t seen her since but remember her talent and infectious spirit fondly. R.I.P. https://t.co/5QiolHY06w'
1541801728160432129,2022-06-28 15:12:31+00:00,b'Met an awesome entrepreneurial young Woman from Brooklyn in #Ghana starting a Jamaican restaurant! A worthy cause!!! \n\nhttps://t.co/OCHpkYbsTF'
1541571079793156096,2022-06-27 23:56:01+00:00,b'Leave it to The Boys on Amazon Prime to put it\xe2\x80\x99s own F\xe2\x80\x99d up lens on contemporary American politics and culture better than any other show on TV.'
1541209934129467393,2022-06-27 00:00:57+00:00,b'Guess I\xe2\x80\x99m a fool\xe2\x80\xa6 #Ghana https://t.co/3xpLUMlBqh'
1541055498736128000,2022-06-26 13:47:16+00:00,"b'When I\xe2\x80\x99m feeling down and the world seems dark, nothing soothes my soul like 70s era Dylan. Even the born-again stuff. https://t.co/t6mY2SYSLp'"
1541034199150477314,2022-06-26 12:22:38+00:00,"b'Currently shooting the Geography of Bliss in Ghana, West Africa. Ghanians are really being hit hard by fuel prices and inflation. Thanks, Biden.'"
1541033156803022848,2022-06-26 12:18:30+00:00,b'This is a fascinating story about how the left is eating itself. Especially in the non-profit world. \n\nhttps://t.co/xj1wL3uFlg'
1540798962629853184,2022-06-25 20:47:54+00:00,b'WHO NEEDS THE WESTMINSTER DOG SHOW!? #Kenneth #KayTee @KayteeBrand \n\nhttps://t.co/IO2NvNpDBQ'
1540658187157868546,2022-06-25 11:28:30+00:00,"b'That time My friend, guitar god JB Eckl accidentally joined Los Lobos!\xc2\xa0https://t.co/TbnHzbxTqd\xc2\xa0@LosLobosBand'"
1540305989852971008,2022-06-24 12:09:00+00:00,b'Kenneth and I are rearin\xe2\x80\x99 to announce some furry little champions. Share your small pets with #SmallinShow #Contest for the opportunity to win it all and/or prizes from @KayteeBrand Entries close June 28th. Full rules here:\xc2\xa0 https://t.co/JjGWd1iBDp #ad https://t.co/hNPoRUjnxO'
1539979008909217793,2022-06-23 14:29:41+00:00,"b'The @Seahawks should 100% nab @BakerMayfield. He\xe2\x80\x99s already been proven EXCELLENT and with some coaching (and some amazing receivers) can reach GREATNESS! Pull the trigger, hawks!\nhttps://t.co/9phDOtWJ51'"
1539972821790494721,2022-06-23 14:05:06+00:00,"b'New episode of @MetaMilkPodcast with professor and author, Scott Hershovitz! @shershovitz Listen now: https://t.co/qiydgwl1k4 https://t.co/lb194crcid'"
1539686243390394370,2022-06-22 19:06:21+00:00,b'Does your little one have the heart of a champion?\xc2\xa0 Ken and I sure think so. Share your small pets with #SmallinShow #Contest for the opportunity to win it all and/or prizes from @KayteeBrand. Full rules here:\xc2\xa0 https://t.co/JjGWd1iBDp #ad https://t.co/doMVgorOI8'
1539487456852119554,2022-06-22 05:56:26+00:00,b'So excited to be part of @KellyClarksonTV Check local listings and tune in!!! https://t.co/NyYRLWOnxc'
