twitter_id,date,tweet
1545437240121348096,2022-07-08 15:58:45+00:00,"b""\xe2\x80\x9cHi'ya, bud!\xe2\x80\x9d #Pleasantville #FBF\n\n#TeamPW https://t.co/joTgjGmKFN"""
1542958423809073155,2022-07-01 19:48:49+00:00,b'How many times have you seen #IntoTheBlue? #SummerVibes #FBF #TeamPW https://t.co/3D9JzafM0S'
1540399802235715584,2022-06-24 18:21:46+00:00,b'\xe2\x80\x9cI believe that imagination is stronger than knowledge. That myth is more potent than history. That hope always triumphs over experience. That laughter is the only cure for grief. And I believe that love is stronger than death.\xe2\x80\x9d - Robert Fulghum #TeamPW https://t.co/fI872kMrtO'
1537838740525268993,2022-06-17 16:45:02+00:00,"b'This is amazing!! Thank you, Alexander (cube_nsk on Instagram)! #PaulWalkerArt #FanArtFriday #TeamPW https://t.co/6kcx6G90SB'"
1534596088656797697,2022-06-08 17:59:53+00:00,b'#WorldOceansDay #TeamPW https://t.co/UVLKAMDfVR'
1532892337940140034,2022-06-04 01:09:47+00:00,b'#FBF to the one that started it all. What\xe2\x80\x99s your favorite moment from the original film? #TFATF #TeamPW https://t.co/T6gn3uRhk3'
1527820169195790336,2022-05-21 01:14:48+00:00,"b'\xe2\x80\x9cLife is short\xe2\x80\xa6 be swift to love, make haste to be kind.\xe2\x80\x9d - Henri Frederic Amiel \n\n#TeamPW https://t.co/926gw5driz'"
1525248180522307590,2022-05-13 22:54:38+00:00,b'Another amazing piece of #PaulWalkerArt. Check out this colorful digital work by @DmitriLineking! #FanArtFriday #TeamPW https://t.co/oG5e9ZT1FP'
1522643410569605121,2022-05-06 18:24:13+00:00,"b'\xe2\x80\x9cWhatever the mind can conceive and believe, it can achieve.\xe2\x80\x9d - Napoleon Hill\n\n#TeamPW https://t.co/GaBFuVEjMT'"
1518982347143757828,2022-04-26 15:56:27+00:00,b'Shout out to this incredible woman. Join us in wishing @JordanaBrewster a very Happy Birthday! \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x8e\x89 #FastFamily \n\n#TeamPW https://t.co/F53cNTsVqT'
1517528657090207744,2022-04-22 15:40:00+00:00,b'RT @paulwalkerfdn: Happy #EarthDay. \xf0\x9f\x8c\x8e\xf0\x9f\x92\x99\xf0\x9f\x92\x9a\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\nOur planet is filled with so many treasures and it\xe2\x80\x99s up to us to protect them. We are commit\xe2\x80\xa6'
1515010208795402242,2022-04-15 16:52:35+00:00,b'#FastFriday + #FanArtFriday = this wonderful painting by mardisttore on Instagram! #TeamPW https://t.co/ERpNXH7KAg'
1512528076059652101,2022-04-08 20:29:29+00:00,"b'Paul\xe2\x80\x99s smile was always infectious, even from way back. Loving this vintage pic of him! \xf0\x9f\x98\x84\xf0\x9f\x92\x99 #FBF #TeamPW https://t.co/EQu59EiZyi'"
1509985079862431745,2022-04-01 20:04:31+00:00,"b'John: \xe2\x80\x9cWe good, brother?\xe2\x80\x9d\nGordon: \xe2\x80\x9cAll signs point to it.\xe2\x80\x9d\n\nHow many times have you watched #Takers? #FBF #TeamPW https://t.co/5x0PkDPB4x'"
1508943407808499712,2022-03-29 23:05:17+00:00,b'RT @MeadowWalker: Proud to partner with @PencilsOfPromis to ensure that girls around the world have access to materials &amp; education for men\xe2\x80\xa6'
1507144863862689792,2022-03-24 23:58:31+00:00,b'\xe2\x80\x9cKnowing yourself is the beginning of all wisdom.\xe2\x80\x9d - Aristotle \n\n#TeamPW https://t.co/aqEDyiCWZV'
1504888585463422976,2022-03-18 18:32:52+00:00,b'Amazingly realistic digital drawing by kevinillustrations on Instagram! \xf0\x9f\x91\x8f #PaulWalkerArt #FanArtFriday #TeamPW https://t.co/KTLbfSbrey'
1502332853467635726,2022-03-11 17:17:18+00:00,b'#FBF to the one that started it all. Drop your favorite Brian quote below! #TeamPW https://t.co/7sl63hzNNj'
1500869441541885952,2022-03-07 16:22:14+00:00,b'Help support the children of the Ukrainian crisis. \xf0\x9f\x92\x99 https://t.co/klgz21n1Y2 #TeamPW https://t.co/gYs0H2G9h2'
1499454523487797248,2022-03-03 18:39:51+00:00,b'Can you name this 2001 mystery thriller? #TBT #TeamPW https://t.co/Z7ftQxJ5ia'
1494378886301466624,2022-02-17 18:31:05+00:00,"b'Celebrating #RandomActsofKindness Day with a reminder to #DoGood every day! But if you\xe2\x80\x99re seeking a way to help today, do something nice for a stranger, give to your favorite charity, support @PaulWalkerFdn\xe2\x80\x99s efforts, etc\xe2\x80\xa6 ANY love put out into the world is a good thing! #TeamPW https://t.co/y54IvZIRDU'"
1492175159100416005,2022-02-11 16:34:15+00:00,b'Very cool #PaulWalkerArt of his 2005 @MensHealthMag shoot from romseskype on DeviantArt! \xe2\x9c\x8f\xef\xb8\x8f #FanArtFriday #TeamPW https://t.co/fYPmDZdS0i'
1489654673908850694,2022-02-04 17:38:45+00:00,b'\xe2\x80\x9cThe world always looks brighter from behind a smile.\xe2\x80\x9d - Unknown #TeamPW https://t.co/z1AiaUrmKK'
1487173425244348425,2022-01-28 21:19:09+00:00,b'Can you name the wacky 1994 film\xe2\x80\xa6? #FBF #TeamPW https://t.co/aQU7Ug2PNL'
1484615500751589380,2022-01-21 19:54:52+00:00,"b'On this #FastFriday, can you guess which #FastAndFurious film these photos of Brian O\xe2\x80\x99Conner are from? \n\n#FBF #TeamPW https://t.co/oXk36JEIkQ'"
1482060704089792525,2022-01-14 18:43:01+00:00,b'It is fascinating and humbling to learn how long it takes to create any piece of art. This took _pencilme (IG) 180+ hours! Check out the different stages of this incredible Paul Walker portrait. \n\n#FanArtFriday #TeamPW https://t.co/qHLR2MNByQ'
1479593960460988422,2022-01-07 23:21:04+00:00,b'\xe2\x80\x9cBelieve you can and you\xe2\x80\x99re halfway there.\xe2\x80\x9d - Theodore Roosevelt \n\nWhat do you want to achieve? #TeamPW https://t.co/BiYQvIaDcM'
1476686912656220161,2021-12-30 22:49:30+00:00,b'What\xe2\x80\x99s your favorite #VarsityBlues moment? #TBT #TeamPW https://t.co/CkPLngXrjg'
1473839235190988809,2021-12-23 02:13:50+00:00,"b'\xe2\x80\x9cSometimes your joy is the source of your smile, but sometimes your smile can be the source of your joy.\xe2\x80\x9d - Nhat Hanh\n\nWhat are you joyful for this holiday season? #TeamPW https://t.co/iVIPA5092z'"
1471924968032284673,2021-12-17 19:27:14+00:00,"b'We love this larger scaled portrait of #PaulWalker, and it\xe2\x80\x99s always fun to see the work that goes behind the creation! Valentina Ivezaj, you\xe2\x80\x99re a wizard with charcoal! \xf0\x9f\x91\x8f \n\n#FanArtFriday #TeamPW https://t.co/XP6SbhP4yL'"
1469387770049314825,2021-12-10 19:25:18+00:00,b'\xe2\x80\x9cBe yourself; everyone else is already taken.\xe2\x80\x9d - Oscar Wilde\n\n#TeamPW https://t.co/NbZ797W4hJ'
