twitter_id,date,tweet
1546505156145172482,2022-07-11 14:42:16+00:00,"b""It\xe2\x80\x99s been one year today since I joined the remarkable crew onboard @VirginGalactic's spaceship VSS Unity and fulfilled my childhood dream. An enormous team effort, standing on the shoulders of giants. This animation says it all: https://t.co/fmPDY3YUDe #RichardsAdventures https://t.co/rJgoJMykk7"""
1546488164235214849,2022-07-11 13:34:45+00:00,"b'RT @TimesRadio: ""Whatever you do, you\'ve got to be passionate about it.""\n\nRichard Branson shares the biggest lesson he learnt when he start\xe2\x80\xa6'"
1546430602114699264,2022-07-11 09:46:01+00:00,b'A fantastic round-up of 2022\xe2\x80\x99s most exciting sustainable start-ups: https://t.co/OtzT5rzS9H @VirginStartUp #VirginFamily https://t.co/LvNDxxC7zg'
1545824277592784898,2022-07-09 17:36:42+00:00,b'Show time @VirginVoyages https://t.co/UC3ffjnuJq'
1545472059777638400,2022-07-08 18:17:07+00:00,"b""Thoughts with Shinzo Abe's loved ones and all of Japan after the transformative Prime Minister's assassination. Japan has proven such a gentle nation over the past decades, setting a great example to the whole world. Such sad news. https://t.co/czC7LVrsWP"""
1545415170066980865,2022-07-08 14:31:03+00:00,"b'What I\xe2\x80\x99m reading: An Astronaut\xe2\x80\x99s Guide to Life on Earth, by Chris Hadfield. @Cmdr_Hadfield. I was honoured to receive my astronaut wings from Chris after my space flight last year, &amp; I\xe2\x80\x99m excited to share his stories with my @literati book club this month: https://t.co/VRYRaYp397 https://t.co/U2UJh31nkv'"
1545342378566991873,2022-07-08 09:41:48+00:00,b'The Sex Pistols changed music forever \xe2\x80\x93 and helped transform Virgin Records into the biggest independent record label in the world. Dennis Morris\xe2\x80\x99 exhibition on Sid Vicious really captures the punk spirit of those days: https://t.co/0GysDuEUW5 https://t.co/kU3vd3YzUm'
1545140250183360514,2022-07-07 20:18:37+00:00,b'Rudy Willingham and @VirginVoyages are a cut above the rest! So much fun. https://t.co/rO3zLqdoJL'
1545048683883872257,2022-07-07 14:14:46+00:00,b'Have been following Richard Glossip\xe2\x80\x99s case for 7 years. Agree with @kmcdugle and @dknightlaw - new evidence proving his innocence is overwhelming &amp; he should have never been sentenced in the first place. Richard deserves a new hearing in a court of law. https://t.co/55FpSfXlww'
1544985253844058113,2022-07-07 10:02:43+00:00,b'@VirginAtlantic Exciting times!'
1544985173065961473,2022-07-07 10:02:24+00:00,b'@JaninaOchojska @pisorgpl Wonderful to meet you Janina.'
1544983964779253763,2022-07-07 09:57:36+00:00,b'@charliehoehn It\xe2\x80\x99s true!'
1544805436657901569,2022-07-06 22:08:11+00:00,b'How can Putin look himself in the mirror? https://t.co/p1DIj4haZi'
1544783756158025735,2022-07-06 20:42:02+00:00,"b'Proud of @VirginUnite funded documentary, The Dreamlife of Georgie Stone, and hope that it will inspire more positive change for LGBTIQA+ people worldwide: https://t.co/U0hI4rWJ7Q @_IgnitingChange https://t.co/8cngwhicNV'"
1544780897395904512,2022-07-06 20:30:41+00:00,"b'Singapore\xe2\x80\x99s disgraceful, broken system of capital punishment doesn\xe2\x80\x99t deliver justice, doesn\xe2\x80\x99t deter crime and all too often targets minorities and the poor. Halt tomorrow\xe2\x80\x99s executions and abolish the death penalty now. https://t.co/QekXg80Ire'"
1544751565067673601,2022-07-06 18:34:07+00:00,b'We have been enjoying watching huge pods of whales swim near Necker in recent weeks and it\xe2\x80\x99s tragic to see them go from frolicking in the sea together to stranded on a beach: https://t.co/el2kr4QRAd https://t.co/8sQHtTuWpS'
1544717997838946305,2022-07-06 16:20:44+00:00,b'So heartbreaking to see dozens of whales beached on a nearby island in the BVI: https://t.co/el2kr4QRAd https://t.co/1gZVZSoPEp'
1544605954032926722,2022-07-06 08:55:31+00:00,"b'Happy birthday to my rock, my love, and my beautiful wife, Joan. https://t.co/8mtS0gmKGl'"
1544602888852455424,2022-07-06 08:43:20+00:00,"b'@chefjoseandres @Ukraine @WCKitchen Thanks for the kind words, and for doing such brilliant work.'"
1544602782040313856,2022-07-06 08:42:55+00:00,b'@VirginAtlantic Congratulations! #VirginFamily'
1544356546095849475,2022-07-05 16:24:28+00:00,"b""Lovely footage from @SirishaBandla's India tour, where she met with space enthusiasts and industry leaders. Such a wonderful part of the @VirginGalactic team and the #VirginFamily https://t.co/75NFEGf1SF"""
1544008391860912130,2022-07-04 17:21:01+00:00,b'.@VirginMoney has launched a \xc2\xa3200m fund to help farmers to transition to net-zero carbon emissions. Fantastic to see this kind of support: https://t.co/Os7aeXXRKS\n\n#NetZero #Agriculture #Banking https://t.co/OINoaYKW0i'
1543300361695395841,2022-07-02 18:27:34+00:00,"b""@BrettCMajor1 We've tagged @virginmedia to make them aware of your tweet. Thanks, VH."""
1543144160525434880,2022-07-02 08:06:52+00:00,b'RT @VirginOrbit: Congratulations to our team for completing another successful mission to space today! We deployed a total of seven custome\xe2\x80\xa6'
1543128265262616576,2022-07-02 07:03:43+00:00,b'RT @VirginOrbit: LauncherOne has once again successfully reached Earth orbit! \xf0\x9f\x9a\x80#StraightUp'
1543104793232769024,2022-07-02 05:30:26+00:00,b'RT @VirginOrbit: WE\xe2\x80\x99RE LIVE! Catch a play-by-play of our #StraightUp launch in the livestream here: https://t.co/yn7cZRKVGP \xf0\x9f\x9a\x80'
1542957310259208194,2022-07-01 19:44:24+00:00,"b'\xe2\x80\x9cIf Ukraine loses, Ukraine ceases to exist. If Russia loses, we have a completely different Russia.\xe2\x80\x9d We must keep this conflict at the forefront of our minds and do all we can to support. https://t.co/NrLbVjoilj #StandWithUkraine https://t.co/BmAXrAJIZL'"
1542900992580222976,2022-07-01 16:00:37+00:00,"b'\xe2\x80\x9cAre we family, or are we just friends? Once you realise it\xe2\x80\x99s your family who is fighting, you realise it\xe2\x80\x99s your war and the politics as well as the optics will change.\xe2\x80\x9d Reflections on my trip to Ukraine: https://t.co/NrLbVjoilj #StandWithUkraine https://t.co/go1DVLlUnl'"
1542211330672918529,2022-06-29 18:20:08+00:00,"b'I remain hopeful that Ukraine and its people will prevail and win this war, taking control of their territory, their sovereignty and their future path. But more than ever, all of us have to stand together and confront the threat Ukraine and the world face https://t.co/f2Ccgf9BkS https://t.co/qeGl3mQ6Ku'"
