twitter_id,date,tweet
1521866915278462978,2022-05-04 14:58:42+00:00,"b""RT @ComedyCentralUK: \xf0\x9f\x97\xa3 'I swear to god this is one of the strangest bits of TV I have ever done!' \xf0\x9f\x98\xb3\n\nTeam captains @JohnnyVegasReal\xc2\xa0and @Vi\xe2\x80\xa6"""
1516800729511608326,2022-04-20 15:27:29+00:00,b'RT @ComedyCentralUK: Will it rip or will it drip?\xf0\x9f\x92\xa7\n\n@MaisieAdam and @krishgm join team captains @VictoriaCoren @JohnnyVegasReal and @rialin\xe2\x80\xa6'
1514304238138150914,2022-04-13 18:07:19+00:00,"b""RT @ComedyCentralUK: \xf0\x9f\x9a\xa8 The day has finally arrived! \xf0\x9f\x9a\xa8\n\nDon't miss brand new @RichardHammond's #BrainReaction starring team captains @Johnny\xe2\x80\xa6"""
1484574911914029059,2022-01-21 17:13:35+00:00,"b'Should you find yourself with literally nothing better to do, come see me and a team of funny celebs in action in a brand-new comedy science panel show; Richard Hammond\xe2\x80\x99s Big Boom Theories. \xc2\xa0If you\xe2\x80\x99d like to see a recording then book tickets here: https://t.co/3iAcPEJKCp'"
1415642257659736074,2021-07-15 11:59:50+00:00,b'We made a show for you! https://t.co/BNIvobRhdF'
1406913486769250306,2021-06-21 09:54:49+00:00,b'I\xe2\x80\x99m making a new show and I\xe2\x80\x99m putting my money where my mouth is.\n\n@discoveryplusuk @drivetribe #RichardHammondsWorkshop https://t.co/9gcTQ9jFkf'
1379181027952881666,2021-04-05 21:15:55+00:00,"b'@Hawley_Richard Now that is a proper, proper classic. I\xe2\x80\x99m a little bit jealous of that one, Richard.'"
1378649127177818113,2021-04-04 10:02:20+00:00,b'https://t.co/UuCrWbP5r2'
1372132425925603330,2021-03-17 10:27:17+00:00,"b'Very sad to hear of the passing of Sabine Schmitz, a proper driving legend who\xe2\x80\x99ll be sadly missed by many. The Ring has lost its Queen. RIP'"
1365674542841139206,2021-02-27 14:45:58+00:00,"b'Can I just pop this here https://t.co/PZeZChutrv new song from my amazing niece, @NellHammond7'"
1361723920613859336,2021-02-16 17:07:36+00:00,b'https://t.co/7AhQNeIshx'
1359209125146730503,2021-02-09 18:34:42+00:00,"b'@TheRichFuller It\xe2\x80\x99s kind of a service really. No fun for us at all ..... welllll, maybe a bit.'"
1359208908326322177,2021-02-09 18:33:51+00:00,b'@Frank_Bullitt @ToryBelleci @JeremyClarkson Yup. Upstaged by an old soccer ball. Life goes on..... Glad the boys enjoyed it.'
1359208627865796615,2021-02-09 18:32:44+00:00,"b'@MotonetMan @ToryBelleci Steady, tell them learning stuff is a serious business and they Must. Not. Laugh. Except when Tory got bitten by fire ants'"
1359201358373679108,2021-02-09 18:03:51+00:00,b'@Freight_Genius ......and that\xe2\x80\x99s where even the best intended efforts can go so very wrong.... Sorry!!!'
1359201108569243656,2021-02-09 18:02:51+00:00,"b'@JMillikenCPA So pleased they enjoyed it. And that they\xe2\x80\x99re interested in science. It\xe2\x80\x99ll save the world, after all.'"
1359200939299770372,2021-02-09 18:02:11+00:00,b'@fostbitten27 And your daughter is soooo very right. Please encourage her: the world needs more engineers.'
