twitter_id,date,tweet
1524064780708835329,2022-05-10 16:32:14+00:00,"b'i\xe2\x80\x99ve been waiting for this moment!! @fentybeauty &amp; @fentyskin are finally dropping in AFRICA!!!\n\nBotswana, Ghana, Kenya, Namibia, Nigeria, South Africa, Zambia, Zimbabwe...we comin at ya May 27th and that\xe2\x80\x99s just the beginning!!! #FentyAfrica https://t.co/LNmYRY3Zip'"
1523053141142360065,2022-05-07 21:32:20+00:00,b'and that\xe2\x80\x99s on self care bih \xf0\x9f\xa7\x96\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/KcLQi9Nwe3'
1521372218617335809,2022-05-03 06:12:57+00:00,b'shut down the met in marble! what\xe2\x80\x99s more gilded than that? Lol! Thank you @metmuseum and @voguemagazine for this historic tribute! y\xe2\x80\x99all bad for this one! https://t.co/NawYMd0RpL'
1520939382697459713,2022-05-02 01:33:01+00:00,b'how sexy is this?!! \xf0\x9f\xa4\x8e #FENTYPARFUM https://t.co/Gr3OPNUbFC https://t.co/IV9bByVKeD'
1520794141277401088,2022-05-01 15:55:52+00:00,"b'wake up and smell the billboard NYC!!!! \n\na wise woman once said, \xe2\x80\x9csmell however the f*ck you want\xe2\x80\x9d \xf0\x9f\x92\x81\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f, \nand that wise woman is also here with great news\xe2\x80\xa6 #FENTYPARFUM is finally back baby @ https://t.co/rWF3tmGT75 https://t.co/vC0hkUwja4'"
1519895519111254016,2022-04-29 04:25:04+00:00,"b'Love and gratitude to both The Prime Minister, The Honorable Mia Amor Mottley and our President, Her Excellency The Most Honorable Dame Sandra Mason for trusting me with this honor!'"
1519895515868975106,2022-04-29 04:25:03+00:00,b'I will forever cherish these memories and continue to represent the Bajan people and my home Barbados to the fullest!! https://t.co/SsDkm2fEO2'
1519895507551674368,2022-04-29 04:25:01+00:00,b'My very first #NationalHeroesDay as a National Hero of my country Barbados! \xf0\x9f\x87\xa7\xf0\x9f\x87\xa7\xf0\x9f\x87\xa7\xf0\x9f\x87\xa7\xf0\x9f\x87\xa7\xf0\x9f\x87\xa7 What an absolute honor to be amongst such great men and women who have come before me and held this title in commitment to our nation! https://t.co/IRJUo2xJa5'
1517697090557673474,2022-04-23 02:49:18+00:00,b'what pores??!!! \n\nmy new @fentyskin\xc2\xa0#COOKIESNCLEAN Detox Face Mask is available NOW and da gworls are liviiinnnggg!!! \n\npick yours up at https://t.co/yH0c5ksLob + @Sephora https://t.co/IKp249vOfa'
1516458237368758273,2022-04-19 16:46:32+00:00,"b'our FIRST EVER face mask removes dirt, oil, &amp; impurities for deeply cleansed, snatched pores!!!\nthe bouncy, light-as-air texture leaves skin feeling creamy soft &amp; smooth\xe2\x80\x94not stripped like the average clay mask from the opps! \n\n#COOKIESNCLEAN drops 4/22 @ https://t.co/yH0c5ksLob'"
1516458233992343553,2022-04-19 16:46:32+00:00,b'meet #COOKIESNCLEAN Whipped Clay Detox Face Mask \xf0\x9f\xa7\x96\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f \xf0\x9f\x98\xb6\xe2\x80\x8d\xf0\x9f\x8c\xab\xef\xb8\x8f\xe2\x80\xa6. YOUR #1 MOST REQUESTED PRODUCT \xf0\x9f\x91\x80\n\nTop ingredients:\n-kaolin clay\n-charcoal\n-salicylic acid (BHA)\n-rhubarb &amp; ginger extracts https://t.co/CdNBY2ynB0'
1516120556810121219,2022-04-18 18:24:43+00:00,b'#cookiesNclean https://t.co/kM3GeAr4Ia'
1514628976953761795,2022-04-14 15:37:43+00:00,b'we at Ulta biiiiiiiitch!!!!\nI had to pull up on @ultabeauty and do my own @fentybeauty Ulta haul to make it official \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x98\x82 https://t.co/l8LRxlRipE'
1513853618134433799,2022-04-12 12:16:43+00:00,"b'if it\xe2\x80\x99s one thing ima do, is laugh out! https://t.co/cuagVo8Goa'"
1513851981718302729,2022-04-12 12:10:13+00:00,b'https://t.co/bKcE44keJO'
1513851971601584128,2022-04-12 12:10:10+00:00,b'back at it with the legendary @annieleibovitz for @voguemagazine https://t.co/UrWeNMsrRA'
1513849307274915840,2022-04-12 11:59:35+00:00,b'our lil fashion killa on da cover of VOGUE!!\n\n@voguemagazine \n\nPhotographer:\xc2\xa0@annieleibovitz \nWriter: @nnadibynature\nFashion Editors:\xc2\xa0\nAlex Harrington &amp; @illjahjah \nHair: Jawara\nMakeup:\xc2\xa0Kanako Takase\nNails: Cam Tran\nEntertainment Director: Sergio Kletnoy https://t.co/Vjixp6cxDo'
1513811314598109185,2022-04-12 09:28:37+00:00,b'ya boy @diggzyphotos out here ackin up https://t.co/6ilO6yxfAU'
1509376529393864705,2022-03-31 03:46:22+00:00,b'https://t.co/UPpan3Z0Ml'
1509376521521172481,2022-03-31 03:46:20+00:00,b'me and my date for Oscar Gold Party #bump22 https://t.co/Wycuxc21OS'
1500298773947293696,2022-03-06 02:34:36+00:00,b'i can\xe2\x80\x99t stand me\xe2\x80\xa6 https://t.co/r801uE2GLV'
1494388735152050192,2022-02-17 19:10:13+00:00,b'me carrying around all my secrets \xf0\x9f\x98\x82\xf0\x9f\xa4\xb0\xf0\x9f\x8f\xbf\xf0\x9f\xa7\xa1 https://t.co/69vobB1ppl'
1494373541495525376,2022-02-17 18:09:51+00:00,"b'bout to be in my ULTA bag!! \n\nDats right, I can finally confirm that @fentybeauty is officially joining the @ultabeauty fam!! \nMarch 6th https://t.co/IGCYmafhOB'"
1494051190748823554,2022-02-16 20:48:56+00:00,b'nerdz. https://t.co/3vAz2TOB34'
1492305128866521089,2022-02-12 01:10:43+00:00,b'https://t.co/aHXYEGsmQW'
1491513813815808009,2022-02-09 20:46:18+00:00,b'all black everything \xf0\x9f\x90\xa3 https://t.co/4KOk1R61pF'
1489048793618153477,2022-02-03 01:31:12+00:00,b'how the gang pulled up to black history month https://t.co/gprFgyP3Xm'
1488558801628409859,2022-02-01 17:04:09+00:00,"b'this soft-matte formula is everything y\xe2\x80\x99all - it includes hyaluronic acid &amp; vitamins C &amp; E for comfortable, lasting wear. the earth-conscious packaging is refillable and ultra-luxe\xe2\x80\xa6.coming feb 4!!'"
1488558797840732162,2022-02-01 17:04:08+00:00,b'introducing\xe2\x80\xa6ICON!! @fentybeauty\xe2\x80\x99s new lipstick collection \xf0\x9f\x92\x8b\xf0\x9f\x92\x84a curated range of 10 bold reds &amp; classic nudes. https://t.co/jmVHYFPkpX'
1488554694586691584,2022-02-01 16:47:49+00:00,b'ICON https://t.co/HxfTzw9FiZ'
1486424384868741123,2022-01-26 19:42:44+00:00,b'@BlackFemFund\n@BlackVisionsMN\n@popdemoc\nThe Climate and Clean Energy Equity Fund\xc2\xa0\n@CJAOurPower\n@DSCEJ\nHive Fund\n@IENearth\n@Mvmnt4BlkLives\n@Native_Mvmt\n@ndncollective\n@100isNow\n@CaribbeanClima1\n@Cyenja\n@theheycampaign\n@GirlsCareJa\n@HelenDaughters\n@integrated_iho'
1486424382893297664,2022-01-26 19:42:43+00:00,"b'\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbf @ClaraLionelFdn &amp; @Jack\xe2\x80\x99s #StartSmall! \n\nwe are partnering with 18 organizations across the U.S. &amp; Caribbean to support the climate justice movement. \n\nthese grants support entities focused on &amp; led by women, youth, Black, Indigenous, people of color &amp; LGBTQIA+ communities. https://t.co/PZKmltln8M'"
1484712547890569216,2022-01-22 02:20:30+00:00,b'when you don\xe2\x80\x99t need a valentine but preparing for one anyway \n\xf0\x9f\x92\x98 \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x8d\xad!!  #XXSAVAGEX @SavageXFenty https://t.co/8fsQbqGJqz https://t.co/Gr39wfc4MJ'
1483251990473756672,2022-01-18 01:36:46+00:00,b'write me a love letter baby #XXSAVAGEX https://t.co/k9MQJp9hxw'
1483143078005202948,2022-01-17 18:23:59+00:00,b'Valentine\xe2\x80\x99s Day is for me\xe2\x80\xa6.\nbut you can watch \xf0\x9f\x98\x98 #XXSAVAGEX \n@SavageXFenty https://t.co/sG8JhwdSDN'
1483108366197014528,2022-01-17 16:06:03+00:00,b'commercial break https://t.co/CfmXe6q00E'
1479506456080748548,2022-01-07 17:33:21+00:00,"b'can\xe2\x80\x99t believe it\xe2\x80\x99s actually that time, and I can\xe2\x80\x99t wait for you to have this experience irl\xe2\x80\xa6. our very first locations: Las Vegas, Los Angeles, Houston, Philadelphia, and Washington DC. watch the @SavageXFenty feed for details \xf0\x9f\x91\x80'"
1479506454184968193,2022-01-07 17:33:21+00:00,"b'2022, we coming in HOT! we bout to bring you a whole new #SavageXFenty experience with the launch of our brick-and-mortar retail stores! https://t.co/KbAI937ZBx'"
1476979291145621504,2021-12-31 18:11:18+00:00,"b'new year, same savage @SavageXFenty https://t.co/6t4aRoriUE'"
1474848577511989252,2021-12-25 21:04:36+00:00,b'when the shrooms hit https://t.co/MbTJHqNLCa'
1474796686249766914,2021-12-25 17:38:25+00:00,b'https://t.co/inMboK8371'
1471704625329827840,2021-12-17 04:51:40+00:00,b'\xe2\x80\xa6\xe2\x80\xa6@SavageXFenty https://t.co/iu1FUr7QEw'
1471571729747111936,2021-12-16 20:03:35+00:00,b'it\xe2\x80\x99s cozy grinch season \xf0\x9f\x92\x9a \n\npick up dis new @savagexfenty and more holiday goodies now at https://t.co/8fsQbqGJqz https://t.co/bw6gGeueE5'
1469736923140820994,2021-12-11 18:32:43+00:00,"b'get into this new 1 minute facial by @fentyskin \xe2\x80\xa6.. #PRESHOWGLOW - a 10% AHA treatment for smooth, glowing, photo-ready skin \xe2\x9c\xa8\xf0\x9f\xa7\x96\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\n\npick it up now at https://t.co/yH0c5ksLob + @Sephora @Kohls @BootsUK @HarveyNichols (dates may vary globally) https://t.co/i9KWLMpYVD'"
1463612711045005313,2021-11-24 20:57:17+00:00,b'3 looks based off 3 iconic @fentybeauty gloss bomb shades #FENTYGLOW #FU$$Y #HOTCHOCOLIT \xf0\x9f\x92\x8b\xf0\x9f\x92\x8b\xf0\x9f\x92\x8b \n\npick up these holiday drops now at https://t.co/Gr3OPNUbFC @Sephora @BootsUK @HarveyNichols https://t.co/mx4VQKeTwq'
1462977867738861568,2021-11-23 02:54:39+00:00,b'all he want for Christmas\xe2\x80\xa6 \xf0\x9f\x8e\x84 https://t.co/ZPVLzsCccn'
1462198192368353286,2021-11-20 23:16:30+00:00,b'get into this \xf0\x9f\x8d\x91!!!\n\n#RESTINGPEACHFACE available now at @fentybeauty @Sephora @BootsUK @HarveyNichols https://t.co/nnt33fjaJH'
1456318388377030679,2021-11-04 17:52:15+00:00,b'the RIH \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbf ISSUE \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbf cop these limited edition color vinyl + exclusive merch sets before dey gon\xe2\x80\x99 !!!\n\npre-order now at https://t.co/hseweBVnhT https://t.co/zi9rTnnOCB'
1456317574216519681,2021-11-04 17:49:01+00:00,"b'\xe2\x80\x9ctoday\xe2\x80\x99s kids will never know what vinyl is\xe2\x80\x9d , they said! \n#theRIHissue https://t.co/hseweBVnhT https://t.co/ekN3EjWNw4'"
1455022250306854916,2021-11-01 04:01:52+00:00,b'holiday szn bout to be Xtra af\n#TisTheSavage https://t.co/jpuNvvFmIT'
1454991201484955653,2021-11-01 01:58:29+00:00,b'https://t.co/W8T4Pzm7m6'
1454991191620026371,2021-11-01 01:58:27+00:00,b'D . S . 4 \xf0\x9f\xa5\xb7\xf0\x9f\x8f\xbb https://t.co/T6HqlOnYPF'
1454982636523307014,2021-11-01 01:24:27+00:00,b'the Gunna\xe2\x80\x99z. \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbf https://t.co/11T3Bnj5F4'
1454484801092653067,2021-10-30 16:26:14+00:00,"b'RT @SavageXFenty: \xf0\x9f\x97\xa3\xef\xb8\x8fAYE #RihannaNavy, where u at?! We need UR HELP TO SNATCH...\ntrophies that is! \xf0\x9f\x8f\x86  \n\nVote for the #SAVAGEXFENTYSHOW VOL.\xe2\x80\xa6'"
1449841193278271490,2021-10-17 20:54:11+00:00,b'if you woke up late\xe2\x80\xa6this for you https://t.co/XMx8qeCBkQ'
1449466704686313473,2021-10-16 20:06:06+00:00,b'yerrrrrr \xf0\x9f\x93\x9e @SavageXFenty https://t.co/vlcqsD6aL0'
1444776513862201346,2021-10-03 21:28:58+00:00,b'what\xe2\x80\x99s another word for Savage? RIHLENTLESS!! it\xe2\x80\x99s giving very \xe2\x80\x9cphuck yo marketing team\xe2\x80\x9d \n\n@SavageXFenty @PrimeVideo https://t.co/DD7pUx2cxL'
1443817132412841986,2021-10-01 05:56:43+00:00,b'get all your favorite looks from our #SAVAGEXFENTYshow collection NOW on https://t.co/GIq2RIYTpr https://t.co/xvb7jvCced'
1443246064484691969,2021-09-29 16:07:30+00:00,b'now you know!! \n\n#SAVAGEXFENTYSHOW VOL. 3 @PrimeVideo @SavageXFenty https://t.co/X67xfc6CEZ'
1440362372154023956,2021-09-21 17:08:44+00:00,"b""let's \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbf go \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbf vol. 3 \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbf\n\nSeptember 24th!! @PrimeVideo @SavageXFenty @AmazonFashion #SAVAGEXFENTYSHOW https://t.co/aaWTXoHHsu"""
1440054936302014470,2021-09-20 20:47:06+00:00,b'my mood after handing in the final cut of the @SavageXFenty show to @PrimeVideo \n\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbf\xe2\x9c\x82\xef\xb8\x8f\xe2\x99\x9fSeptember 24th #VOL3 https://t.co/Aceckw1Yf8'
1438911234674417670,2021-09-17 17:02:26+00:00,b'me waiting for vol. 3 to drop knowing y\xe2\x80\x99all ain\xe2\x80\x99t ready. \n@SavageXFenty @PrimeVideo https://t.co/qUfvDM3b5O'
1438368971930091520,2021-09-16 05:07:41+00:00,b'never still. @RIMOWA #RIMOWA https://t.co/tqgGfXtw3A'
1438368743093112834,2021-09-16 05:06:46+00:00,b'never still. @RIMOWA #RIMOWA https://t.co/6mLMAFXpar'
1438343135038513152,2021-09-16 03:25:01+00:00,b'reppin\xe2\x80\x99 for the immigrants. #MET21 \n\n@illjahjah #hectorespinal @yusefhairnyc #naphiawhite #mariasalandra @BALENCIAGA https://t.co/IHBEm3SqsP'
1437417726058827777,2021-09-13 14:07:46+00:00,b'#SAVAGEXFENTYSHOW VOL. 3!!\n\nstart making that guest list to ya watch party baby \xe2\x80\xa6. sept. 24 \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbf\n\n@PrimeVideo @SavageXFenty @AmazonFashion https://t.co/dkGWrH0ZPy'
1437172516909457415,2021-09-12 21:53:24+00:00,b'who\xe2\x80\x99s that peeking in my window\xe2\x80\xa6..POW! \n\n#SAVAGEXFENTYSHOW Vol. 3 \xf0\x9f\x91\x80 Sept. 24 @PrimeVideo https://t.co/vroU6XfuNd'
1436401717692694528,2021-09-10 18:50:31+00:00,b'dat Rihanna reign just won\xe2\x80\x99t let up!! @Dazed https://t.co/YLsz42uoum'
1436356018569502728,2021-09-10 15:48:55+00:00,b'Editor-in-Chief: Ib Kamara\nExecutive Editorial Director: @lynettesaid \nArt Director: Gareth Wrighton'
1436356017378394115,2021-09-10 15:48:55+00:00,b'Photography: Rafael Pavarotti\nStyling: Ib Kamara\nHair: @yusefhairnyc\nMake-up: Daniel Sallstrom using @fentybeauty and @fentyskin\nNails: Maria Salandra\nSet Design: Ibby Njoya \nProduction: View Finders\nText: @durgapolashi'
1436356015226642432,2021-09-10 15:48:54+00:00,b'autum 2021 #reinventingthefuture issue of @dazed \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbf\xe2\x9d\xa4\xef\xb8\x8f https://t.co/D3ON5Jgc3B'
1432925795538718720,2021-09-01 04:38:26+00:00,b'new new just dropped \xf0\x9f\x92\x9c @savagexfenty #UXTRA https://t.co/cMXwjFScm5'
1430939804892504065,2021-08-26 17:06:49+00:00,b'Oh you think you ready ?!#SAVAGEXFENTYSHOW VOL. 3 \n\n\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbf\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbf\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbf droppin 9/24. only on @PrimeVideo https://t.co/ZyCm9Ev6HG'
1428593392888344584,2021-08-20 05:43:01+00:00,b'and on that note\xe2\x80\xa6Siri you could catch these hands! https://t.co/qjpvaLLBAN'
1425161363077230596,2021-08-10 18:25:21+00:00,b'how I woke up after #FENTYPARFUM sold out this morning!!! https://t.co/JB1e5birlE'
1424972319827521536,2021-08-10 05:54:10+00:00,b'just remember it\xe2\x80\x99s not you\xe2\x80\xa6it\xe2\x80\x99s 2021 https://t.co/75BUSP3zn1'
1424884518058565656,2021-08-10 00:05:16+00:00,b'just sayin\xe2\x80\x99 \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xe2\x80\xa6 https://t.co/EmC4ysMdjR'
1424470093946408976,2021-08-08 20:38:30+00:00,b'#FENTYPARFUM \xe2\x80\xa6\xe2\x80\xa6\xe2\x80\xa6\n\nget early access: https://t.co/qw885kFEk2 https://t.co/DzsPkZ0kmE'
1422360335063814149,2021-08-03 00:55:04+00:00,"b'Behind every Savage, there\xe2\x80\x99s a story\xe2\x80\xa6 and who more savage than my Caramel Curves !!! We don\xe2\x80\x99t just sell panties over here @savagexfenty, we represent the culture! \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbf\xe2\x9d\xa4\xef\xb8\x8f #savageXcaramelcurves https://t.co/ForVL1x06N'"
1421232912838635521,2021-07-30 22:15:06+00:00,b'https://t.co/88qccsEDs9'
1421232898095599621,2021-07-30 22:15:02+00:00,b'when #GLOSSBOMB is #1 in North America\xe2\x80\xa6annnnddd #GLOSSBOMBHEAT is numero tres!!! I never get used to this shit! Thank you guys for lovin up on my lil @fentybeauty lipglosses man https://t.co/rYEn6Xnib2'
1420605420473917443,2021-07-29 04:41:40+00:00,b'https://t.co/7kKj4n6REH'
1420605355692802051,2021-07-29 04:41:25+00:00,b'what was said @ramonasinger ? \xf0\x9f\x98\x82 #RHONY https://t.co/iNCoAoux5z'
1420430196826681344,2021-07-28 17:05:23+00:00,b'#FENTYPARFUM\xc2\xa0COMING SOON\xf0\x9f\x91\x80 https://t.co/QfoybTN3T5'
1416195275320877056,2021-07-17 00:37:19+00:00,b'thot season needs terry lingerie \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/WH9hTPjAIB'
1412533322694246408,2021-07-06 22:06:02+00:00,b'energy all summa. and that\xe2\x80\x99s on #GLOSSBOMBHEAT https://t.co/4aB5bqlhPF'
1410433292608753666,2021-07-01 03:01:16+00:00,b'.@ClaraLionelFdn\xe2\x80\x99s annual report \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbf \nand you know we just gettin started! https://t.co/9e5Sd0oIQc'
1410383345389768707,2021-06-30 23:42:47+00:00,b'#SavageXPride\xf0\x9f\x8c\x88 \n\n....pride forever!!! https://t.co/djmyPvrarh'
