twitter_id,date,tweet
1544317336005509128,2022-07-05 13:48:39+00:00,b'Tennis and the @PostcodeLoterij have reunited us! It was a lot of fun to be part of yesterday\xe2\x80\x99s tennis clinic on Playground Reigersbos in Amsterdam together with @krajiceknl and @EstherVergeer. \xf0\x9f\x98\x83\xf0\x9f\x8e\xbe\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbc https://t.co/Es9GQ7n5KD'
1542031008509353984,2022-06-29 06:23:36+00:00,b'Europe Avengers assemble \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc #teameurope #London https://t.co/LS44mzm6ji'
1540287458994278402,2022-06-24 10:55:22+00:00,b'The RF shirt returns\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\nThis is for all my fans. Thanks for your constant support. \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc https://t.co/44u6NtBxOh'
1530919408809521156,2022-05-29 14:30:04+00:00,"b'We gave in\xe2\x80\xa6 \xf0\x9f\x98\x84\nBut we couldn\xe2\x80\x98t be happier, \nWelcome to the family Willow\xe2\x9d\xa4\xef\xb8\x8f\n#delfie \xf0\x9f\x90\xb6 https://t.co/pwePmm1IaK'"
1529191073557397506,2022-05-24 20:02:17+00:00,b'Congrats Jo Willy on an epic career. It was a pleasure to share the court with you. So many great memories\xf0\x9f\x92\xa5\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc                                         @tsonga7 https://t.co/1v1ak9wTEb'
1528054470776455169,2022-05-21 16:45:50+00:00,b'I had a need for speed \xf0\x9f\x8f\x8e\xf0\x9f\x92\xa8              Good Luck tomorrow @LewisHamilton @GeorgeRussell63 \n@MercedesAMGF1 https://t.co/EZLcjmewoK'
1527624495107919872,2022-05-20 12:17:16+00:00,b'Feeling like a tourist in my own country\xf0\x9f\x98\x82\xf0\x9f\x98\x9d\xf0\x9f\x87\xa8\xf0\x9f\x87\xad https://t.co/PMPgqbUdA2'
1522167010238545920,2022-05-05 10:51:10+00:00,b'RT @rogerfedererfdn: Join Roger on his emotional trip to Malawi\xf0\x9f\x87\xb2\xf0\x9f\x87\xbc. Watch the full video on our Youtube channel.\n\nWatch here\xf0\x9f\x93\xb9: https://t.co/\xe2\x80\xa6'
1520130557975400451,2022-04-29 19:59:02+00:00,b'Thank you for the incredible hospitality and standing commitment. We look forward to continuing our growing partnership in early childhood education in Malawi. \n\n#sustainabledevelopementgoals\n#RogerFedererFoundation \n#educationempowers https://t.co/S0eIKMMNe8'
1519874127418597376,2022-04-29 03:00:04+00:00,"b'RT @ParliamentofMw: Roger Federer @rogerfederer, tennis star and President of the Roger Federer Foundation (RFF) @rogerfedererfdn met with\xe2\x80\xa6'"
