twitter_id,date,tweet
1545211064790294528,2022-07-08 01:00:01+00:00,b'The premiere of #GenerationGap starts right now! Watch my pal @KellyRipa knock it out of the park hosting a battle of the ages. And watch me do my best not to screw it up as this episode\xe2\x80\x99s secret guest \xf0\x9f\xa4\xab  Who would you play this game with?! https://t.co/dVzEVJ1iE7'
1542563780764344322,2022-06-30 17:40:39+00:00,"b""RT @nettabarzi: AaAaAhhh is this really happening?? \xf0\x9f\x94\xa5 I'm hosting @americantop40 this weekend while @ryanseacrest is out!! \xf0\x9f\x92\x85 Listen live (h\xe2\x80\xa6"""
1540337455559213057,2022-06-24 14:14:02+00:00,"b'A day where nobody could get anything done if they tried. Happy #TakeYourDogToWorkDay, but Georgia just put in her two week notice https://t.co/K6hEDmS5QM'"
1540011007829053442,2022-06-23 16:36:50+00:00,"b'Happy birthday @YO_RANDYJACKSON ! Grateful that we recently got to celebrate the life-changing chapter together with the 20 year #IdolReunion. Love you, hope today is a special one https://t.co/sAM5I05fuh'"
1538919354162503680,2022-06-20 16:19:00+00:00,"b'Happy birthday to a true American treasure. Love you, Papa @LionelRichie https://t.co/BIUvhNE4WE'"
1538555769557176320,2022-06-19 16:14:15+00:00,b'Got it from my pops. #HappyFathersDay to my greatest role model https://t.co/U1rqhVrNMg'
1537884055227596806,2022-06-17 19:45:05+00:00,"b""RT @RyanFoundation: It's no surprise that this name on the #SeacrestStudios schedule grabbed a lot of Attention from patients! Thanks for h\xe2\x80\xa6"""
1536713068369129474,2022-06-14 14:12:00+00:00,b'I could get used to this new Ca-NINE to five. RT the best paw-sible dog pun #Georgia https://t.co/dVFrd4uhGs'
1534182485633941505,2022-06-07 14:36:22+00:00,b'The boys. https://t.co/1Vxvjxncl4'
1533839678767505409,2022-06-06 15:54:11+00:00,b'RT @RyanFoundation: A little post visit sing-along with @andygrammer at @childrens \xf0\x9f\x98\x8d #SeacrestStudios https://t.co/JlOGPnbraL'
1533118000223531010,2022-06-04 16:06:29+00:00,b'.@OnAirWithRyan / @1027KIISFM team dinner last night. And the hosting duties continue tonight at #WangoTango ! https://t.co/DjpCPKd288'
1532373351792005120,2022-06-02 14:47:31+00:00,"b'Now &amp; then. Another great show by @katharinemcphee and @officialdfoster, thanks for coming by https://t.co/OtNCsDe6JX'"
1528762135437881351,2022-05-23 15:37:50+00:00,"b'Introducing the winner of the 20th season of @AmericanIdol ! Congrats, @noahthompsonmu1. This is only the beginning! https://t.co/oEn0TxUm6R'"
1528528661585899521,2022-05-23 00:10:06+00:00,b'A walk to remember &amp; and a night you\xe2\x80\x99ll never forget. The @AmericanIdol finale is LIVE now!\xe2\x81\xa3 https://t.co/VrS8hR5mih'
1528511903298752512,2022-05-22 23:03:30+00:00,b'Got a good feeling about tonight. And it all starts with Flo Rida kicking off our 3 hour @americanidol finale ! @official_flo https://t.co/ilFaLOV0H0'
1526023908935143424,2022-05-16 02:17:06+00:00,b'Your @AmericanIdol TOP 3! @_LeahMarlene still can\xe2\x80\x99t believe it https://t.co/v7I1PpD1UY'
1525998503025004544,2022-05-16 00:36:09+00:00,b'Dimmed the lights \xf0\x9f\x95\xb6 here we go. Time to find out who makes our @americanidol Top 3 ahead of the finale!\xe2\x81\xa3 https://t.co/uDg9l7sJcE'
1524028252204982275,2022-05-10 14:07:05+00:00,"b'The tradition continues\xe2\x80\xa6 Happy birthday, Mom! Your chickens love you! https://t.co/NxX6r5ZDcf'"
1523485520277524481,2022-05-09 02:10:27+00:00,b'Just posted a photo @ American Idol at CBS Studios https://t.co/wfMI2m5FWe'
1523469198000676865,2022-05-09 01:05:36+00:00,b'Make sure you vote tonight ! @AmericanIdol https://t.co/NMliDXlloF'
1523457140735635456,2022-05-09 00:17:41+00:00,"b'Run don\xe2\x80\x99t walk, @americanidol is on now !\xe2\x81\xa3\n\xe2\x81\xa3\nStyled by\xe2\x81\xa3 @mrmiles_siggins \xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\nHair by @jaysonstacy\xe2\x81\xa3 https://t.co/Ruh23FyTDp'"
1523408294051647488,2022-05-08 21:03:35+00:00,"b'To the two best moms, business partners, friends and role models who know that eating your fruits \xf0\x9f\x8d\x8ais just as important as having a mouthful of cake from time to time \xe2\x80\x94 Happy #MothersDay! Love you! https://t.co/TWpovOsWrq'"
1521323670940962817,2022-05-03 03:00:02+00:00,"b'Ready for all the nostalgia, West Coast? Your #IdolReunion starts now! #AmericanIdol https://t.co/j7PBE8KLFU'"
1521295354657972224,2022-05-03 01:07:31+00:00,b'What was your favorite duet from the #IdolReunion? #AmericanIdol'
1521293843810947072,2022-05-03 01:01:31+00:00,b'Don\xe2\x80\x99t forget to tune in on SUNDAY as our Top 7 perform LIVE COAST-TO-COAST for your votes! 8PM ET/5PM PST on ABC. #AmericanIdol'
1521293797984018432,2022-05-03 01:01:20+00:00,"b'#AmericanIdol contestants have sold over 66 MILLION albums, 500 #1 Billboard Hits, and 63 Platinum Records! Cheers to 20 years of creating superstars.  #IdolReunion https://t.co/bUYxWmhZaA'"
1521293618631389186,2022-05-03 01:00:37+00:00,b'Be sure to check out Scotty\xe2\x80\x99s latest album \xe2\x80\x9cSame Truck\xe2\x80\x9d inspired by the truck he won on #AmericanIdol and Lauren\xe2\x80\x99s latest album \xe2\x80\x9cSitting Pretty On Top Of The World\xe2\x80\x9d !'
1521293469142163456,2022-05-03 01:00:01+00:00,b'The Hair. The fit. Some things should never be reunited. @JustinGuarini on the other hand was a joy to see. #IdolReunion #20Years #AmericanIdol https://t.co/WcducVMLB8'
1521292451130056704,2022-05-03 00:55:59+00:00,b'Now it\xe2\x80\x99s time for Class of 2011 Winner and Runner-Up @ScottyMcCreery and @Lauren_Alaina\xe2\x80\x99s duet! Singing \xe2\x80\x9cWhen You Say Nothing At All\xe2\x80\x9d by Alison Krauss and Union Station. #AmericanIdol'
1521292324025815047,2022-05-03 00:55:28+00:00,b'So far this #IdolReunion has solidified that things get better with age. #AmericanIdol'
1521292149211475971,2022-05-03 00:54:47+00:00,b'.@JustinGuarini everybody! I guess he didn\xe2\x80\x99t get the wig memo...'
1521292039194914824,2022-05-03 00:54:21+00:00,"b'Tip, tip, hooray! Thank god SOME things change #FrostedTips #AmericanIdol https://t.co/qKNJIZUlIG'"
1521290875388805123,2022-05-03 00:49:43+00:00,b'#AmericanIdol is practically royalty now that we know the QUEEN watches'
