twitter_id,date,tweet
1545611810773995521,2022-07-09 03:32:26+00:00,"b'Jimbo is one cool cat - see #PawsOfFury in theatres July 15, get tickets now: https://t.co/6U2KVHlvUm https://t.co/qGsKLrEi2u'"
1541881078415101952,2022-06-28 20:27:50+00:00,b'Every training montage needs a good theme song. Tickets to #PawsOfFury are on sale now: https://t.co/6U2KVHlvUm https://t.co/i2NJGxf1DM'
1541195186176290817,2022-06-26 23:02:21+00:00,"b'@tedcruz Still mad about that Thoughts &amp; Prayers tweet, Raphael??!'"
1540550316977885184,2022-06-25 04:19:52+00:00,b'How\xe2\x80\x99s Uncle Clarence feeling about Overturning Loving v Virginia??!!'
1538637183564648448,2022-06-19 21:37:45+00:00,b'@KurtBelcher They actually dubbed my voice!!!!\nHahahahahaha'
1538204169646919685,2022-06-18 16:57:07+00:00,"b'RT @NAACP_LDF: Black joy is a radical act.\n\nThis Juneteenth, celebrate generations of Black leaders, honor our icons, and lift up your voic\xe2\x80\xa6'"
1537954526065356800,2022-06-18 00:25:07+00:00,"b'It\xe2\x80\x99s FYC time!  I\xe2\x80\x99m so proud of @thelastdaysofptolemygrey and the amazing work the hair, makeup and prosthetic artists did to bring Ptolemy Grey to life! @televisionacad voters, please consider their wonderful work when you vote!  Many thanks! https://t.co/jFJCD0BYF2'"
1537587507918843904,2022-06-17 00:06:43+00:00,"b""'BLACK CULTURE REMIX: WHY THE 1990S IS EVEN FRESHER TODAY' virtual panel this Sat. 6/18 at 11am PT! Featuring @StephanieAllain, @JabariBanx, @IamWendyRaquel, @MarioVanPeebles &amp; me -- moderated by @FeliceBlake &amp; @gilrobertson. RSVP at https://t.co/reGW03vRa2 https://t.co/vvyvVt4XKZ"""
1537519690330742785,2022-06-16 19:37:14+00:00,b'You wanna be a samurai? You gotta go through me first. #PawsOfFury is in theatres on July 15. https://t.co/yS6mXBubFq'
1536212230726877187,2022-06-13 05:01:51+00:00,b'RT @CBS: This moment will forever live rent free in our head. \n\nThese two! \xf0\x9f\x98\x82 @BillyCrystal @SamuelLJackson #TonyAwards https://t.co/RLyKUyx\xe2\x80\xa6'
1532400501429395469,2022-06-02 16:35:24+00:00,b'@CocoGauff Congrats\xe2\x80\xbc\xef\xb8\x8f\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe'
1530707342676750336,2022-05-29 00:27:24+00:00,"b'@TheSportsJinks Hang with it, joy is right around the corner!!'"
1528805085999812608,2022-05-23 18:28:30+00:00,"b'@bazqwerts @MarkHamill HAPPY BIRTHDAY, MILO\xe2\x80\xbc\xef\xb8\x8fMAY THE FORCE BE WITH YOU\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe\xe2\x80\xbc\xef\xb8\x8f'"
1523715780776390657,2022-05-09 17:25:26+00:00,"b'@thepianolessonplay comes to Broadway this fall, and you can get access to presale tickets before the general public. Use the link in bio, or visit https://t.co/dWnPsk9eZ3 and use the code PIANOFAN2 when purchasing tickets. Presale is happening now through this Thursday, May 12. https://t.co/aXswD6HsT0'"
1521871860341821443,2022-05-04 15:18:21+00:00,"b'Today is International Firefighters\' Day (IFFD).\xc2\xa0 In celebration, @LearyFF will host the 6th Annual Denis Leary FDNY Firefighter Challenge at ""The Rock"".\xc2\xa0 To help raise much-needed funds for departments across the USA, please donate here: https://t.co/AvmD6JTJx3 https://t.co/yGpS6qJkMF'"
1521827753930203137,2022-05-04 12:23:05+00:00,b'MAY THE FOURTH BE WITH YOU\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe\xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8fThanks @takashiokazaki &amp; APPLEBUM\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe#macelives https://t.co/4SIirXeFk9'
1517591405312368640,2022-04-22 19:49:21+00:00,b'Check out the real story of Earvin \xe2\x80\x9cMagic\xe2\x80\x9d Johnson on @AppleTVPlus #TheyCallMeMagic https://t.co/tQO2EO8Heo'
1517178826022785024,2022-04-21 16:29:54+00:00,b'HAPPY BIRTHDAY @wodybash\xf0\x9f\x8e\xb6\xf0\x9f\x8e\xb6\xf0\x9f\x8e\x82\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe\xe2\x80\xbc\xef\xb8\x8fMurdering My Thirst #liquiddeath https://t.co/Z2mkGs3Aix'
1517169642753638400,2022-04-21 15:53:25+00:00,"b'@hhliving1101 @OfficiaIDenzeI L2R, Bus Howard, Eldon Bullock, D &amp; me, Unca Bob at Eugene Lee\xe2\x80\x99s wedding in Baltimore!'"
1516928198369501185,2022-04-20 23:54:00+00:00,b'Grad School Buckets on the way for \xe2\x81\xa6@JazzC2_\xe2\x81\xa9 \xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe\xe2\x80\xbc\xef\xb8\x8fShow Up &amp; Show Out \xf0\x9f\x92\xaf https://t.co/x0KDGsr5X2'
1513565943028363264,2022-04-11 17:13:36+00:00,b'The official trailer is here! Hear me as the voice of Jimbo in #PawsofFury: The Legend of Hank - only in theatres July 15. https://t.co/9FB6nJLGic'
1513565440190128136,2022-04-11 17:11:36+00:00,b'The official trailer is here! Hear me as the voice of Jimbo in #PawsofFury: The Legend of Hank - only in theatres July 15. https://t.co/Px0LIxM1dw'
1509918526462742531,2022-04-01 15:40:04+00:00,b'Revelations Of Will Smith Call With Oscar Bosses Outrages Board &amp; More #SmartNews  https://t.co/0CEj5wGcyw'
1507166383586557956,2022-03-25 01:24:02+00:00,b'Anybody beside me think these commentators are Gonzaga fans?'
1505590086758383617,2022-03-20 17:00:23+00:00,"b'Hey, @MagicJohnson, I have a big game coming up in this round of #MarchMadness. What do you say to an emergency bracket reading? And this time, no rabbits. @CapitalOne #CapitalOnePartner https://t.co/zlZBoLPwZb'"
1503505217735770113,2022-03-14 22:55:52+00:00,b'@NotherBrother You Did Not hear this come out of my mouth!!!'
1502337740792344586,2022-03-11 17:36:44+00:00,"b'Memory is more powerful than one may think. Inspired by the Walter Mosley novel comes The Last Days of #PtolemyGrey, available now on @appletvplus. Find it here: https://t.co/SOBRIrZc04 https://t.co/xduBGyGxWq'"
1501686639260803079,2022-03-09 22:29:29+00:00,"b'Tune in to @fallontonight to catch @jimmyfallon and me talking about golf, laser \xe2\x80\x9ccutlery\xe2\x80\x9dand my new show #TheLastDaysOfPtolemyGrey which drops this Friday on @AppleTVPlus https://t.co/jPcQrAu0SK'"
1501624126359887879,2022-03-09 18:21:05+00:00,b'My friends @AlzResearchUK have teamed up with @OmazeUK to give you the chance of winning this luxury house in the beautiful Lake District. Enter the draw (UK residents only) and you\xe2\x80\x99ll be helping to fund breakthroughs in dementia research! Enter today\xc2\xa0https://t.co/fkiD91GQOb https://t.co/Rh1ZofuUZh'
1501624115299557376,2022-03-09 18:21:02+00:00,"b""Voting rights \xe2\x80\x94 especially for Black and young voters \xe2\x80\x94 are under attack. That's why @WhenWeAllVote, @MichelleObama and @CP3 are launching the #VoteLoud HBCU Squad Challenge to ensure that we make our voice heard in 2022 and beyond. Visit https://t.co/yDJ3B6h6kr to learn more. https://t.co/IGA38bMa9d"""
1499831204857610242,2022-03-04 19:36:39+00:00,b'Come check us out on Thursday March 10th at the 92nd St. Y. We\xe2\x80\x99ll be talking about my new @appletvplus limited series #lastdaysofptolemygrey and life in general. Hope to see you there! https://t.co/mg4dxF34pD https://t.co/j45EpAQDh1'
1490822870561615873,2022-02-07 23:00:45+00:00,"b'When a song title becomes reality. Location today was This Street! Too, too Dope.Extras &amp; food... Outstanding!!!#thenwetakeithigher#secretinvasion#Brixtonshowingout @ Brixton https://t.co/RFMCbSWau7'"
1489660711269711875,2022-02-04 18:02:44+00:00,"b'Memory is power. Based on the novel by Walter Mosley comes The Last Days of #PtolemyGrey, available March 11 on @appletvplus https://t.co/SOBRIrZc04 https://t.co/5WqMeQsXUy'"
1489279212330627082,2022-02-03 16:46:48+00:00,"b'Patch, no patch, no scar, no scar. Old School Fury Day, gotta find the Groove!#SecretInvasion#justlikeridingabike https://t.co/SjSgXZlvgj'"
1488835702775287808,2022-02-02 11:24:27+00:00,"b'During Black History Month, Black History, Black Freedom, and Black Love \xe2\x80\x93 an unprecedented three-part class on @masterclass that explores the American History we weren\xe2\x80\x99t taught in school \xe2\x80\x93 is available to stream for free. https://t.co/LVHfF8kwDe https://t.co/SD2peNPAyB'"
1486827135562043394,2022-01-27 22:23:07+00:00,"b""She's an icon who is finally having her say. Join Janet Jackson and watch her two-part documentary airing Friday January 28th and Saturday January 29th at 8/7c only on Lifetime and A&amp;E! #JanetJacksonDoc @lifetimetv @aetv @JanetJackson https://t.co/jYgR6vG9oe"""
1485354623749742592,2022-01-23 20:51:53+00:00,"b'@zellieimani Okay, I met Dr King, but not at a pool hall. That\xe2\x80\x99s NOT me!!'"
1485353202426032137,2022-01-23 20:46:14+00:00,"b'RT @zellieimani: Dr. Martin Luther King, Jr. shooting pool in 1966. Samuel L. Jackson, who was a freshman at Morehouse College at the time,\xe2\x80\xa6'"
1485143597729169413,2022-01-23 06:53:20+00:00,"b'RT @AttorneyCrump: Tuskegee Airman Charles McGee flew a record-breaking 409 aerial fighter combat missions. \xf0\x9f\x9b\xa9\xef\xb8\x8f\xc2\xa0\nMore than that, he fought f\xe2\x80\xa6'"
1484631180330811402,2022-01-21 20:57:11+00:00,b'Almost everything you think you know about drug addiction is wrong. Check out #TheFix to learn more. The @PublicRecordTV series is adapted from @johann.hari\xe2\x80\x99s book \xe2\x80\x9cChasing the Scream: The First and Last Days of the War on Drugs.\xe2\x80\x9d Premiering January 21 on @TheRokuChannel. https://t.co/59UfkerON1'
1481399951791849472,2022-01-12 22:57:26+00:00,b'\xe2\x80\x98The Last Days Of Ptolemy Grey\xe2\x80\x99: Samuel L. Jackson Limited Series Gets Premiere Date &amp; First Look Images \xe2\x80\x93 Deadline https://t.co/Atn8s99FpH'
1481289084215914496,2022-01-12 15:36:53+00:00,b'Nothing is more powerful than a mind set free. Stream The Last Days of #PtolemyGrey March 11 on @AppleTV https://t.co/SOBRIrZJPC https://t.co/ILCZ8WWsKY'
1480764054696169473,2022-01-11 04:50:36+00:00,b'BULL DAWG NASHUN\xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8fGITTIN\xe2\x80\x99 IT DONE\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf'
1479517096107290632,2022-01-07 18:15:38+00:00,b'Just posted a photo https://t.co/UU4sWhnRyJ'
1474151312698789889,2021-12-23 22:53:56+00:00,b'The Most Kickass Christmas Movie Evahhhhh\xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f#CharlieBaltimore#Frank&amp;Ernest#dahdeedahdum https://t.co/GoHIyrHdar'
1474150014288949257,2021-12-23 22:48:46+00:00,b'Most Kickass Christmas Movie EVAH\xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f https://t.co/oQgDXd1wOO'
1470695309852483585,2021-12-14 10:01:00+00:00,b'Switching Gears for a second. Throwing an Afro State of Mind into the Fury mix. Should be Delicious\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe\xe2\x80\xbc\xef\xb8\x8f#secretinvasion#bootssandalsbullets&amp;blades @ Hyde Park https://t.co/8FpRv0umYM'
1468948713150115842,2021-12-09 14:20:39+00:00,"b'#CapitalOnePartner Capital One Shopping is my gift to you this year. It earns you big savings while you shop. Don\xe2\x80\x99t thank me, thank @CapitalOne and my friend John\xe2\x80\x94I mean, Santa! https://t.co/tbuem7Yt1F'"
1468516341590155269,2021-12-08 09:42:34+00:00,"b'Not here for the games this week... but still gonna have some fun\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe\xe2\x80\xbc\xef\xb8\x8f#secretinvasion#wholelottafurygoinon @ London, United Kingdom https://t.co/ihC3aDry7T'"
1465809381660913665,2021-11-30 22:26:04+00:00,"b""Take home my Adidas Y-3's while supporting\nhttps://t.co/IuZoTWYRUQ in the #CelebrityShoeAuction so @SmallStepsDocs can\xc2\xa0support children living on a landfill! Bid Generously!  Learn more about their work here: https://t.co/hGAmOYsGqi https://t.co/cLseVsNxS1"""
1460157427177844738,2021-11-15 08:07:13+00:00,b'Stepping into this week like...#secretinvasion#earlycallsincreasesttitude https://t.co/xUA7dCFq55'
1459478388792516610,2021-11-13 11:08:58+00:00,"b'Wow, thanks. I just might have to read this! https://t.co/6Ai6TivqnW'"
1459285578185277441,2021-11-12 22:22:48+00:00,"b'MarvelStudios\xe2\x80\x99Secret Invasion, an Original Series, coming soon to @DisneyPlus. #DisneyPlusDay#NewLookSameAttitude https://t.co/Pd9y8S5WUC'"
