twitter_id,date,tweet
1545526176860569606,2022-07-08 21:52:09+00:00,"b""@WillLongman @VirginAtlantic We're on hiatus but gonna take care of this when back!"""
1543281216148963330,2022-07-02 17:11:29+00:00,b'Cazzie David and I are starting a support group for those with loved ones in ukulele bands https://t.co/E54lSPUDv8'
1542676820885127168,2022-07-01 01:09:50+00:00,b'Damning Jan. 6 Hearings Reveal Trump Coup Plotters Had Criminal Intent: ... https://t.co/rKtWFjfN1e'
1542320750597754882,2022-06-30 01:34:56+00:00,"b""RT @LateNightSeth: Cassidy Hutchinson's testimony revealed that Trump wanted his supporters allowed into his rally armed and planned to lea\xe2\x80\xa6"""
1542145085134995457,2022-06-29 13:56:54+00:00,b'RT @nicharcourt: @sethmeyers check out my #21Questions interview with your pal #FredArmisen on my @SparkNetwork5 #SoundOfSuccess podcast. A\xe2\x80\xa6'
1542140413099872258,2022-06-29 13:38:20+00:00,"b""If you've never watched a @JomboyMedia breakdown, do yourself a favor --- Angels and Mariners benches clear, a breakdown https://t.co/qeR2FRmuzl"""
1542128174892457984,2022-06-29 12:49:42+00:00,"b'If you EVER get a chance talk to @KeshaRose about demons, ghosts and the like, you must.... https://t.co/PCPt1oZyX6'"
1541954777273323521,2022-06-29 01:20:41+00:00,"b""Corrupt Republicans Shredded the Supreme Court's Legitimacy with Roe Rul... https://t.co/dCteREboo8"""
1541802659434430466,2022-06-28 15:16:13+00:00,b'Beanie Feldstein is a LIGHT! https://t.co/3r6ft6oO0n'
1541753831821811712,2022-06-28 12:02:12+00:00,b'A delightful conversation with @MatthewModine that includes a great Val Kilmer story https://t.co/VWH6ArnN8H'
1541613885236678656,2022-06-28 02:46:06+00:00,"b""It's the last night of Emmy voting and I feel STRONGLY that @rheaseehorn deserves a nomination for BETTER CALL SAUL"""
1541613279616843776,2022-06-28 02:43:42+00:00,b'People tell you and tell you and tell you and then you finally watch FOR ALL MANKIND and is indeed great'
1541591490044071937,2022-06-28 01:17:07+00:00,"b""Here's @JeffRightNoww being great five different ways -  Supreme Court Rulings Debate Who's Next to Be Overturned https://t.co/ijQVsNSrsk"""
1541583384358666240,2022-06-28 00:44:54+00:00,"b""Planned Parenthood's Alexis McGill Johnson Responds to the Overturning o... https://t.co/r2N3Ja4Gwe"""
1541537333706719234,2022-06-27 21:41:55+00:00,"b'People FINALLY filing out after the ""Specjackular: A Celebration of CORRECTIONS!"" after party.  A night to remember!!!! https://t.co/DySowNAIuC'"
1541489089899364352,2022-06-27 18:30:13+00:00,"b""RT @connorratliff: Tomorrow at 11:45AM ET, the @GLucasTalkShow makes its debut on @paulscheer's FriendZone @Twitch channel with special gue\xe2\x80\xa6"""
1540307065587073026,2022-06-24 12:13:16+00:00,b'They said it would never happen but here it is.  The Specjackular: A Celebration of CORRECTIONS! https://t.co/DySowNAIuC'
1540122050886524930,2022-06-23 23:58:05+00:00,b'#FYC our writers https://t.co/S4PsxSwVSE'
1539775840396972032,2022-06-23 01:02:22+00:00,b'RT @LateNightSeth: The #January6th hearings have further revealed that Trump and his allies were aware that they had no evidence of electio\xe2\x80\xa6'
1539681260225892355,2022-06-22 18:46:32+00:00,"b'Real shout out to the @Realrclark25, @FredTaylorMade @OfficialCrowder and everyone at @thepivot for this delightful interview.  A side of @CoachTomlin I had never seen before! https://t.co/d7gBRpuzfk'"
1539607796576129025,2022-06-22 13:54:37+00:00,b'CORRECTIONS is deeply important work.   If it wasn\xe2\x80\x99t why would Samberg be making that face in this picture? https://t.co/F3iY0gRBSR'
1539582153041788929,2022-06-22 12:12:43+00:00,b'If the news has you down please enjoy the most recent installment of THE KIND OF STORY WE NEED RIGHT NOW https://t.co/nDj6qLlSSe via @YouTube'
1539272672722530304,2022-06-21 15:42:58+00:00,b'FYC: Bluest Sweater https://t.co/lcmGJst2WV'
1539252641536135171,2022-06-21 14:23:22+00:00,"b'At the 2:22 mark of last night\'s monologue I told a joke that went ""0 for the audience"" laugh-wise! https://t.co/diECca0jo3'"
1539064331601682433,2022-06-21 01:55:05+00:00,b'Trump Dangles Pardons for Jan. 6 Defendants After Blockbuster Hearings: ... https://t.co/YrhiOe0J4d'
1538946830553186304,2022-06-20 18:08:11+00:00,b'A conversation with @adamchitwood  where I admit the entire goal of CORRECTIONS is to make @shoemakermike laugh https://t.co/7azfZMzBMe'
1538927987478896640,2022-06-20 16:53:18+00:00,b'CORRECTIONS is a deeply stupid endeavor that I adore a great deal https://t.co/atzOOkgUkx'
1538166474744938498,2022-06-18 14:27:19+00:00,b'Great to talk to \xe2\x81\xa6@ElvisMitchell\xe2\x81\xa9 again. Even better to share an episode with \xe2\x81\xa6@AoDespair\xe2\x81\xa9 discussing WE OWN THIS CITY  https://t.co/SodAJDC57r'
1537807007339761667,2022-06-17 14:38:56+00:00,"b'It\xe2\x80\x99s our 50th CORRECTIONS!  And if you didn\xe2\x80\x99t like the first 49, I can\xe2\x80\x99t see why this one would be any different! https://t.co/6XfT8Sg8Vv'"
1537794643865264128,2022-06-17 13:49:48+00:00,"b'I do so enjoy time spent with @SHODesusAndMero and, FYI, @THEKIDMERO told me his baseball game got rained out - THANK GOD Lit Day Drinking &amp; Dallas BBQ ft. Seth Meyers https://t.co/VojGDYycbw'"
1537612888545931265,2022-06-17 01:47:34+00:00,b'Jan. 6 Hearing Reveals Trump and John Eastman Knew Their Plan Was Illega... https://t.co/xeNutkdQsx'
1537240470555791360,2022-06-16 01:07:43+00:00,"b""Rudy Claims He Wasn't Drunk on Election Night; Guilfoyle Made $60K on Ja... https://t.co/Pss8q2Ub3m"""
1537083919958429699,2022-06-15 14:45:38+00:00,"b'RT @scott_tobias: For @MoviesReveal, I wrote about Philip Baker Hall in HARD EIGHT. P.T. Anderson conceived his debut film as a monument to\xe2\x80\xa6'"
1537067487518511105,2022-06-15 13:40:21+00:00,"b'Sometimes we discuss what\'s important.  Other times we discuss what\'s VERY important.  Here is, ""Best-Case Scenario, Worst-Case Scenario and One with Bees"" https://t.co/S9O6xxFOru'"
1536531400706383872,2022-06-14 02:10:07+00:00,"b'Blockbuster Jan. 6 Hearing Focuses on Drunk Rudy, Debunks Trump\xe2\x80\x99s Big Li... https://t.co/WwFvu7xbcq'"
1535271972984193025,2022-06-10 14:45:36+00:00,"b'On this week\xe2\x80\x99s CORRECTIONS we reveal that, this entire time, JACKAL has been an acronym https://t.co/VJovV0hAkn'"
1535103625298685952,2022-06-10 03:36:39+00:00,"b""From before tonight's hearings --- Audio of Kevin McCarthy, Texts From Fox News Hosts About Jan. 6 Revealed... https://t.co/zU2ixyVQye"""
1535103325191999499,2022-06-10 03:35:28+00:00,b'On the night of the insurrection @salgentile scrapped our script and wrote this instead.  17 months later every word still rings true https://t.co/WViVv4UxjP'
1535078639062384640,2022-06-10 01:57:22+00:00,b'RT @salgentile: Here is tonight\xe2\x80\x99s closer look which was taped before the hearing but focuses on what the investigation has already revealed\xe2\x80\xa6'
1534725256161665024,2022-06-09 02:33:09+00:00,b'https://t.co/vpZjq6LsVg'
1534350345081655297,2022-06-08 01:43:23+00:00,b'Seth and @PostMalone Go Day Drinking https://t.co/uRNYi2OB6y'
1533980638327578627,2022-06-07 01:14:18+00:00,b'Top Pence Aide Warned Secret Service That Trump Would Turn on Pence: A C... https://t.co/pImLHEtsoZ'
1533831294320185344,2022-06-06 15:20:52+00:00,b'Looking forward to conversing with my friend @aidybryant (not pictured) at the #tribecafilmfestival next Monday https://t.co/hMi62W53lS'
1532033788288671745,2022-06-01 16:18:13+00:00,b'No memory of this.... https://t.co/99dAIy1MSC'
1530202382428160001,2022-05-27 15:00:52+00:00,b'@mikescollins Could have used you in the room!!!!'
1530164975993507840,2022-05-27 12:32:14+00:00,b'But for premium Air Bud content make this your destination https://t.co/UsJ8HBXkfW'
1530164901209157632,2022-05-27 12:31:56+00:00,b'Air Bud was once again addressed in corrections https://t.co/qLK2yE7Ev4'
1529995456654213120,2022-05-27 01:18:37+00:00,b'Ted Cruz Storms Off After Questions About Guns https://t.co/3AqzVCrxMv'
1528907495158304770,2022-05-24 01:15:27+00:00,"b""Wally had to wear a wig for tonight's CLOSER LOOK but he didn't need to keep it on for the whole thing.... https://t.co/kgKaNBzIWd"""
1527765329203433472,2022-05-20 21:36:53+00:00,"b'RT @nytimes: Roger Angell, the elegant and thoughtful baseball writer who was widely considered among the best America has produced, has di\xe2\x80\xa6'"
1527709674010730498,2022-05-20 17:55:44+00:00,"b'And then @ashemusic with ""Another Man\'s Jeans.""  My son Ashe was gutted when he realized this booking had nothing to do with him but did concede he dug the song https://t.co/hDyqCs30ga'"
1527709672584658945,2022-05-20 17:55:44+00:00,"b'Two very different styles from our musical performances this week but both wonderful.  First up, @sleafordmods with ""Shortcummings."" I really regret not joining in on the dancing.  https://t.co/rcrVOPrMzW'"
1527647703294943234,2022-05-20 13:49:29+00:00,b'Possibly our longest CORRECTIONS to date highlighted by Samberg\xe2\x80\x99s FASCINATING insight on what it takes to host a talk show. https://t.co/mt37pGEeZT'
1527459129018798082,2022-05-20 01:20:09+00:00,b'Tonight\xe2\x80\x99s CLOSER LOOK https://t.co/ohKcBPqFEt'
1527094796342501377,2022-05-19 01:12:26+00:00,"b""RT @LateNightSeth: Despite Trump's endorsement, Republican Congressman Madison Cawthorn lost his GOP primary in North Carolina. Seth takes\xe2\x80\xa6"""
1527063657854664705,2022-05-18 23:08:42+00:00,b'This is a TRAILER right here! https://t.co/YVEDU4VrBL'
1527062598738251776,2022-05-18 23:04:29+00:00,"b'If you\xe2\x80\x99re looking for a good Father\xe2\x80\x99s Day present, my friend, @bet_teddyg wrote \xe2\x80\x9cQuarterback Dads\xe2\x80\x9d and promised me that reading it GUARANTEES your child will not only make it in the NFL as a QB but will start WEEK ONE! https://t.co/KnhI76JgG0'"
1527058461854507009,2022-05-18 22:48:03+00:00,b'@mikescollins Really missed @conner_omalley today.  He would have loved these.'
