twitter_id,date,tweet
1545801677596291072,2022-07-09 16:06:54+00:00,b'An ashtray should make you feel good. And that\xe2\x80\x99s why this is\xe2\x80\xa6 https://t.co/c9pyanKByi'
1545155725890007040,2022-07-07 21:20:07+00:00,b'I made this orb. https://t.co/XfYZXrMju0'
1544832496285540353,2022-07-06 23:55:43+00:00,b'@vinn_ayy Did you tweet this while we were filming?'
1543770311186821120,2022-07-04 01:34:58+00:00,b'I made these vases. https://t.co/0rsqnl7QIz'
1543768926126870529,2022-07-04 01:29:28+00:00,b'@kriziaguirre Nice!'
1541243399696592896,2022-06-27 02:13:56+00:00,b'Get my gloop here: https://t.co/K01DT23Cas'
1541243326141046784,2022-06-27 02:13:38+00:00,b'I made more gloop. https://t.co/c9yq6ww4xt'
1539297680639152128,2022-06-21 17:22:20+00:00,b'#Herogasm is\xe2\x80\xa6 cumming. https://t.co/cdnXjo406v'
1538692333423558657,2022-06-20 01:16:54+00:00,b'RT @TheBoysTV: This is the emoji we couldn\xe2\x80\x99t get Twitter to approve \xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f https://t.co/eXGVUugQO4'
1538679138508189697,2022-06-20 00:24:28+00:00,b'Next week: #Herogasm'
1538401554121707522,2022-06-19 06:01:27+00:00,"b'Just to clarify, in #TheBoys cinematic universe \xe2\x80\x9cSeth Rogen\xe2\x80\x9d is an actor who stars in films with Black Noir, and that actor also goes by the alias SirCumsAlot779.'"
1537468580568043520,2022-06-16 16:14:09+00:00,"b'@MitchellMaple If this is the joke, it doesn\xe2\x80\x99t feel that bad.'"
1537274390575951873,2022-06-16 03:22:30+00:00,b'@MarisaPabon Use a key to pop the nub!'
1536830161135423488,2022-06-14 21:57:17+00:00,b'@MarKOG_ Those are pretty good'
1535400175924965376,2022-06-10 23:15:02+00:00,"b""RT @TheBoysTV: Had enough? Too f*ckin' bad, because we'll be back for SEASON 4. https://t.co/6BtMTy1Wq1"""
1535305795532881920,2022-06-10 17:00:00+00:00,b'More #TheBoys is coming babyyyyy! https://t.co/OnJLlEHo05'
1535050397189951488,2022-06-10 00:05:09+00:00,b'@MerryJaines Nice! Enjoy!'
1533187177776967680,2022-06-04 20:41:23+00:00,b'RT @TheBoysTV: Enjoy!!! https://t.co/6pCLiukOeN'
1532949457142095872,2022-06-04 04:56:46+00:00,b'@Boiiisnotgay420 Yes I know.'
1532755192508080128,2022-06-03 16:04:49+00:00,"b'As always, we must celebrate McLovin day. https://t.co/2S6vhfHmjx'"
1532580812750610433,2022-06-03 04:31:54+00:00,b'The first few episodes of #TheBoys are available NOW!'
1532440219667947520,2022-06-02 19:13:14+00:00,"b'RT @NBCThisisUs: Caring for a loved one is one of the most human things we can do.\n\nJoin @TheMandyMoore, @jonhuertas, and @ChrissyMetz as t\xe2\x80\xa6'"
1532170797078282240,2022-06-02 01:22:39+00:00,b'RT @GQMagazine: This week on #GQHype: @TheBoysTV are back https://t.co/lf2xigCmrx https://t.co/XXDit3qlxb'
1532081502506188800,2022-06-01 19:27:49+00:00,"b'Right now, all over the world\xe2\x80\xa6 good weed is being rolled in to bad joints. And it\xe2\x80\x99s a goddam shame. https://t.co/RWvP7Fiqdf'"
1531104731921125376,2022-05-30 02:46:29+00:00,b'Just saw a kid in a t-shirt that said \xe2\x80\x9cBreaking Hearts and Blasting Farts\xe2\x80\x9d and I gave him a respectful nod.'
1529876461611388933,2022-05-26 17:25:46+00:00,"b'I can\xe2\x80\x99t believe Ray Liotta has passed away. He was such a lovely, talented and hilarious person. Working with him was one of the great joys of my career and we made some of my favorite scenes I ever got to be in. A true legend of immense skill and grace.'"
1529809511464071169,2022-05-26 12:59:44+00:00,b'@rollablazer @netflix @OkayBearsYC @JohnnyDeppWatch @SethMacFarlane @NetflixUK Haha if you\xe2\x80\x99re gonna lie about me at least spell my name right.'
1528135041506631680,2022-05-21 22:05:59+00:00,b'@alecsm7 The translucent is dead and cannot perform his role in the film as a result.'
1528052795382738944,2022-05-21 16:39:10+00:00,b'@TrustyCranberry Welcome to my dark domain.'
1528028534999904257,2022-05-21 15:02:46+00:00,b'@BlakeMi72352002 @cornett I don\xe2\x80\x99t think so.'
1527725863172591616,2022-05-20 19:00:04+00:00,b'RT @ZackSnyder: Congratulations to Director Bourke. Excited to see your vision realized.'
1527455917054144512,2022-05-20 01:07:24+00:00,b'@cornett I wouldn\xe2\x80\x99t call what I do \xe2\x80\x9cnetworking\xe2\x80\x9d. I generate my own material and have forged deep rooted and long lasting creative relationships with dear friends based on a mutual respect for one another\xe2\x80\x99s talents and sensibilities.'
1527423628756721664,2022-05-19 22:59:05+00:00,b'@taliadion_ No'
1527041586059587584,2022-05-18 21:40:59+00:00,"b'@miakhalifa Fuck yeah you do, Sir Mia.'"
1526961250353041411,2022-05-18 16:21:46+00:00,b'My dear friends made this film and it looks fucking hilarious! https://t.co/mosGZWhvPR'
1526263984822751234,2022-05-16 18:11:05+00:00,b'RT @JackQuaid92: \xf0\x9f\x96\x95\xf0\x9f\x8f\xbbThis trailer won\xe2\x80\x99t prepare you for how bonkers this season is. I guarantee it. June 3rd. @TheBoysTV #TheBoys https://t.c\xe2\x80\xa6'
1526235800953712640,2022-05-16 16:19:05+00:00,b'RT @DiscussingFilm: Jensen Ackles as Soldier Boy in #TheBoys Season 3. https://t.co/eIufAUtUDG'
1526235576554250241,2022-05-16 16:18:12+00:00,b'@dane_d_bane Not by a long shot'
1526235205630976002,2022-05-16 16:16:43+00:00,b'@theeashleyray Yay!'
1526234071948357632,2022-05-16 16:12:13+00:00,b'The BOYS IS COMING BACK SOON! https://t.co/Cp5rAthg2n'
1526219274624245761,2022-05-16 15:13:25+00:00,b'@Veiledgg @HouseplantCo Nice!! Enjoy!'
1526000297507663872,2022-05-16 00:43:17+00:00,b'@shields_dylan @CMLounsbury I\xe2\x80\x99ve been on EP on movies where I was essentially an on-set writer and so have many others.'
1526000004887810049,2022-05-16 00:42:07+00:00,b'@shields_dylan @CMLounsbury That is not at ALL accurate. TONS of EPs have a purely creative role. There is absolutely nothing that all EPs have in common.'
1525839699742314496,2022-05-15 14:05:07+00:00,"b'@thelovemaster Jim Burrows? I can name several actually. Also in movies, sometimes the director can overpower the producer, but not always by a long shot. The producer can usually actually fire the director.'"
1525839251371200512,2022-05-15 14:03:20+00:00,b'@CarlitosTwit There is not answer. It makes no sense and never will.'
1525707012201336832,2022-05-15 05:17:52+00:00,b'@CMLounsbury @shields_dylan You should tell them they\xe2\x80\x99re giving out completely wrong information.'
1525667566089228289,2022-05-15 02:41:07+00:00,b'@HermanoBeaumont Nope!'
1525629417229193216,2022-05-15 00:09:32+00:00,b'@davidgrossTV Yep'
1525629295376289792,2022-05-15 00:09:03+00:00,b'@danielkminto Sometimes but not always at all.'
1525606375170027520,2022-05-14 22:37:58+00:00,b'@alurabrava I actually didn\xe2\x80\x99t ask any questions. I know it\xe2\x80\x99s arbitrary semantics.'
1525604254466985984,2022-05-14 22:29:33+00:00,b'@mangovsgrape I know. I wish I was \xe2\x80\x9cguy with a watermelon on my head\xe2\x80\x9d funny.'
1525603433188761600,2022-05-14 22:26:17+00:00,b'@shields_dylan This is not really an accurate way of describing these distinctions. I\xe2\x80\x99m the EP of tv shows I don\xe2\x80\x99t write for and I\xe2\x80\x99ve been the producer of movies I didn\xe2\x80\x99t hire the writer for.'
1525599861638254592,2022-05-14 22:12:05+00:00,b'@alurabrava I\xe2\x80\x99m an executive producer on several TV shows I didn\xe2\x80\x99t write one word of. And I\xe2\x80\x99m the producer of some movies I had nothing to do with getting the financing for.'
1525585020986880000,2022-05-14 21:13:07+00:00,b'@alurabrava That\xe2\x80\x99s not true. Sorry!'
1525575773221814274,2022-05-14 20:36:22+00:00,b'@GoForGorman @ShaydaSanii @Nelstradamus I was not famous when we filmed Knocked Up. I was a barely recognizable actor.'
1525574755423686656,2022-05-14 20:32:20+00:00,"b'@GoForGorman @ShaydaSanii @Nelstradamus Often EPs on tv shows will have the exact same responsibilities as Producers on films, and often they have nothing to do with what you\xe2\x80\x99re saying.'"
1525574135169941504,2022-05-14 20:29:52+00:00,b'@GoForGorman @ShaydaSanii @Nelstradamus Thanks for explaining my own jobs to me! You are wrong. Sorry. That\xe2\x80\x99s not the distinction.'
1525573670659248128,2022-05-14 20:28:01+00:00,b'@danielkminto I mean they are higher up in the structure of the show.'
1525564992338087936,2022-05-14 19:53:32+00:00,b'@CEOnChairman They\xe2\x80\x99re the same job just with different titles in different mediums.'
1525557535767351296,2022-05-14 19:23:54+00:00,b'@CarlitosTwit The executive producers are creatives in TV. It\xe2\x80\x99s literally the same job often.'
1525557382436098051,2022-05-14 19:23:18+00:00,b'@CarlitosTwit Nope!'
1525555322311454721,2022-05-14 19:15:06+00:00,b'@dan_lazard Nope!'
