twitter_id,date,tweet
1546501462775177216,2022-07-11 14:27:35+00:00,"b'RT @bep: BTS of #DontYouWorry w/ @shakira + @davidguetta \xf0\x9f\x91\xbd\xf0\x9f\x9b\xb8 BCN to LA: 3 sets, UFOs, aliens, elevating cars + special FX... We\xe2\x80\x99re proud to\xe2\x80\xa6'"
1545806641043542018,2022-07-09 16:26:37+00:00,b'Nos ense\xc3\xb1aste a levantarnos despu\xc3\xa9s de cada ca\xc3\xadda y esta vez sabemos que lo volveras a hacer. Te amamos. https://t.co/1Eh71ixUYu'
1545114991115763714,2022-07-07 18:38:15+00:00,b'Merci @spotifyfrance \xf0\x9f\x92\x8b bisous https://t.co/B6TffNTsjA'
1545037889058140160,2022-07-07 13:31:52+00:00,b'Gracias por estas 200 millones de visitas!\xf0\x9f\xa5\xb0\xf0\x9f\x98\x8d Thank u all for these 200 million views!!\xf0\x9f\xa5\xb0\xf0\x9f\x98\x8d https://t.co/S8cR1VWU5J https://t.co/m4dlRumpOQ'
1544701065597259785,2022-07-06 15:13:27+00:00,"b'Porque est\xc3\xa9n donde est\xc3\xa9n, #LosHermanosTambi\xc3\xa9nCuran \xf0\x9f\x92\x99. Siempre. Estamos segur\xc3\xadsimos de ello. @juegaterapia https://t.co/v6CKtaOgss'"
1544509188499312640,2022-07-06 02:31:00+00:00,b'#DancingWithMyself \xe2\x9c\xa8 https://t.co/m2Zsie3Nlt'
1544259972074184705,2022-07-05 10:00:42+00:00,b'#TeFelicito #1 en radio en Espa\xc3\xb1a! \xf0\x9f\x87\xaa\xf0\x9f\x87\xb8 https://t.co/S2ORZkbueU'
1543981660399702018,2022-07-04 15:34:48+00:00,b'See you tomorrow! #DancingWithMyself  10/9c on @nbc https://t.co/JNbDmjXBDn'
1543263040845529090,2022-07-02 15:59:16+00:00,"b""50 MILLONES DE ESCUCHAS MENSUALES en @Spotify! Gracias por esto y por tanto, son mi motor! Los quiero \xf0\x9f\x92\x8b\xe2\x9d\xa3\xef\xb8\x8f 50 MILLION MONTHLY LISTENERS on @Spotify! I can't believe it. You're the reason I keep doing this. Thank you so much for all the love.\xf0\x9f\x92\x8b\xe2\x9d\xa3\xef\xb8\x8f https://t.co/lqxcOkIxjH"""
1542889160981217280,2022-07-01 15:13:36+00:00,b'30M views on @YouTube! #DontYouWorry \xf0\x9f\x91\xbd@bep @davidguetta https://t.co/kfuZByhcZC https://t.co/Z87vOM7sn3'
1542606015325249536,2022-06-30 20:28:28+00:00,b'#tbt when @jimmyfallon and I danced #TeFelicito \xf0\x9f\x92\x9c\xf0\x9f\xa4\x96 @FallonTonight  https://t.co/WbHzNGNWdd'
1541795573770100742,2022-06-28 14:48:04+00:00,b'Check out a sneak peek from tonight\xe2\x80\x99s episode of #DancingWithMyself and don\xe2\x80\x99t forget to tune in tonight at 10/9c on @nbc to see who wins! https://t.co/zXOtPC1dWP'
1540034576701087745,2022-06-23 18:10:30+00:00,b'\xe2\x80\x9cWaka Waka Shakira\xe2\x80\x9d\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\xa4\xadIn case you missed #DancingWithMyself you can watch it now for free on @peacockTV! https://t.co/A3UZp4Ljmw https://t.co/iE7i3lPDQQ'
1539440179781435395,2022-06-22 02:48:34+00:00,"b""Learn this dance. Post your video using the #DancingWithMyselfAtHome tune in to see if you're featured! https://t.co/Uk4kFa8RM1"""
1539437565027270658,2022-06-22 02:38:11+00:00,b'#DancingWithMyself https://t.co/NAfJFlawyJ https://t.co/V5ZXoWsI2C'
1539434449892429826,2022-06-22 02:25:48+00:00,b'@Benjamin010203 \xf0\x9f\xa4\xad'
1539426028908601344,2022-06-22 01:52:21+00:00,b'See you TONIGHT! \xf0\x9f\x92\x8b #DancingWithMyself on @nbc https://t.co/HzKnT1X7mX'
1539325009444982784,2022-06-21 19:10:56+00:00,b'Tengo los mejores fans del mundo! No puedo creer que #TeFelicito acaba de pasar los 150 MILLONES DE VISTAS en @YouTube\xf0\x9f\x92\x8bPara celebrar les dejo un v\xc3\xaddeo especial detr\xc3\xa1s del set del v\xc3\xaddeo en mi canal de YouTube! https://t.co/22jPvM59L7'
1539211090390921216,2022-06-21 11:38:15+00:00,b'#DancingWithMyself TONIGHT 10/9c on @nbc https://t.co/luhfiyxxTa'
1539211056589033472,2022-06-21 11:38:07+00:00,b'RT @bep: #DontYouWorry we just hit 10M views on @youtube @Vevo What a crazy ride this weekend has been... From release day to living it up\xe2\x80\xa6'
1537921022761967619,2022-06-17 22:11:59+00:00,"b""Don't You Worry w/ @bep + @davidguetta \xf0\x9f\x91\xbd OUT NOW on all platforms! https://t.co/tF7Kxq0E3Z https://t.co/BF9gZFIRjV"""
1536899768097570816,2022-06-15 02:33:53+00:00,b'https://t.co/n1tBZWTH4q https://t.co/FAcApgTluY'
1536898674600681474,2022-06-15 02:29:32+00:00,b'\xf0\x9f\x92\x8b\xf0\x9f\x92\x8b\xf0\x9f\x92\x8b https://t.co/IffGgliddF https://t.co/2D6PrXg6Fn'
1536898275713896448,2022-06-15 02:27:57+00:00,b'\xe2\x9d\xa3\xef\xb8\x8f https://t.co/iasEhz4Qre https://t.co/nPR27zhxOs'
1536897407476240386,2022-06-15 02:24:30+00:00,b'Learn this dance. Post your video using the #DancingWithMyselfAtHome and tune in to see if you\xe2\x80\x99re featured! Dancing with Myself airs TUESDAY 10/9c on @nbc https://t.co/ozoxsN3jGh'
1535983079680094209,2022-06-12 13:51:18+00:00,b'I just heard from my team that the \xe2\x80\x9cTe Felicito\xe2\x80\x9d video flew past 100 million views yesterday! \nYou are the best fans in the whole wide world! \nThanks so much for your support and love! \xe2\x9d\xa4\xef\xb8\x8f'
1535983011283476482,2022-06-12 13:51:01+00:00,b'Me acaba de contar mi equipo que el v\xc3\xaddeo de \xe2\x80\x9cTe Felicito\xe2\x80\x9d ya sobrepas\xc3\xb3 las 100 millones de visitas! \nSon los mejores fans del mundo!!!\nGracias por tanto apoyo y cari\xc3\xb1o!! \xe2\x9d\xa4\xef\xb8\x8f https://t.co/n2VqwsaR9L'
1535629390083723267,2022-06-11 14:25:51+00:00,b'I\xe2\x80\x99ve been working on this limited edition perfume for a long time and I\xe2\x80\x99m so excited that you now have the chance to make it yours \xf0\x9f\x8c\xb8\xe2\x9c\xa8 https://t.co/rrccAjk44R (Available on US &amp; LATAM stores only) https://t.co/ha7332p3rz'
1535607062729744386,2022-06-11 12:57:08+00:00,"b""RT @bep: \xf0\x9f\x91\xbdDON'T YOU WORRY \xf0\x9f\x91\xbd\nw/ @shakira  + @davidguetta \n\nOUT FRIDAY!\n\nPre-save at: https://t.co/ia7qzgfCmc https://t.co/ijBKlDMRxI"""
1534659356444311553,2022-06-08 22:11:17+00:00,b'You guys looked great! Be sure to check out the #DancingWithMyselfAtHome challenge each week for your chance to dance on TV too. I can\xe2\x80\x99t wait to see your moves! https://t.co/TMCuQ9eVLb'
1534588106241982464,2022-06-08 17:28:10+00:00,"b'Con mi pap\xc3\xa1 de alta, ya en casa y en el camino ascendente, ayud\xc3\xa1ndole con su estimulaci\xc3\xb3n cognitiva despu\xc3\xa9s del traumatismo. Gracias a todos por arroparnos con su inmenso cari\xc3\xb1o.\xe2\x9d\xa3\xef\xb8\x8f https://t.co/YykUegL4ww'"
1534364917360361473,2022-06-08 02:41:18+00:00,b'https://t.co/6Q5a4PMgVT https://t.co/ZfsDfA2N7Z'
1534361353548439556,2022-06-08 02:27:08+00:00,"b'RT @NBCTeamShakira: #DancingWithMyself is really what we need to believe that music and dance does not choose gender, race or any human dif\xe2\x80\xa6'"
1534359320095297536,2022-06-08 02:19:03+00:00,b'\xe2\x9d\xa3\xef\xb8\x8f https://t.co/YlB8g6Nurm'
1534358191189938177,2022-06-08 02:14:34+00:00,b'https://t.co/duv10mPftD https://t.co/A7ordrScL9'
1534186800138399744,2022-06-07 14:53:31+00:00,b'Don\xe2\x80\x99t miss tonight\xe2\x80\x99s episode of Dancing With Myself! 10/9c on @nbc https://t.co/hFHNkVPwpg'
1533032401148026880,2022-06-04 10:26:21+00:00,b'https://t.co/QLMtUuiJEd'
1532414247535267844,2022-06-02 17:30:02+00:00,b'So humbled. Thank you for all of the love. https://t.co/Y2JaF6fc0J'
1532089682451804160,2022-06-01 20:00:19+00:00,b'RT @Spotify: Q: what do hips and numbers have in common?\nA: they do not lie\nWelcome to the #BillionsClub @Shakira \xf0\x9f\x92\x83 https://t.co/qi5YLHPtaQ'
1532029246075551748,2022-06-01 16:00:10+00:00,"b'Dr. Elizalde y el equipo de oftalmolog\xc3\xada de la Fundacion Barraquer ayudando a los ni\xc3\xb1os de nuestra escuela @fpiesdescalzos en Cartagena, Colombia. Gracias a todo el equipo m\xc3\xa9dico que dona su tiempo y esfuerzo a nuestros ni\xc3\xb1os mas vulnerables. \xe2\x9d\xa3\xef\xb8\x8f https://t.co/S8Hq0TYI17'"
1531828852477108224,2022-06-01 02:43:53+00:00,b'I want to see your favorite moments from tonight\xe2\x80\x99s show! #DancingWithMyself https://t.co/SMBnuX98KG'
