twitter_id,date,tweet
1546497010571677696,2022-07-11 14:09:54+00:00,b'RT @SJofficial: SUPER JUNIOR \xec\x8a\x88\xed\x8d\xbc\xec\xa3\xbc\xeb\x8b\x88\xec\x96\xb4\xec\x9d\x98 \xec\x84\xa0\xed\x83\x9d\xec\x9d\x80? | \xf0\x9f\x91\x88\xec\x99\xbc\xeb\xa7\x9d? \xec\x98\xa4\xeb\xa7\x9d?\xf0\x9f\x91\x89 Balance Game\n\n\xf0\x9f\x93\x8dhttps://t.co/eUV6g1qC7P\n\n#\xec\x8a\x88\xed\x8d\xbc\xec\xa3\xbc\xeb\x8b\x88\xec\x96\xb4 #SUPERJUNIOR\n#The_Road_Keep_on_Going\n#M\xe2\x80\xa6'
1546459738258362369,2022-07-11 11:41:48+00:00,b'\xd9\x86\xd9\x87\xd8\xa7\xd9\x8a\xd8\xa9 \xd9\x86\xd8\xb5\xd9\x81 \xd8\xa7\xd9\x84\xd8\xad\xd9\x85\xd8\xa7\xd9\x85. \xf0\x9f\x90\xb3 https://t.co/wpoRhjE3ZX'
1546352597879386112,2022-07-11 04:36:03+00:00,b'RT @SJofficial: [SUPER JUNIOR \xe2\x80\x98The Road : Keep on Going\xe2\x80\x99 Countdown Live]\n\xe2\x9e\xab 2022.07.12 5PM (KST)\n\n\xf0\x9f\x8e\xa5 SUPER JUNIOR YouTube Channel : https://t\xe2\x80\xa6'
1546341825794912259,2022-07-11 03:53:15+00:00,"b""RT @SJofficial: SUPER JUNIOR The 11th Album Vol.1 [The Road : Keep on Going] \n\n'Mango' MV Teaser #2\n\n\xf0\x9f\x93\x8d https://t.co/mYb3Vzl4R1\n\n\xf0\x9f\x8e\xa7 2022.07.1\xe2\x80\xa6"""
1546152979136651264,2022-07-10 15:22:51+00:00,b'Happy birthday \xf0\x9f\x90\xa3 @Kjjzz https://t.co/3r6SA8Gi7j'
1545998488382902273,2022-07-10 05:08:57+00:00,b'\xeb\xb4\x89\xeb\xb4\x89 \xf0\x9f\x8e\x82 https://t.co/3awnm1E8is'
1545411597161508864,2022-07-08 14:16:51+00:00,b'RT @SJofficial: \xf0\x9f\xa5\xad\xec\x8a\x88\xec\xa3\xbc\xec\x97\x90\xea\xb2\x8c \xeb\xac\xbc\xec\x96\xb4\xeb\xb3\xb4\xec\x84\xb8\xec\x9a\x94\xf0\x9f\x94\x8d | YESUNG\xe2\x80\x99s Ask SUPER JUNIOR #Mango #Shorts \n\n#\xec\x98\x88\xec\x84\xb1 #YESUNG\n\n\xf0\x9f\x93\x8d https://t.co/mY4EXe8pNW\n\n#\xec\x8a\x88\xed\x8d\xbc\xec\xa3\xbc\xeb\x8b\x88\xec\x96\xb4 #SUPERJUNIOR\n#The_\xe2\x80\xa6'
1545354183083425793,2022-07-08 10:28:43+00:00,b'D -4 #Mango \xf0\x9f\xa5\xad @SJofficial https://t.co/qIgo51EYe7'
1545334712532873218,2022-07-08 09:11:21+00:00,b'\xec\xa1\xb8\xeb\xa9\x8b \xf0\x9f\x92\x99 #ELF https://t.co/6QdQ37B9bj'
1545052982680489989,2022-07-07 14:31:51+00:00,"b""RT @SJofficial: OP\xf0\x9f\x8e\x8a \xec\x8a\x88\xec\xa3\xbc\xeb\x84\xa4 'Mango' \xeb\xaf\xb8\xeb\x8b\x88\xed\x99\x88\xed\x94\xbc \xf0\x9f\x8e\x8aEN | OPEN! SUPER JUNIOR's 'Mango' Mini Homepage\n\n\xf0\x9f\x93\x8d https://t.co/3lZMP2ggEh\n\n#\xec\x8a\x88\xed\x8d\xbc\xec\xa3\xbc\xeb\x8b\x88\xec\x96\xb4 #SUPERJUNIOR\n#The_\xe2\x80\xa6"""
1544918240203538432,2022-07-07 05:36:26+00:00,b'\xe4\xbd\xa0\xe5\x96\x9c\xe6\xac\xa2\xe8\x8a\x92\xe6\x9e\x9c\xe5\x90\x97\xef\xbc\x9f\xf0\x9f\xa5\xad https://t.co/QkZS67UhcX'
1544918011836235776,2022-07-07 05:35:31+00:00,"b""RT @SJofficial: \xf0\x9f\x93\xb0 \xec\x8a\x88\xed\x8d\xbc\xec\xa3\xbc\xeb\x8b\x88\xec\x96\xb4, \xed\x83\x80\xec\x9d\xb4\xed\x8b\x80\xea\xb3\xa1 'Mango' M/V \xed\x8b\xb0\xec\xa0\x80 \xea\xb3\xb5\xea\xb0\x9c..\xeb\x86\x8d\xec\x9d\xb5\xec\x9d\x80 \xea\xb3\xbc\xec\xa6\x99\xe7\xbe\x8e \n\nhttps://t.co/jMFKEvz0ke \n\n#\xec\x8a\x88\xed\x8d\xbc\xec\xa3\xbc\xeb\x8b\x88\xec\x96\xb4 #SUPERJUNIOR \n#The_Road_Keep_on_Going\n#Mango ht\xe2\x80\xa6"""
1544689384938647552,2022-07-06 14:27:02+00:00,"b""RT @SJofficial: SUPER JUNIOR The 11th Album Vol.1 [The Road : Keep on Going] \n\n'Mango' MV Teaser #1\n\n\xf0\x9f\x93\x8d https://t.co/DFq9nZUeho\n\n\xf0\x9f\x8e\xa7 2022.07.1\xe2\x80\xa6"""
1544544698521780225,2022-07-06 04:52:07+00:00,b'\xda\x86\xd9\x86\xd8\xaf \xd8\xaf\xdb\x8c\xd9\x82\xd9\x87 \xd9\xbe\xdb\x8c\xd8\xb4 \xd8\xa7\xd8\xb2 \xd8\xae\xd9\x88\xd8\xa7\xd8\xa8 \xd8\xa8\xdb\x8c\xd8\xaf\xd8\xa7\xd8\xb1 \xd8\xb4\xd8\xaf\xd9\x85 https://t.co/KcI4RQHlbg'
1544421054667722752,2022-07-05 20:40:48+00:00,b'\xe4\xbb\x8a\xe6\x97\xa5\xe3\x82\x82\xe3\x81\x82\xe3\x81\xaa\xe3\x81\x9f\xe3\x82\x92\xe5\xbf\x9c\xe6\x8f\xb4\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x99 \xf0\x9f\x92\x99 #ELF https://t.co/7yrRhm2nOs'
1544331479408250880,2022-07-05 14:44:51+00:00,b'RT @SJofficial: SUPER JUNIOR The 11th Album Vol.1 \n[The Road : Keep on Going] \n\n\xf0\x9f\x93\xb8 \xeb\xaf\xb8\xeb\xa6\xac\xeb\xb3\xb4\xeb\x8a\x94 Mango MV Image Teaser\n\n#\xec\x98\x88\xec\x84\xb1 #YESUNG\n\n\xf0\x9f\x8e\xa7 2022.07.12. 6P\xe2\x80\xa6'
1544171301195370496,2022-07-05 04:08:22+00:00,b'RT @SJofficial: [SUPER JUNIOR \xe2\x80\x98The Road : Keep on Going\xe2\x80\x99 Countdown Live]\n\xe2\x9e\xab 2022.07.12 5PM (KST)\n\n\xf0\x9f\x8e\xa5 SUPER JUNIOR YouTube Channel : https://t\xe2\x80\xa6'
1544171284409761792,2022-07-05 04:08:18+00:00,b'RT @SJofficial: [SUPER JUNIOR \xe2\x80\x98The Road : Keep on Going\xe2\x80\x99 Countdown Live] \xec\xbd\x94\xeb\x84\x88 \xec\xb0\xb8\xec\x97\xac \xec\x95\x88\xeb\x82\xb4\n\n\xf0\x9f\x91\x89\xec\xb0\xb8\xec\x97\xac \xea\xb8\xb0\xea\xb0\x84 : 7\xec\x9b\x94 05\xec\x9d\xbc (\xed\x99\x94) 12\xec\x8b\x9c ~ 7\xec\x9b\x94 10\xec\x9d\xbc (\xec\x9d\xbc) \xeb\xb0\xa4 12\xec\x8b\x9c\xea\xb9\x8c\xec\xa7\x80 (KST)\n\xf0\x9f\x91\x89\xec\xb0\xb8\xec\x97\xac U\xe2\x80\xa6'
1544139416301551616,2022-07-05 02:01:40+00:00,"b""RT @SJofficial: \xf0\x9f\x93\xb0 '\xec\xbb\xb4\xeb\xb0\xb1' \xec\x8a\x88\xed\x8d\xbc\xec\xa3\xbc\xeb\x8b\x88\xec\x96\xb4, \xed\x83\x80\xec\x9d\xb4\xed\x8b\x80\xea\xb3\xa1\xc2\xa0'Mango'\xc2\xa0\xec\x95\x84\xec\x9d\xb4\xed\x82\xa4\xec\x99\x80 \xed\x98\x91\xec\x97\x85..\xeb\xa0\x88\xec\xa0\x84\xeb\x93\x9c \xec\x8b\x9c\xeb\x84\x88\xec\xa7\x80 \xec\x98\x88\xea\xb3\xa0 \n\nhttps://t.co/IVK5XJGCWs \n\n#\xec\x8a\x88\xed\x8d\xbc\xec\xa3\xbc\xeb\x8b\x88\xec\x96\xb4 #SUPERJUNIOR \n#The_Road_Keep_on_Going\n#Ma\xe2\x80\xa6"""
1543959623740186625,2022-07-04 14:07:14+00:00,b'RT @SJofficial: SUPER JUNIOR The 11th Album Vol.1 \n[The Road : Keep on Going] \n\n#Mango Image Teaser\n\n\xf0\x9f\x8e\xa7 2022.07.12. 6PM KST\n\n#\xec\x8a\x88\xed\x8d\xbc\xec\xa3\xbc\xeb\x8b\x88\xec\x96\xb4 #SUPERJU\xe2\x80\xa6'
