twitter_id,date,tweet
1463368520473927685,2021-11-24 04:46:58+00:00,b'#weddingphotography @pendopotulungo by @faralljibrill_official @faralljibrill \nTerima Kasih \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\n#wedding #weddingphotography #weddingvenue #weddingdecor #weddingdecoration #yogyakarta #pendopotulungo https://t.co/r6IkraLCXX'
1458035788730482690,2021-11-09 11:36:35+00:00,b'juragan 11 @indosiar \xf0\x9f\x93\xb8 @koko_ko_koko https://t.co/4vfPbC4E7v'
1458035747370438664,2021-11-09 11:36:25+00:00,b'juragan 11 @indosiar \xf0\x9f\x93\xb8 @koko_ko_koko https://t.co/GgO8ZiDFBL'
1457916174809894914,2021-11-09 03:41:17+00:00,b'juragan 11 @indosiar \xf0\x9f\x93\xb8 @koko_ko_koko https://t.co/k30kGB7eb2'
1446810584125612033,2021-10-09 12:11:38+00:00,b'Baru saja mengirim foto https://t.co/4jlePcUlm3'
1446810550600622080,2021-10-09 12:11:30+00:00,b'semalam \xf0\x9f\x93\xb8 @koko_ko_koko \xf0\x9f\x91\x97showimahcollection by @ekotjandra hairdu @suninmakeuppaes stylist @carendelano https://t.co/HywxGluz0i'
1437844690577936385,2021-09-14 18:24:22+00:00,b'Baru saja mengirim foto https://t.co/qBmwBG7EXS'
1437693087745196037,2021-09-14 08:21:57+00:00,b'Yo yo yoooooo https://t.co/2xNMvGXNFY'
1437661127001792521,2021-09-14 06:14:57+00:00,"b'uayumuuuu ora tenan, mergo editan, sing marai aku ueeedaaaan\xf0\x9f\xa4\xa3, ( sambil nyanyi yaa..) \xf0\x9f\x93\xb8 @koko_ko_koko \xf0\x9f\x91\x97showimahcollection by @ekotjandra hairdu @suninmakeuppaes stylist @carendelano https://t.co/zA4HDoV6tU'"
1437361157187190785,2021-09-13 10:22:59+00:00,b'Malam ini gaes kita goyang lagi yuk\xf0\x9f\x92\x83\xf0\x9f\x8f\xbb\xf0\x9f\x92\x83\xf0\x9f\x8f\xbb https://t.co/G3iWVaND6V'
1437314213517660160,2021-09-13 07:16:27+00:00,"b'mungkin desain ini terinspirasi dari selak pengen sekolah bawa tas ransel\xf0\x9f\x98\x82 , bener gak mas @ekotjandra sebagai desainernya, \xf0\x9f\x93\xb8 @koko_ko_koko hairdu @suninmakeuppaes stylist @carendelano https://t.co/GB66HJQ9ai'"
1436978029998354434,2021-09-12 09:00:34+00:00,b'Satu lagi dari @mayaratih.id \xf0\x9f\xa4\xa3 https://t.co/V4XGvO71u1'
1436773973048676357,2021-09-11 19:29:43+00:00,b'Bang yameeettt gak pake dasiiiii\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 @mayaratih.id https://t.co/8V3fRh4KSa'
1436763238721544194,2021-09-11 18:47:04+00:00,b'Kapok weeee.....\xf0\x9f\xa4\xa3 @mayaratih.id https://t.co/mn8nz6NQiA'
1436241860574470146,2021-09-10 08:15:18+00:00,"b'lho lho lho, kok mukaku ada dua ya? jangan2 aku bermuka dua\xf0\x9f\xa4\xaa https://t.co/hE2UBtspyl'"
1436240180109795329,2021-09-10 08:08:37+00:00,b'kuning tai bayi \xf0\x9f\x93\xb8 @koko_ko_koko \xf0\x9f\x91\x97showimahcollection by @ekotjandra hairdu @suninmakeuppaes stylist @carendelano https://t.co/pDDJ1hBVmU'
1435923813418602496,2021-09-09 11:11:29+00:00,b'ada yg punya asisten mata duitan seperti ini ? @nunung63.official https://t.co/W6Y6Zt47Tq'
1435923261494218754,2021-09-09 11:09:18+00:00,b'juragan mau lewat dulu gaes \xf0\x9f\x93\xb8 @koko_ko_koko \xf0\x9f\x91\x97showimahcollection by @ekotjandra hairdu @suninmakeuppaes stylist @carendelano https://t.co/UvPRQ1B0sr'
1435465272064888835,2021-09-08 04:49:25+00:00,b'nanti malem nonton lagi ya gaes\xf0\x9f\x92\x83\xf0\x9f\x8f\xbb \xf0\x9f\x93\xb8 @koko_ko_koko \xf0\x9f\x91\x97 showimahcollection by @ekotjandra hairdu @suninmakeuppaes stylist @carendelano https://t.co/FnX9p3w6G0'
1435111526885593088,2021-09-07 05:23:45+00:00,b'ada yg punya asisten model begini ? @nunung63.official \xf0\x9f\x98\x82 https://t.co/qGZXrLpFPH'
