twitter_id,date,tweet
1539194603370323974,2022-06-21 10:32:44+00:00,b'\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xe2\x9c\xa8\xf0\x9f\xa7\xbf\xf0\x9f\x92\x95 https://t.co/nkvCFNLmXL'
1533470657237090304,2022-06-05 15:27:49+00:00,b'PULP X SHRUTI.                     \xe2\x9a\xa1Banished - Youth Renewal Serum\n\xe2\x9a\xa1Aquarius - Skin Renewal Serum\n\xe2\x9a\xa1Spellbound - Clarifying Acne Serum\n\xe2\x9a\xa1Moonkissed - Dewy Skin Face Mist\n\xe2\x9a\xa1Cosmic Dew - Clarifying Exfoliating Toner SHOP NOW \xe2\x9e\xa1\xef\xb8\x8f https://t.co/hsJRhOZsEK https://t.co/XYun5PwvpR'
1533470305737670656,2022-06-05 15:26:26+00:00,b'\xe2\x9a\xa1\xef\xb8\x8f MOONKISSED Dewy skin face mist SHOP NOW \xe2\x9e\xa1\xef\xb8\x8f https://t.co/hsJRhOZsEK https://t.co/lUZV7zxsxv'
1533470088959266816,2022-06-05 15:25:34+00:00,b'\xe2\x9a\xa1\xef\xb8\x8f COSMIC DEW clarifying exfoliating toner SHOP NOW \xe2\x9e\xa1\xef\xb8\x8f https://t.co/hsJRhOZsEK https://t.co/SKZktrgXyP'
1533469786130497545,2022-06-05 15:24:22+00:00,b'\xe2\x9a\xa1\xef\xb8\x8fAQUARIUS a skin renewal serum SHOP NOW \xe2\x9e\xa1\xef\xb8\x8f https://t.co/hsJRhOZsEK https://t.co/zgEwg7ds5Y'
1533469491270942720,2022-06-05 15:23:11+00:00,b'\xe2\x9a\xa1\xef\xb8\x8fspellbound - a clarifying acne serum  SHOP NOW \xf0\x9f\x92\x9c https://t.co/hsJRhOZsEK https://t.co/tYiqyI482i'
1533469190937788417,2022-06-05 15:22:00+00:00,b'Introducing the PULP X SHRUTI collection! \n\xe2\x9a\xa1Banished\xe2\x9a\xa1Aquarius \xe2\x9a\xa1Spellbound \n\xe2\x9a\xa1Moonkissed \xe2\x9a\xa1Cosmic Dew TonerAll infused with the \xe2\xad\x90 ingredient - Vitamin F!\nCheck out these special potions and more \xf0\x9f\x96\xa4 https://t.co/hsJRhOZsEK https://t.co/nb4N9bs8oe'
1531991006690033665,2022-06-01 13:28:13+00:00,b'We are brewing some special potions for a new generation of skincare that has a new set of beauty standards - NONE.\nBecause it\xe2\x80\x99s https://t.co/x7q5T8DXJo.Everyone. In that Order. \nSee you on the other side of Pulp X Shruti \xf0\x9f\x96\xa4\n\n#PulpXShruti #WhatDoYouGiveAnFAbout #PXS https://t.co/OcuXiRIz0Z'
1520800571116171264,2022-05-01 16:21:25+00:00,"b""RT @HydTimes: Just @shrutihaasan serving looks like it's nbd \xf0\x9f\x94\xa5\xf0\x9f\x96\xa4\n\n#ShrutiHaasan #Tollywood #TollywoodActress #Kollywood #Bollywood #OOTD htt\xe2\x80\xa6"""
1520800561372835840,2022-05-01 16:21:23+00:00,b'\xf0\x9f\xa5\xb0\xf0\x9f\x98\x98 https://t.co/r6sppuWSNn'
1518877751427891201,2022-04-26 09:00:49+00:00,b'@mid_day @p2pcomm maybe not start an article based on your own bias ? Washes out the whole point \xf0\x9f\xa5\xba https://t.co/AbFYODBExP'
1509406225275916291,2022-03-31 05:44:22+00:00,b'Book lovers and readers of all kinds there\xe2\x80\x99s a lovely new book out by @TomMitchelson https://t.co/QToXaFiAkU https://t.co/UOVmwYj2sD'
1508744109787615238,2022-03-29 09:53:21+00:00,b'This incredible spectacle !!!! Can\xe2\x80\x99t wait !!! KGF 2 is here !!!! https://t.co/JRyqi1dGYH'
1507599196173570055,2022-03-26 06:03:52+00:00,"b'RT @tim_cook: Forty high school students from Tamil Nadu, India captured the vibrance of their communities on iPhone 13 mini. Now their wor\xe2\x80\xa6'"
1507063447640543233,2022-03-24 18:35:00+00:00,b'Click bait virus \xe2\x80\xa6 seriously guys come on \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/q3v7pzWCeB'
1507063081507115015,2022-03-24 18:33:33+00:00,b'RT @UrbanAsian: Actress-singer @shrutihaasan looked stunning as she walked the ramp for Lakme Fashion Week in Delhi. \xf0\x9f\x96\xa4\n\n#shrutihaasan #lakm\xe2\x80\xa6'
1507063042617622529,2022-03-24 18:33:23+00:00,b'RT @provoke_social: Actress-singer @shrutihaasan looked stunning in box braid.\n.\n.\n.\n.\n.\n.\n\n#shrutihaasan #lakmefashionweek #rampwalk #show\xe2\x80\xa6'
1507063006081032193,2022-03-24 18:33:15+00:00,b'RT @Anshshruti28: Drop dead gorgeous #ShrutiHaasan for  Adidas \xc3\x97 Antar Agni \xf0\x9f\xa5\xb0 https://t.co/5ecbQXdn0M https://t.co/X4Fc4M5uhM'
1507062968147660806,2022-03-24 18:33:06+00:00,"b'RT @LMKMovieManiac: .@shrutihaasan looked stunning as she walked the ramp for Lakme Fashion Week in Delhi. Shruti, who is a fierce advocate\xe2\x80\xa6'"
