twitter_id,date,tweet
1544249351286845440,2022-07-05 09:18:30+00:00,b'Lost in the Sos episode npw up! https://t.co/en2Hz1H8mW'
1532879886167121920,2022-06-04 00:20:19+00:00,"b""I give you 'Lost in the Sos', a show where I share  what I enjoy doing, the people I love and little hacks.....and more. Kaya nga Lost, kasi ang dami kong gustong gawin na minsan walang direction but its aaaaayyyt cause we not perfect.Coming soon on my youtube Solenn Heussaff https://t.co/7N6oyImA3X"""
1523506435224596480,2022-05-09 03:33:34+00:00,b'Vote wisely Philippines'
1499022818503127040,2022-03-02 14:04:25+00:00,"b'RT @CignalPlay: NEW on Cignal Play: An intergenerational comedy that is sweet, at times raunchy, and full of heart!  @dantebasco @solennheu\xe2\x80\xa6'"
1499022791584059394,2022-03-02 14:04:18+00:00,"b'RT @juvyramos_: Hello Ka-Taste Buddies !\nStarting March 6 mapapanood na sa bagong araw at oras ang @TasteBuddiesGTV , every Sunday at 5:30p\xe2\x80\xa6'"
1499022770427944962,2022-03-02 14:04:13+00:00,b'@klangsarrate Ganda!!'
1495009451455119366,2022-02-19 12:16:43+00:00,"b""Been a while twitter. I'll start talking again haha. Lez go"""
1490294499720925185,2022-02-06 12:01:11+00:00,"b'RT @ActorsPanel: ""The Fabulous Filipino Brothers"" starring @dantebasco @darionbasco @DionBasco @DerekBasco @ariannabasco @solennheussaff @l\xe2\x80\xa6'"
1490282076997750786,2022-02-06 11:11:49+00:00,b'Our trip to Paris now up on my Youtube channel! https://t.co/9Ricl3yH9H'
1460024016454905856,2021-11-14 23:17:06+00:00,b'https://t.co/05zz6RE76V\nThe Pangaens is an amazing project lead by a strong female team! Love love the Art!'
1458436894929272835,2021-11-10 14:10:26+00:00,b'https://t.co/FCkFvzAi1V'
1441770853381849088,2021-09-25 14:25:32+00:00,b'RT @vavismall: #NewProfilePic https://t.co/euwMtSliQv'
1441770818040696832,2021-09-25 14:25:24+00:00,b'RT @ThePangaensNFT: Welcome to The Pangaens!\n\xf0\x9f\x92\xa5 #NFTs by an all women team\n\xf0\x9f\x92\xa5 8888 unique NFTs \n\xf0\x9f\x92\xa5 250+ hand-drawn artworks\n\xf0\x9f\x92\xa5 Numerous raritie\xe2\x80\xa6'
1423859666132475907,2021-08-07 04:12:53+00:00,b'We have something in store for you https://t.co/4tnSkzNn8F'
1416023539468013571,2021-07-16 13:14:54+00:00,"b'RT @journ_maddie: Another cook-off show from our favorite couple, Solenn (@solennheussaff) and Nico Bolzico (@NicoBolzico).'"
1416023474347286528,2021-07-16 13:14:39+00:00,"b""RT @vangecorrea_: New timeslot for The Best Tandem @gilcuerva and @solennheussaff this Saturday at 12noon! It's super fun adventure tanghal\xe2\x80\xa6"""
1413480385237848064,2021-07-09 12:49:19+00:00,"b""RT @gmatv7: Nico Bolzico beats 'wifezilla' Solenn Heussaff in piaya cook-off @solennheussaff https://t.co/eHcKnjY1np"""
1411292147387551744,2021-07-03 11:54:03+00:00,b'RT @geebragancia: Get ready to tap into your inner wanderlust because we are taking you to Olongapo City! The Clash Season 1 Grand Finalist\xe2\x80\xa6'
1410459851499601922,2021-07-01 04:46:48+00:00,b'@tilidahli now ships internationally!!!!'
