twitter_id,date,tweet
1470898107445649416,2021-12-14 23:26:51+00:00,b'Agora ao vivo \n\nhttps://t.co/EAMJ9edVnC'
1456307919176273921,2021-11-04 17:10:39+00:00,b'The new #UFC4 patch by\n@EASPORTSUFC has me as a PRIME ICON fighter. Who\xe2\x80\x99s ready to go? \xf0\x9f\x95\xb7\xf0\x9f\x92\xaa\nLearn more \xf0\x9f\x91\x89https://t.co/9Qu9LomAHH https://t.co/h77Xix5cgb'
1436824275516891136,2021-09-11 22:49:36+00:00,"b'\xc3\x89 hoje meu povo! \n\nPOR MAIS QUE TENTE, N\xc3\x83O SOU O MELHOR, MAS SOU CAPAZ DE FAZER AQUILO QUE MUITOS ACHAM IMPOSS\xc3\x8dVEL. VOU FAZER MEU TRABALHO COMO SEMPRE FA\xc3\x87O. E ACIMA DE TUDO VOU HONRAR MINHA EQUIPE, MINHA FAM\xc3\x8dLIA, MEU BRASIL. #trillerfightclub @trillerfight'"
1436481730458882051,2021-09-11 00:08:27+00:00,b'https://t.co/gJ0A8UCJ13'
1436417806824841238,2021-09-10 19:54:27+00:00,"b""Don't miss my fight on #TrillerFightClub TOMORROW Saturday, September 11! Get your PPV NOW!\n\nhttps://t.co/hJCMKxUz7s https://t.co/HhGPpRMCS8"""
1436000581756375044,2021-09-09 16:16:32+00:00,b'RT @Youngabstract: @EthernityChain @SpiderAnderson @OKExNFT \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f'
1435334490352721926,2021-09-07 20:09:44+00:00,b'\xe2\x80\x9cget your in person tickets or PPV now! @trillerfightclub @triller #TrillerFightClub\xe2\x80\x9d\n\nhttps://t.co/hJCMKxUz7s https://t.co/TncgILG8lW'
1435305245693947906,2021-09-07 18:13:31+00:00,b'\xe2\x80\x9cget your in person tickets or PPV now! @trillerfightclub @triller #TrillerFightClub\xe2\x80\x9d\n\nhttps://t.co/hJCMKxUz7s https://t.co/V0e99faVMP'
1432802486042124291,2021-08-31 20:28:27+00:00,b'RT @IronStudios: We have many important licenses but working with heroes of real life is always a special feeling!\n\n@SpiderAnderson is one\xe2\x80\xa6'
1432035454795370498,2021-08-29 17:40:33+00:00,b'@trillerfight https://t.co/U34PPTe0Vm'
