twitter_id,date,tweet
1546382249582465024,2022-07-11 06:33:53+00:00,b'@NatbyNature Reno was a damn good crowd. In it from start to finish. Y\xe2\x80\x99all gave em a helluva show and that\xe2\x80\x99s the bottom line.'
1545611671569281024,2022-07-09 03:31:53+00:00,b'@djbellafiasco That is a great shirt. #goodtimes #wwf'
1545610826492493824,2022-07-09 03:28:31+00:00,b'Cheers! https://t.co/Hd7gJPnv51'
1545105482402017281,2022-07-07 18:00:28+00:00,b'Cheers!!! RT @barrelhousetap: Hell Yeah!! Both the Broken Skull Lager AND the IPA are back while they last from @ESBCBrews and @steveaustinBSR !! #beer #craftbeer #dayton #thebarrelhouse #daytonlovesbeer https://t.co/voE7vwiEbu'
1544148925312929793,2022-07-05 02:39:27+00:00,b'Cheers!! Happy 4th!! https://t.co/yIWysN2uiL'
1544091780051636224,2022-07-04 22:52:22+00:00,b'https://t.co/q9R6cVb1RM'
1541209386227363841,2022-06-26 23:58:46+00:00,b'Cheers!!! https://t.co/9k6plC7ry1'
1540097378304241664,2022-06-23 22:20:03+00:00,b'Bottom line. https://t.co/vb7aY9cYLg'
1539368474635403264,2022-06-21 22:03:39+00:00,b'Bruiser F\xe2\x80\x99n Brody RT @VollmayerOnFire: Bruiser Brody appreciation tweet. #wwe #wweraw \xe2\x9b\x93https://t.co/DkhqXrbnYb'
1536496100990935044,2022-06-13 23:49:51+00:00,b'Hell Yeah!!! https://t.co/VLu4x45nyX'
1533317378443907072,2022-06-05 05:18:45+00:00,b'@WDWNT Fake sig.'
1532823417086349312,2022-06-03 20:35:55+00:00,"b'@DaveyBoySmith1 From Billy Bob\xe2\x80\x99s in Fort Worth, TX. https://t.co/TP9ZsDL4es'"
1532458074245857281,2022-06-02 20:24:11+00:00,b'Cheers!! https://t.co/aMNDJXFg9e'
1532341710415462400,2022-06-02 12:41:47+00:00,b'Hell Yeah!!! RT @WWE: .@RealJeffJarrett knows how to make sweet music with his guitar. \xf0\x9f\x8e\xb8 \n\nStream an all-new #BrokenSkullSessions this Friday exclusively on \n@peacockTV in the U.S. and WWE Network everywhere else! @steveaustinBSR https://t.co/XJZ1440YbJ'
1531483569696088064,2022-05-31 03:51:51+00:00,b'@lenny_dawson Cheers!'
1531483446974918656,2022-05-31 03:51:22+00:00,"b'RT @RealJeffJarrett: \xe2\x80\x9cAnd, that\xe2\x80\x99s the bottom line because Stone Cold said so!\xe2\x80\x9d\n\n\xe2\x80\x9cNow, choke on that Slapnutz!\xe2\x80\x9d\n\nAnother picture from the da\xe2\x80\xa6'"
1530683563330269186,2022-05-28 22:52:54+00:00,"b'@LizMPena Cheers, Liz!'"
1530621375940993024,2022-05-28 18:45:48+00:00,"b'@BrianRDJames @90sWWE @TheRock @TripleH Great times, brother Dogg'"
1530282447241285637,2022-05-27 20:19:01+00:00,b'Hell Yeah!!! https://t.co/rJvFgfII1Y'
1529998608782659584,2022-05-27 01:31:08+00:00,b'Hell Yeah!! https://t.co/9H68ZomNe5'
1529681275224612864,2022-05-26 04:30:10+00:00,"b'Completely uncalled for. RT @RealJeffJarrett: \xe2\x80\x9cAin\xe2\x80\x99t We Great!\xe2\x80\x9d\n\n\xe2\x80\x9cOh, Hell Yeah!\xe2\x80\x9d\n\nMore pics to come\xe2\x80\xa6\xe2\x9c\x8c\xf0\x9f\x8f\xbd\xf0\x9f\x8e\xb8\xe2\x9c\x8c\xf0\x9f\x8f\xbd\n\nTune in June 3rd to catch the in-depth, granular conversation on @peacocktv \xe2\x80\xa6\n\n@myworldpod \n@wwe \n@wwenetwork \n\n#WWE\n#WWERAW\n#WWESMACKDOWN https://t.co/7ZJ85xpRnl'"
1528786969458683905,2022-05-23 17:16:31+00:00,"b""Hell Yeah!!! RT @WWENetwork: Ain't he great!\n\n@RealJeffJarrett joins @steveaustinBSR on #BrokenSkullSessions on June 3! \n\n@peacockTV | @WWENetwork https://t.co/CvEIwOEV6U"""
1528613011807645696,2022-05-23 05:45:16+00:00,b'Broken Skull Ranch https://t.co/LnMek8RYnF'
1528497249130385408,2022-05-22 22:05:16+00:00,b'Helluva card. https://t.co/JVl2ej7UC7'
1525956686053134341,2022-05-15 21:49:59+00:00,b'https://t.co/muDlE5pouN'
1525717922630356992,2022-05-15 06:01:13+00:00,b'https://t.co/lLYiTc9Yth'
1523464631775162369,2022-05-09 00:47:27+00:00,b'Broken Skull American Lager on ice for @WWE #backlash \n@ESBCBrews @BrokenSkullBeer #cheers https://t.co/kGoPEiBY8V'
1523144710818123776,2022-05-08 03:36:12+00:00,b'OMG. #ufc'
1523105467727159296,2022-05-08 01:00:16+00:00,b'Icing down #brokenskullipa for @ufc 274.\nBest IPA in America. @ESBCBrews @BrokenSkullBeer #ufc #cheers https://t.co/B2h473xl3q'
1522765223635021825,2022-05-07 02:28:15+00:00,b'RT @OurLadyPeace: When the American Nightmare @CodyRhodes drops you as his favourite band @steveaustinBSR @WWE https://t.co/hYz4JzjFID'
1522706378107752448,2022-05-06 22:34:25+00:00,b'@almightyjamesGG \xf0\x9f\x8d\xba\xf0\x9f\x8d\xba'
1522693848446627840,2022-05-06 21:44:38+00:00,b'@ShadyFraz94 @CodyRhodes Cheers!'
1522678912630747138,2022-05-06 20:45:17+00:00,b'Oh Hell Yeah!!! https://t.co/WWIHNbNTpH'
1522678666823577600,2022-05-06 20:44:18+00:00,b'@kailer1024 Hell Yeah!'
1522307709311143936,2022-05-05 20:10:15+00:00,"b""Hell Yeah!!! RT @WWE: .@steveaustinBSR gets @CodyRhodes' thoughts on @BeckyLynchWWE, @RandyOrton, @TripleH and more ahead of tomorrow's all-new #BrokenSkullSessions with the American Nightmare.\n\n@PeacockTV | @WWENetwork https://t.co/FTRGQLSIQh"""
1521899723644276736,2022-05-04 17:09:04+00:00,b'Cheers!!! https://t.co/PNYCQcceCV'
1521580541568376832,2022-05-03 20:00:45+00:00,b'RT @ExtremeGamer: Knowing @CodyRhodes loves @OurLadyPeace just freaked me out. Total new respect!!'
1521569065076023296,2022-05-03 19:15:09+00:00,b'Oh Hell Yeah!!! https://t.co/Q0nK0V7kLc'
1521160156209311744,2022-05-02 16:10:17+00:00,b'Hell Yeah!! https://t.co/EXLKaX1d20'
1520063709204205568,2022-04-29 15:33:24+00:00,"b'Hell Yeah!!! RT @WWE: \xf0\x9f\x91\x82 You hear that?\n\n@CodyRhodes joins @steveaustinBSR on #BrokenSkullSessions, streaming NEXT FRIDAY exclusively on @peacockTV in the U.S. and @WWENetwork everywhere else. https://t.co/IfScTMPxfx'"
1518104616805666816,2022-04-24 05:48:40+00:00,b'Cheers!!! Best IPA in America. \n@ESBCBrews @BrokenSkullBeer https://t.co/bvtmdeF4wK'
1517985033289486336,2022-04-23 21:53:29+00:00,b'@DirtyDMantell @undertaker @JerryLawler Good times.'
1516869620526772225,2022-04-20 20:01:14+00:00,b'Hell Yeah!!! https://t.co/HpR1yyhccl'
1515491890598014976,2022-04-17 00:46:37+00:00,b'@rongunst Cheers!'
1514975007729864706,2022-04-15 14:32:43+00:00,b'Hell Yeah!! https://t.co/sRXjlnjsj3'
1514851289426907137,2022-04-15 06:21:06+00:00,b'https://t.co/UMPm7e0HjR'
1514371465935654912,2022-04-13 22:34:27+00:00,b'Hell Yeah!! https://t.co/5TWXKFaMZx'
1514292613800611844,2022-04-13 17:21:07+00:00,"b""Hell Yeah!!!RT @WWENetwork: .@bullyray5150 calls it how he sees it.\n\nWatch the latest episode of @steveaustinBSR's #BrokenSkullSessions with Bubba Ray Dudley THIS FRIDAY, streaming exclusively on @peacockTV in the U.S. and @WWENetwork everywhere else. https://t.co/pK9jaHk4lS"""
1513330363883737091,2022-04-11 01:37:29+00:00,b'@sarahinnamorat0 @BrokenSkullBeer @ESBCBrews Cheers!'
1513320333142495232,2022-04-11 00:57:38+00:00,b'https://t.co/0HnSlPsuM8'
1513021830117830661,2022-04-10 05:11:29+00:00,b'Cheers!! \nBroken Skull American Lager\n@ESBCBrews @BrokenSkullBeer \n#ufc https://t.co/olrR5HLYwD'
1512645667876790279,2022-04-09 04:16:45+00:00,b'@NerfHerder26 Stay strong. Good luck w your situation.'
1512581451455209472,2022-04-09 00:01:35+00:00,"b'Drinking one myself, right now. Cheers!RT @Jobber_Nation: Honestly this may be one of the if not the best lager I\xe2\x80\x99ve ever had. \n\nCheers to @ESBCBrews and @steveaustinBSR for knocking this one out of the park. https://t.co/wBaeCv4kIz'"
1511848492787900423,2022-04-06 23:29:04+00:00,b'Hell Yeah!!! https://t.co/Ab4Dk6owcV'
1511013961575157764,2022-04-04 16:12:56+00:00,"b""Oh Hell Yeah!!! Thanks to everyone. Safe travels home. RT @WWE: HERE'S TO YA!!! \xf0\x9f\x8d\xbb\n\n#WrestleMania @steveaustinBSR https://t.co/fPHrL0Wqli"""
