twitter_id,date,tweet
1542281063040331776,2022-06-29 22:57:14+00:00,b'RT @KimVFields: HAPPY SEASON 2 PREMIERE DAY!!!!!!!!! \n\xf0\x9f\xa5\x82\xf0\x9f\xa5\x82\xf0\x9f\xa5\x82\xf0\x9f\xa5\x82\xf0\x9f\xa5\x82\xf0\x9f\xa5\x82\xf0\x9f\xa5\x82\xf0\x9f\xa5\x82\xf0\x9f\xa5\x82\xf0\x9f\xa5\x82\n@netflix @strongblacklead @netflixisajoke @therealmikeepps @iamwandasykes\xe2\x80\xa6'
1534641389723471872,2022-06-08 20:59:54+00:00,b'Catch me at Big Boy\xe2\x80\x99s Funny Muthafruckas on June 25th! Go get them tickets https://t.co/xOLZTzCQXH @bigboysneighborhood @BigBoy \n@TheNovoDTLA \n@ericblake21\n@JesusTrejo \n@moniquemarvez \n@yourfavoritedjsfavoritedj\n@bonafide1130 https://t.co/DkBFfGtxag'
1534265679133544448,2022-06-07 20:06:57+00:00,"b'I\xe2\x80\x99m excited to announce that I\xe2\x80\x99ll be coming to Cleveland OH, Columbia SC, Huntsville AL, Richmond VA, and Rochester NY soon!  Get them tickets now! \n\nhttps://t.co/K1i2EPreU4 https://t.co/dMzpU6kn5R'"
1534063320931610624,2022-06-07 06:42:51+00:00,"b'Columbia, SC Y\xe2\x80\x99all ready to have a good time? \xf0\x9f\x98\x82\xf0\x9f\x98\x82 I\xe2\x80\x99m coming to yo city on October 15 so go get them tickets now! https://t.co/K1i2EPreU4 https://t.co/FfPJuX4Xcd'"
1534024039068364800,2022-06-07 04:06:46+00:00,"b'Rochester, NY\xe2\x80\xa6I\xe2\x80\x99m gonna be in yo city on Saturday October 1 and we gonna have a good time \xf0\x9f\x98\x82 Get them tickets now! https://t.co/rhYvUNaHvB https://t.co/5d6faHDrR5'"
1533989417848741888,2022-06-07 01:49:12+00:00,"b'Cleveland, OH it\xe2\x80\x99s going down on Saturday September 17th at @playhousesquare so don\xe2\x80\x99t miss out on the presale tickets now! https://t.co/K1i2EPreU4 https://t.co/yJiBZRU603'"
1533976659841257472,2022-06-07 00:58:30+00:00,"b'RT @VonBraunCenter: JUST ANNOUNCED! \n\n@TheRealMikeEpps is coming to Huntsville LIVE at the #VBChsv Propst Arena on Saturday, August 6! \n\n\xf0\x9f\x93\xb2\xe2\x80\xa6'"
1533970479823720448,2022-06-07 00:33:56+00:00,"b'Huntsville, AL \xe2\x80\xa6..I\xe2\x80\x99m coming to yo city on Saturday August 6! Come have a good time with me at the @VonBraunCenter Get them tickets now!  https://t.co/K1i2EPreU4 https://t.co/PbeYVePiIR'"
1533951273740824576,2022-06-06 23:17:37+00:00,"b'Richmond, VA! I\xe2\x80\x99m coming to your city Friday August 5th so go get them tickets now! https://t.co/K1i2EPreU4 https://t.co/NYk1QRiTrq'"
1530239599825457152,2022-05-27 17:28:45+00:00,b'It\xe2\x80\x99s about to go down on June 25th at the Novo in DTLA. I\xe2\x80\x99m linking up with @BigBoy for Big Boy\xe2\x80\x99s Funny Motherfruckas with @ERICBLAKE21 @JesusTrejo and @moniquemarvez Get yo tickets now https://t.co/ESDCrr7H2t https://t.co/MmrYsVKRtw'
1526272360784855040,2022-05-16 18:44:22+00:00,"b'Mashantucket, CT! I\xe2\x80\x99m in yo city May 20 with @TheBSimone Come out and have a good time! https://t.co/Wh8O6ea3CI https://t.co/FOSQSEOmSn'"
1525519618395103232,2022-05-14 16:53:14+00:00,b'New York! I\xe2\x80\x99m in your city July 16th at the NYCB Theatre in Westbury. Come out and have a good time with me \xf0\x9f\x98\x82 Get yo ticket here &gt;&gt; https://t.co/k10jv35kHV https://t.co/AydJ3x9fLz'
1516776036670660615,2022-04-20 13:49:22+00:00,"b'Coachella, CA I\xe2\x80\x99m in yo city Saturday May 14!  Come out and have a good time with me \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82  https://t.co/wB3J0g7Oze https://t.co/aHRyuHIbjm'"
1515296941193658368,2022-04-16 11:51:58+00:00,b'Catch me on @KellyClarksonTV Monday! Tune in https://t.co/FaGRaGr02y'
1515290943775141897,2022-04-16 11:28:08+00:00,"b'Thanks Louisville! Up Next: Birmingham, AL see y\xe2\x80\x99all tonight! https://t.co/8qOV8zcGsB https://t.co/xa02ieGue4'"
1510497467736809473,2022-04-03 06:00:34+00:00,"b'RT @NetflixIsAJoke: ""wasn\'t nobody having fun but the scammers"" - @TheRealMikeEpps https://t.co/8jT1CAC8Eu'"
1510497063942852618,2022-04-03 05:58:58+00:00,b'\xe2\x9c\x8c\xf0\x9f\x8f\xbe https://t.co/qxT3fa2eJi'
1510496556209770497,2022-04-03 05:56:57+00:00,b'\xe2\x9c\x8c\xf0\x9f\x8f\xbe https://t.co/Ywy8rxI9id'
1510495982458335233,2022-04-03 05:54:40+00:00,b'\xe2\x9c\x8c\xf0\x9f\x8f\xbe https://t.co/LAbD7mabY6'
1509177636706144259,2022-03-30 14:36:02+00:00,b'\xe2\x9c\x8c\xf0\x9f\x8f\xbe https://t.co/g6RZqHPoWs'
1509177534306422790,2022-03-30 14:35:37+00:00,b'\xe2\x9c\x8c\xf0\x9f\x8f\xbe https://t.co/KhuPqoiikc'
1509177471693848578,2022-03-30 14:35:23+00:00,b'\xe2\x9c\x8c\xf0\x9f\x8f\xbe https://t.co/iZyP26b1fH'
1508898561320136707,2022-03-29 20:07:05+00:00,b'Check out my new comedy special INDIANA MIKE on Netflix now!! @NetflixIsAJoke https://t.co/UQ1QszWj4h https://t.co/3GzwhLaNSm'
1507820826686418945,2022-03-26 20:44:33+00:00,b'3 more days until the premiere of my new Netflix comedy special INDIANA MIKE @NetflixIsAJoke \xf0\x9f\x92\xa8 \xf0\x9f\x92\xa8 \xf0\x9f\x92\xa8 https://t.co/vaRaEpuRMU https://t.co/Kgvgey2eac'
1506981598050148354,2022-03-24 13:09:45+00:00,b'RT @visitmusiccity: .@TheRealMikeEpps is bringing the laughs to Nashville this May and we could not be more excited. \xf0\x9f\x8e\xa4\xf0\x9f\xa4\xa9 Tickets are selling\xe2\x80\xa6'
1506981272639266817,2022-03-24 13:08:28+00:00,"b'RT @StateFarmArena: \xf0\x9d\x90\x93\xf0\x9d\x90\x87\xf0\x9d\x90\x88\xf0\x9d\x90\x92 \xf0\x9d\x90\x92\xf0\x9d\x90\x80\xf0\x9d\x90\x93\xf0\x9d\x90\x94\xf0\x9d\x90\x91\xf0\x9d\x90\x83\xf0\x9d\x90\x80\xf0\x9d\x90\x98!\n\n@TheRealMikeEpps is bringing the laughs to State Farm Arena with comedians @DonDCCurry, @DominiqueComed\xe2\x80\xa6'"
1506639343632326656,2022-03-23 14:29:46+00:00,b'New Orleans I\xe2\x80\x99m in your city on March 25th at @LakefrontArena with  @garyowencomedy @sommoresofunny @lavellthacomic @TONYROCK  https://t.co/vQUmsMK7Hn https://t.co/kyMwU8RnxD'
1503963234683871232,2022-03-16 05:15:52+00:00,b'RT @cookiesglobal: { DAY DAY } \xf0\x9f\x94\xa5 West Mac x 41510 #7 by cookies x @TheRealMikeEpps ... https://t.co/H7OIwcke8E'
1503962756180971522,2022-03-16 05:13:58+00:00,b'Milwaukee! I\xe2\x80\x99m in yo city March 18 with @garyowencomedy @RealEarthquake @sommoresofunny Come out and have a good time with us. Tickets: https://t.co/kjOBGeDftm https://t.co/B49ZbeE9aV'
1500154158782971909,2022-03-05 16:59:57+00:00,b'Tampa! We in yo city tonight ! https://t.co/rs7Ha3joPQ https://t.co/dYhsXBQqeV'
1498392205496520704,2022-02-28 20:18:35+00:00,"b'Savannah, ! I\xe2\x80\x99m coming to yo city on March 4 with @garyowencomedy @sommoresofunny @RealEarthquake get yo tickets cuz we gonna have a good time: https://t.co/v4yfXZ9Clh https://t.co/Ie2HIhqU1w'"
1497266870008770560,2022-02-25 17:46:54+00:00,b'Chi - Town I\xe2\x80\x99m in yo City TONIGHT!\nCome out and get yo laugh on with me @DominiqueComedi @DonDCCurry \nGet yo ticket here\xe2\xac\x87\xef\xb8\x8f\nhttps://t.co/PLdZoYMi7v'
1495988798991507458,2022-02-22 05:08:18+00:00,b'RT @fusetv: #Sneakerheadz (with special guest @TheRealMikeEpps) takes an in-depth look into the subculture of sneaker collecting and the wi\xe2\x80\xa6'
1495988622998315009,2022-02-22 05:07:36+00:00,b'RT @AdditionFiArena: Come see the hilarious @TheRealMikeEpps at Addition Financial Arena once again with his No Remorse Comedy Tour on Marc\xe2\x80\xa6'
1492741433010188289,2022-02-13 06:04:26+00:00,b'Jacksonville I\xe2\x80\x99m in yo city Feb 18! We gonna have a good time \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 ticket link: https://t.co/VpE5q3t2Ls https://t.co/tiJkRsBczp'
