twitter_id,date,tweet
1541467364952363008,2022-06-27 17:03:53+00:00,"b'Shop Summer With Love here \xf0\x9f\xa6\xa9 \xf0\x9f\x91\x89 https://t.co/ofcVMSZNjQ\n\nInspired by the joy that can only be found on those radiant Summer days. Family and friends, throwing a fiesta - or lazy afternoons and sun-quenched siestas \xf0\x9f\x8d\x89\n\nDon\xe2\x80\x99t dream of summer. Live it! \n\n#MWLSummer https://t.co/RDLJJWru3Z'"
1533744641312448513,2022-06-06 09:36:32+00:00,"b""RT @AttitudeMag: .@TomDaley1994 has launched his first Pride clothing collection - and it's for an amazing cause.\n\nSee now \xe2\x9e\xa1\xef\xb8\x8f https://t.co/\xe2\x80\xa6"""
1530830525300191232,2022-05-29 08:36:53+00:00,"b""RT @gaytimes: .@TomDaley1994's collection supports Rainbow Railroad, a global non-for-profit organisation whose mission is to help vulnerab\xe2\x80\xa6"""
1530486370287996928,2022-05-28 09:49:20+00:00,b'\xf0\x9f\x91\x89 https://t.co/Kx4Njy7dLW\n\n\xf0\x9f\x8f\xb3\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x8c\x88 The brand new Made With Love PRIDE collection is now LIVE\xf0\x9f\x8f\xb3\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x8c\x88\n\n100% of the profits will be going to the amazing @RainbowRailroad charity who help LGBTQI+ individuals escape persecution and get to safety \xf0\x9f\x99\x8f https://t.co/5ToSmEstc8'
1529475227910029312,2022-05-25 14:51:25+00:00,"b'https://t.co/8PnSxWoWsz\n\nMade With Love is coming soon \xf0\x9f\x92\x99\n\xc2\xa0\nSo yeah, it\xe2\x80\x99s no secret that I am completely knitting obsessed !! Bring on the knit!\n\xc2\xa0\nIt\xe2\x80\x99s out in October in the UK and November in the US and you can pre-order it now using the link above \xe2\x98\x9d\xef\xb8\x8f\n\n#MadeWithLoveBook https://t.co/UCxKSOHHLI'"
1526529844103749632,2022-05-17 11:47:31+00:00,b'MY BOOK PUBLISHES IN THE USA TODAY! Get your copy here - https://t.co/CJ0ZRW1ep5 https://t.co/l4bx5ImqPa'
1525149450326671360,2022-05-13 16:22:19+00:00,b'SHOP &gt;&gt; https://t.co/eKdgh783k5 \n\nTikTok Shop \xe2\x80\x98til you drop! \xf0\x9f\x91\x95 Made With Love is now shoppable on @tiktok_uk - and we\xe2\x80\x99ve launched with two exclusive LOVE tees to celebrate! Head over to my profile to have a \xf0\x9f\x91\x80\xf0\x9f\x91\x86\n\n#madewithlove #mwl https://t.co/F7CiXVYEBE'
1503383651937136645,2022-03-14 14:52:48+00:00,"b'RT @comicrelief: .@TomDaley1994 cycled, swam, rowed &amp; ran over 250 miles for #RedNoseDay &amp; now we\xe2\x80\x99re asking him to relive every moment in a\xe2\x80\xa6'"
1494400322927833093,2022-02-17 19:56:16+00:00,"b'RT @comicrelief: \xf0\x9f\x91\x8f @TomDaley1994 \xf0\x9f\x91\x8f\n\nFour days done. 290 miles of rowing, swimming, cycling and running. From London to Plymouth. In the col\xe2\x80\xa6'"
1494400308004405257,2022-02-17 19:56:12+00:00,"b'RT @comicrelief: From the man himself. A very tired @TomDaley1994 who should be so, so proud of himself. And then have the biggest sleep ev\xe2\x80\xa6'"
1494240041626972160,2022-02-17 09:19:22+00:00,b'FINAL DAY \xf0\x9f\x94\xb4 DONATE WHAT YOU CAN\n\nhttps://t.co/Dsz5SKehb5 https://t.co/UzyVMPI2Yi'
1494021002086555648,2022-02-16 18:48:59+00:00,"b""RT @comicrelief: \xf0\x9f\x9a\xb4 @TomDaley1994's out on a bike, exhausted, and tackling high winds and relentless rain. But he\xe2\x80\x99s still finding time to sp\xe2\x80\xa6"""
1494020737971146754,2022-02-16 18:47:56+00:00,b'RT @comicrelief: Keep up to date with @TomDaley1994\xe2\x80\x99s progress throughout his Hell of a Homecoming challenge! \n\nScroll to the bottom of htt\xe2\x80\xa6'
1472659540374171649,2021-12-19 20:06:09+00:00,b'#SPOTY voting is now open! I would love your support \xe2\x9d\xa4\xef\xb8\x8f Mobile - 6228201\nLandline - 09015 22 82 01\nOnline - https://t.co/RGxFxYY5S5 https://t.co/UIzSKPbmmv'
1472319928120365067,2021-12-18 21:36:39+00:00,b'Would love to read it! https://t.co/DL3I0lKBR1'
1472319610225635330,2021-12-18 21:35:24+00:00,b'\xf0\x9f\x92\x80 https://t.co/9qd3M2RJzb'
1470330277029425152,2021-12-13 09:50:30+00:00,"b""RT @BBCSport: We're delighted to announce the nominees for BBC Sports Personality of the Year 2021 are:\n\n\xf0\x9f\x8c\x9f Tom Daley\n\xf0\x9f\x8c\x9f Tyson Fury\n\xf0\x9f\x8c\x9f Adam Pe\xe2\x80\xa6"""
1470330262252892164,2021-12-13 09:50:26+00:00,b'RT @BBCSport: He won gold in the 10m syncro diving at Tokyo 2020 to take his Olympic medal haul to four.\n\nIs @TomDaley1994 your choice for\xe2\x80\xa6'
1466363947553103873,2021-12-02 11:09:43+00:00,"b'Say hello to my Essentials collection! Made from 100% organic cotton, these are the perfect essentials to add to your wardrobe this winter \xe2\x9d\x84\xef\xb8\x8f Don\xe2\x80\x99t miss out on the limited edition Christmas t-shirts! \n\nClick here \xf0\x9f\x91\x89 https://t.co/DynABmK0D8 to get yours\xf0\x9f\x8e\x84#essentials #madewithlove https://t.co/lUsz2jMytV'"
1464283862226329605,2021-11-26 17:24:12+00:00,b'Mariah is out of hibernation\xe2\x80\xa6it\xe2\x80\x99s officially nearly Christmas! So of course I made a jumper \xf0\x9f\x8e\x84\xf0\x9f\xa7\xb6 Check out the full knit kit range at https://t.co/9NnaLpFJEU #madewithlove https://t.co/NeLcngQbWW'
1463922933961736200,2021-11-25 17:30:00+00:00,"b""Made With Love is officially live! Whether you're looking for a way to calm the mind or you want a new hobby, knitting offers something for everyone. Head to https://t.co/9NnaLpFJEU to check out my latest kits \xf0\x9f\xa7\xb6\xf0\x9f\xa7\xb6 #madewithlove #knitting https://t.co/f3axiHscpO"""
1463557964661334021,2021-11-24 17:19:45+00:00,"b'Knitters at the ready\xe2\x80\xa6 the countdown has officially begun, stay tuned for tomorrow \xf0\x9f\x91\x89  https://t.co/9NnaLpo8gk\n#madewithlove https://t.co/TgdkXcLKpM'"
1457755293266452485,2021-11-08 17:02:00+00:00,"b'Hear what @allysonfelix, @JessicaLong and I think about data in sports, and how we use data to train at the Tableau Conference...register now, here https://t.co/v55VQ0vEM1 https://t.co/GRh0ElDwqE'"
1447536170318143493,2021-10-11 12:14:51+00:00,b'Signed books sold out but last few tickets are here https://t.co/wDXgI205E6\nSee you tomorrow! https://t.co/cBahcTsENH'
1445305742232367104,2021-10-05 08:31:56+00:00,b'Looking forward to joining @yahoobusinessuk at the @IABUK Digital Upfronts 2021 on Oct 13th along with @kad_c and @GabbyLogan to discuss what it takes to win gold! Find out more and sign up for free here https://t.co/iqlBafVOJq'
1436029457702215685,2021-09-09 18:11:17+00:00,b'Doing my first LIVE Q&amp;A tomorrow! It will be 12pm Calgary Time or 7pm UK TIME! Come join the fun! https://t.co/jXdbfPYGrS'
1435247087130660878,2021-09-07 14:22:25+00:00,"b'Join me and @WHOOP this Wednesday (Sept 8th) at 12PM EDT for their first-ever virtual event with talks from world class athletes and thought leaders \xf0\x9f\x92\xad\n\nRegister for free, here https://t.co/4sxlcV0PNt \n\n\n\n#WHOOPUnlocked2021 #ad https://t.co/Jw0ADRpjlY'"
1433316258188075008,2021-09-02 06:30:00+00:00,"b""\xf0\x9f\x8e\x89 I\xe2\x80\x99m on @Patreon! \xf0\x9f\x8e\x89 \n\nI'll be posting lots of exclusive content, hanging out with you on livestreams, sharing recipes, workouts, knitting \xe2\x80\x94 you name it, it\xe2\x80\x99s going to be on there! \xf0\x9f\xa7\xb6\xf0\x9f\x91\x9f\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x8d\xb3\n\nI can\xe2\x80\x99t wait to share all the fun stuff I\xe2\x80\x99ve got planned! \xf0\x9f\x9a\x80\xf0\x9f\x91\x89 https://t.co/SomzCOygI7 https://t.co/3hedSGZDLY"""
1430097292271497229,2021-08-24 09:18:59+00:00,"b""Shall we hang out?! I\xe2\x80\x99m doing an (IRL!) talk and Q&amp;A for my new book #ComingUpForAir on 12th October at Cadogan Hall and you'll get a signed book, two days before release! Come say hi! \xf0\x9f\x91\x8b \xc2\xa0 \n\nTickets on sale Friday 27th August at 10am\n\nhttps://t.co/wDXgI205E6 https://t.co/oEFWhDBWiN"""
