twitter_id,date,tweet
1278356459785457665,2020-07-01 15:55:05+00:00,"b'Thank you to Dr. @Songwevera for sharing your expertise and insights with us today. If you\xe2\x80\x99re inspired to fight for a coordinated global response to COVID-19, please visit https://t.co/NkzMKE2P3B @ONECampaign #PassTheMic #oneworld'"
1278356456677539842,2020-07-01 15:55:04+00:00,b'\xe2\x80\x9cAfrica\xe2\x80\x99s private sector has been quite resilient. I\xe2\x80\x99m most optimistic about the innovation we are seeing like the lab in Senegal making testing accessible by producing one-dollar test kits that give you results in 65 min.\xe2\x80\x9d @Songwevera @ONECampaign #passthemic #oneworld https://t.co/fJNl9TiP7j'
1278356450658725888,2020-07-01 15:55:03+00:00,"b'\xe2\x80\x9cA global response to #COVID19 is the key to a faster recovery and unlocks the potential for more equitable growth. Tens of millions of people around the world have already lost their jobs, we need to keep that number from growing.\xe2\x80\x9d @Songwevera @ONECampaign #passthemic #oneworld https://t.co/RUdTcSbGAZ'"
1278353475584352256,2020-07-01 15:43:13+00:00,"b'I\xe2\x80\x99m honoured to #PassTheMic to econ and development expert Dr. @Songwevera, the Executive Secretary of the United Nations @ECA_Official. She\xe2\x80\x99s here to talk about #COVID19 in Africa and global economic recovery. Demand action at https://t.co/NkzMKE2P3B @ONECampaign #oneworld'"
1260705235481346050,2020-05-13 22:55:25+00:00,b'RT @NSTheatres: So the amazing @AnneliePowell started a petition. \n\nIt would mean a lot to us if you signed it and shared it. \n\nSouthampton\xe2\x80\xa6'
1260705199452303362,2020-05-13 22:55:16+00:00,b'RT @MrSamHodges: I just want to thank everyone for their messages yesterday. The support and love for @NSTheatres was extraordinary and mov\xe2\x80\xa6'
1258360321602969601,2020-05-07 11:37:34+00:00,"b'RT @josierourke: \xe2\x80\x9cAll Joy and Honour!\xe2\x80\x9d (Act II, Scene ii)\nCORIOLANUS at home with @twhiddleston, @Markgatiss, @hadleyfraser + more legends.\xe2\x80\xa6'"
1258339911134044163,2020-05-07 10:16:28+00:00,b'RT @NationalTheatre: We\xe2\x80\x99re so excited to announce new streaming titles for #NationalTheatreAtHome on YouTube:\n\n\xf0\x9f\x8c\x9f Barber Shop Chronicles @Fu\xe2\x80\xa6'
1257413162216960001,2020-05-04 20:53:54+00:00,"b'In these new, complex times, they need help to ensure their services for patients can continue. Please consider joining me in donating, if you can. https://t.co/SMqu2S51Te https://t.co/sCtbgKORej'"
1257398060122021888,2020-05-04 19:53:53+00:00,"b'I visited the brilliant @MediCinema charity in 2018. They build &amp; run cinemas in hospitals which accommodate wheelchairs &amp; beds. It really helps patients feel less isolated, get away from the wards, do something a bit normal &amp; watch a film. https://t.co/ZWUUSHt88i'"
1224155640240771074,2020-02-03 02:20:23+00:00,"b'RT @disneyplus: The Universe is expanding. Marvel Studios\xe2\x80\x99 The Falcon and The Winter Soldier, WandaVision and Loki are coming soon to #Disn\xe2\x80\xa6'"
1165385136634040322,2019-08-24 22:07:23+00:00,b'Already synchronised watches with @iamkateherron and @michaelwaldron. They\xe2\x80\x99ve done such great work already. Here we go. #Loki https://t.co/pGJOOjSt4z'
1159941809730199552,2019-08-09 21:37:32+00:00,b'#BetrayalBroadway https://t.co/rgTTeJji6n'
1157003437579657216,2019-08-01 19:01:30+00:00,b'Thank you @jessicasara and @EW! Really grateful for the opportunity to talk about BETRAYAL. #BetrayalBroadway https://t.co/YttOK94we1'
1151172384889679872,2019-07-16 16:50:58+00:00,b'New Office.\n#BetrayalBroadway https://t.co/1V76mI94Aw'
1110578314211741696,2019-03-26 16:24:38+00:00,b'1 month. #AvengersEndgame https://t.co/Vqp2ZGXZXj'
1062789665974042624,2018-11-14 19:29:36+00:00,b'https://t.co/jTjYq4FHcb'
1060955612413079558,2018-11-09 18:01:44+00:00,b'https://t.co/4jl3dAVLqv'
844246527958749184,2017-03-21 17:57:12+00:00,"b""I've seen first-hand how @Unicef_uk are saving children's lives in #SouthSudan. Here's how they're fighting #famine: https://t.co/QiInP22TWP"""
843860213316960257,2017-03-20 16:22:07+00:00,"b'Wise, thoughtful, honest Andre Agassi. https://t.co/VHTSX1kqRk'"
843438575870009345,2017-03-19 12:26:41+00:00,b'Yuval Noah Harari answers a question from Esther Rantzen in the @ObsNewReview today. https://t.co/gx4dgt39mr'
841606416402006017,2017-03-14 11:06:20+00:00,"b'RT @unicefssudan: ""There is no time to waste. #SouthSudan needs our help  more than ever"" @Guardian Editorial https://t.co/7YKrmKl9YE https\xe2\x80\xa6'"
841260798437552128,2017-03-13 12:12:58+00:00,"b""RT @Unicefuk_media: In today's @MetroUKNews: @twhiddleston on the dire situation for children in #SouthSudan &amp; east Africa. Donate here: ht\xe2\x80\xa6"""
837660964686299137,2017-03-03 13:48:31+00:00,b'Such a laugh on @BBCRadio2 this morning with @achrisevans @edsheeran @AntMiddleton333 &amp; @angelascanlon. Happy Friday. https://t.co/9KjdEb29ot'
836886442945171456,2017-03-01 10:30:51+00:00,b'I used to come to Leicester Square in London to watch films as a child. So exciting to bring Kong home. #kongskullisland https://t.co/CqWSWf35ft'
836252185918910465,2017-02-27 16:30:32+00:00,"b'New trailer! Kong is back. In cinemas all over the world. March 10, 2017. #kongskullisland #kongisking https://t.co/OLnyGYKLW0'"
834139630882680832,2017-02-21 20:36:00+00:00,"b'Famine declared in parts of #SouthSudan. #UNICEF is on the ground, delivering life-saving aid to children. To help: https://t.co/Pt94l9DETv'"
834138331244089344,2017-02-21 20:30:50+00:00,b'RT @guardian: Famine declared in South Sudan https://t.co/YAJynWrJUp'
832685560749649921,2017-02-17 20:18:02+00:00,"b'Had so much fun on the sofa @TheGNShow with these guys, talking all things #kongskullisland. Tonight. 10:35pm. @BBCOne. https://t.co/qJiHMtmYPg'"
831682014910808068,2017-02-15 01:50:18+00:00,b'Bravo @Kevfeige and everyone at @MarvelStudios. What you have built over the years is extraordinary. https://t.co/u8nRvIGXAQ'
831242389121560576,2017-02-13 20:43:23+00:00,"b'In other news, I turned 36 last week. Huge thanks to everyone who said hello. I went for a run in the rain, had a piece of cake. On we go.'"
830117538445004800,2017-02-10 18:13:38+00:00,b'@exitthelemming Halcyon days.'
811244030214410241,2016-12-20 16:17:03+00:00,"b'RT @UNICEF: #SouthSudan: Action needed now to prevent genocide, says Ban Ki-moon https://t.co/zwnHe9y96H @guardian'"
806181622185803776,2016-12-06 17:00:51+00:00,"b'The last #EmergencyLessons video from Amosh &amp; Anjali in Nepal asks us to show what school means to us, with an emoji! Here\xe2\x80\x99s mine. @Unicef https://t.co/7m5MX24chw'"
806043617462812672,2016-12-06 07:52:28+00:00,b'RT @UNICEF_uk: School means a future for children like Amosh and Anjali. What emoji would you use to show what it means for you? #Emergency\xe2\x80\xa6'
805076072836562945,2016-12-03 15:47:48+00:00,"b'""I, Daniel Blake"". Essential viewing. Compassionate, wise, kind. We must do all we can to help each other out. Especially now. https://t.co/m3FtCruLiH'"
804288134192234496,2016-12-01 11:36:48+00:00,b'Just back from South Sudan with @Unicef_Uk to see how innocent children are still bearing the brunt of the conflict 3 years since it began. https://t.co/y0v3sx8acF'
799139394120609792,2016-11-17 06:37:33+00:00,b'Kong: Skull Island. A place where myth and science meet. https://t.co/EnFVkTGIkH'
799035877066346496,2016-11-16 23:46:13+00:00,b'Team. #kongskullisland https://t.co/PZnorrJn0x'
798938887754117120,2016-11-16 17:20:49+00:00,b'Allow me to introduce you.... #kongskullisland https://t.co/kLGFBdPKFQ'
789054898633580544,2016-10-20 10:45:22+00:00,"b'Been working with the great Nick Park and Aardman on their hilarious new film, earlymanmovie. He\xe2\x80\xa6 https://t.co/ZjQZb5mZo0'"
781682439970103296,2016-09-30 02:29:51+00:00,"b'Song of the Day: ""00000 Million"" by Bon Iver.'"
780338616069349377,2016-09-26 09:29:58+00:00,b'This made me so happy. Presenting @DirSusanneBier with her #Emmy Award for Outstanding Directing\xe2\x80\xa6 https://t.co/gEOwgLmwqx'
773425614170693632,2016-09-07 07:40:10+00:00,"b""In response to Ali &amp; Gaith, who miss their journey to school, here's mine. @UNICEF #EmergencyLessons\nhttps://t.co/0ex1XHUJad"""
773423852357558274,2016-09-07 07:33:10+00:00,"b'RT @UNICEF: Walking to school. That\xe2\x80\x99s what Ali and Gaith, displaced in #Iraq, miss the most. #EmergencyLessons https://t.co/MLDlPRr9dF'"
772977804707102720,2016-09-06 02:00:44+00:00,"b'Thanks fellas @chrishemsworth @idriselba, thank you @TVChoice &amp; thank you to everyone who voted! #TheNightManager  https://t.co/paeZ1fQxDE'"
771647072932012032,2016-09-02 09:52:53+00:00,b'Ok @josierourke! @DonmarWarehouse #charadespeare. I challenge @hadleyfraser. #YoungAndFree: https://t.co/AlwoIHyn7u https://t.co/KPQ5cGWscv'
771646296612409344,2016-09-02 09:49:48+00:00,b'RT @josierourke: #YoungAndFree @DonmarWarehouse #charadespeare. Challenge @twhiddleston https://t.co/dD9iW4Vwfs https://t.co/htXTTwI6Kr'
770201237492948992,2016-08-29 10:07:39+00:00,b'RT @MarvelStudios: See what Thor was up to during #CaptainAmericaCivilWar! Get this &amp; other bonus on Dig HD 9/2 https://t.co/tWbG2IIs9h htt\xe2\x80\xa6'
768397731140210688,2016-08-24 10:41:09+00:00,b'The good @DrGotts is helping raise money for @UNICEF_uk and their work for innocent children in Syria. Big respect. https://t.co/HW3WfBr5uL'
768315364417548288,2016-08-24 05:13:52+00:00,"b""RT @MarvelStudios: Unforgettable meeting all the children at Lady Cilento Children's Hospital. They're the real heroes. \xf0\x9f\x93\xb8 @twhiddleston htt\xe2\x80\xa6"""
767814530076291072,2016-08-22 20:03:43+00:00,b'Now &amp; Then.\nchrishemsworth #thorragnarok #thor #loki https://t.co/9hNBEQFcxe'
767535667790221317,2016-08-22 01:35:37+00:00,b'RT @chrishemsworth: Just sellin papers with my mate @twhiddleston #PartTimeJob #ThorRagnarok @TaikaWaititi https://t.co/QdxgPRFQiw'
767304683631194113,2016-08-21 10:17:47+00:00,"b"".@edibow's new podcast #Soundtracking - about my favourite thing, film music - is absolutely great: https://t.co/udsWEwZJPj."""
766791813743058948,2016-08-20 00:19:49+00:00,"b'This is very frightening. Child soldier ""nightmare"" could be imminent in South Sudan - UNICEF: https://t.co/dip6iza6WF @UNICEF_uk'"
765789772317065217,2016-08-17 05:58:04+00:00,b'Amazing crowd @sagaftraFOUND &amp; wonderful questions from @DeadlineDominic. Really loved doing this. https://t.co/C53aIFoyzG'
765397723453517824,2016-08-16 04:00:12+00:00,b'I loved doing this. Big respect and thank you to @sagaftraFOUND. https://t.co/kM6ey0Kpc1'
763001731143700481,2016-08-09 13:19:23+00:00,"b""He's back! https://t.co/iD0bokiUnX"""
756949208922361856,2016-07-23 20:28:49+00:00,b'RT @kongskullisland: Discover how Kong became King. WATCH the official Comic-Con trailer for #kongskullisland now. #SDCC #WBSDCC\nhttps://t.\xe2\x80\xa6'
756684795736915968,2016-07-23 02:58:08+00:00,"b'Lastly, 3m followers! My goodness. Thank you for listening to my ramblings and coming along for the ride.'"
756683027812458496,2016-07-23 02:51:06+00:00,b'RT @ISawTheLight_US: .@twhiddleston &amp; Rodney Crowell talk Hank Williams. Own #ISawTheLight on Blu-ray and Digital https://t.co/9sRQeddXCh\nh\xe2\x80\xa6'
756682917212938240,2016-07-23 02:50:40+00:00,"b'""Honky Tonkin\'"" from #ISawTheLight, the first number we shot, out now on DVD in the US. https://t.co/uJfNQ7gOcg.\nhttps://t.co/1MARCA38f4'"
756677303812300801,2016-07-23 02:28:22+00:00,b'RT @HighRise_movie: #HighRise pushes its way into UK stores from Monday. Pre-order now: https://t.co/keuCIUFJLp https://t.co/Ro14FpsWhz'
756676971858317312,2016-07-23 02:27:03+00:00,b'.@HighRise_movie is out on DVD in the UK: https://t.co/4zM79eJC1C #HighRise https://t.co/e0efhkDdVq'
756674748629848065,2016-07-23 02:18:13+00:00,"b""Here's the first shot from @kongskullisland. Can't wait to show  you more tomorrow at #SDCC2016. https://t.co/dgw4MY0Fvz"""
753503240751161344,2016-07-14 08:15:46+00:00,"b""M'mah &amp; Adamah in Guinea have shared their favourite school activity for #EmergencyLessons. Here's mine! #HesBack\nhttps://t.co/Y1jBfnOGIP"""
753492778907148289,2016-07-14 07:34:12+00:00,"b""RT @eu_echo: Follow M'Mah and Adamah to their favourite school activity and tell us what yours is with hashtag #EmergencyLessons!\nhttps://t\xe2\x80\xa6"""
753155188542742528,2016-07-13 09:12:44+00:00,b'.@KathViner: \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc https://t.co/mI9qWs2mm1'
745921941421301760,2016-06-23 10:10:24+00:00,"b""#EUref polling day. Every vote counts. It's too important. Future in the balance. Listen to the advice of those you trust. Vote."""
745048753992830976,2016-06-21 00:20:39+00:00,b'RT @MarkRuffalo: Look who I found in Beijing. Ready for round 2 @twhiddleston? See you soon! #Thor3 https://t.co/CL7QUHlNkF'
744638851017285632,2016-06-19 21:11:51+00:00,"b'Absolutely devastated to hear about Anton Yelchin. He was such a gifted, natural actor &amp; a deeply kind man. My thoughts are with his family.'"
742818529414504450,2016-06-14 20:38:32+00:00,"b'Like Malak &amp; Rapu, my best friend at school was very important to me. Give yours a shout-out! #EmergencyLessons\nhttps://t.co/Gz6hLqsw11'"
742789822855663616,2016-06-14 18:44:28+00:00,b'More inspiring #EmergencyLessons with @UNICEF &amp; @eu_echo! Here are Malak &amp; Rapu in Iraq on school &amp; friendship. https://t.co/tb2e47fpYX'
740978132656750593,2016-06-09 18:45:28+00:00,"b'The one and only @RobertDowneyJr, standing up for the education of children. Thank you, Robert! #EmergencyLessons https://t.co/7QgYq8OQhH'"
738855161314086914,2016-06-03 22:09:32+00:00,"b'Win a paid-for trip to meet my pal @MarkRuffalo! To enter, check out his latest campaign: https://t.co/GWBPqzp1oL https://t.co/KDYH0HzRsm'"
738060221696745473,2016-06-01 17:30:44+00:00,b'Manners maketh man. #Ad @JaguarUSA https://t.co/pqIlsXEsYa'
736090549183123457,2016-05-27 07:03:57+00:00,b'Backstage @The_Globe on @BBCRadio2 for #500words: https://t.co/XoE3D4rBvI'
736080556018917378,2016-05-27 06:24:14+00:00,b'On my way down to @The_Globe to celebrate the #500words finalists with @achrisevans &amp; @BBCRadio2. Good morning!'
735953419144433664,2016-05-26 21:59:03+00:00,b'What a lot of excellent people. #rednoseday USA is on NBC tonight: https://t.co/zBKEcPUMH6'
735520251618701313,2016-05-25 17:17:47+00:00,b'Very exciting news: https://t.co/FPyeViMcww @BFI'
735272090425778176,2016-05-25 00:51:41+00:00,b'#TheNightManager. The finale. Tonight. @AMC_TV. 10|9c. https://t.co/tUHNcxtsQd'
735103019134668801,2016-05-24 13:39:51+00:00,b'RT @JustineGreening: Empowered girls and women are crucial to a country\xe2\x80\x99s future. By investing in them we have a better future for us all #\xe2\x80\xa6'
735102990990839812,2016-05-24 13:39:45+00:00,"b'RT @JustineGreening: When young people are given a real voice, they are a crucial part of the solution, they are amazing agents and advocat\xe2\x80\xa6'"
734868291525697536,2016-05-23 22:07:08+00:00,"b'Ladies &amp; gentlemen, there is only one @MarkRuffalo and we are lucky to have him! #EmergencyLessons  https://t.co/6OQnEwLbSx'"
732684290375454720,2016-05-17 21:28:42+00:00,"b'Watch your back, Pine. #TheNightManager. Episode 5. Tonight. @AMC_TV. 10|9c. https://t.co/ItVylK2bTs'"
732147597742313472,2016-05-16 09:56:04+00:00,"b'For children in emergencies, school is as vital as food and medicine: https://t.co/5fEL3Rhz4w Share your school photo! #EmergencyLessons'"
732135867041480704,2016-05-16 09:09:27+00:00,b'My school photo! Proud to support @unicef &amp; @eu_echo work on education in crises. Share your photo #EmergencyLessons\nhttps://t.co/YouBblFHLX'
732133542302515200,2016-05-16 09:00:13+00:00,b'Kicking off #EmergencyLessons with @UNICEF &amp; @eu_echo. Watch the video below - my favourite school photo coming up! https://t.co/rVtiLW78tz'
731197791654051840,2016-05-13 19:01:53+00:00,b'RT @BFI: \xe2\x80\x9cSteal from anywhere that resonates with inspiration or fuels your imagination.\xe2\x80\x9d - Jim Jarmusch #bornonthisday https://t.co/QEuOQY\xe2\x80\xa6'
731052276333301760,2016-05-13 09:23:39+00:00,b'RT @UNICEF_uk: Ambassador @twhiddleston asks you to get stuck in with #DayForChange to help change children\xe2\x80\x99s lives  https://t.co/tWrmxvY71Z'
730375411763417089,2016-05-11 12:34:02+00:00,b'RT @emilykthomson2: @twhiddleston @JustineGreening @DFID_UK  children expressing their voices on behalf of children whose voices are silenc\xe2\x80\xa6'
730371407423492096,2016-05-11 12:18:07+00:00,"b""Loved meeting @JustineGreening @DFID_UK &amp; pupils in London to talk about protecting children's education in crisis.\nhttps://t.co/jMoo97ua6y"""
730106696236974080,2016-05-10 18:46:15+00:00,b'#TheNightManager. Episode 4. Tonight. 10|9c. @AMC_TV. https://t.co/vxszFthI5E'
730077339397304320,2016-05-10 16:49:36+00:00,b'@alistairpetrie You are a very bad man. #TheNightManager'
730049019054034944,2016-05-10 14:57:04+00:00,b'Education in an emergency can be life-saving. Martin Bell for the @guardian: https://t.co/96YIGcVz6a @UNICEF_uk'
730027219880431616,2016-05-10 13:30:27+00:00,b'Thank you @HenryHBarnes &amp; @catherineshoard at the @guardian for this: https://t.co/mnf6J56lZA. Good fun. Beautiful guitars. #ISawTheLight'
728885949921411072,2016-05-07 09:55:27+00:00,b'RT @R1Breakfast: Tom Hiddleston in our InstaGrim Booth \xf0\x9f\x98\x8e https://t.co/NEYhNZvXri'
728730242618167296,2016-05-06 23:36:43+00:00,"b'@mindykaling Thank you, Mindy!'"
728724737875169280,2016-05-06 23:14:51+00:00,b'RT @KermodeMovie: Dead amaze and totes emosh. I do some bullfiddle backing for @twhiddleston on I Saw The Light. Not even joking! https://t\xe2\x80\xa6'
728720668724998144,2016-05-06 22:58:41+00:00,b'RT @SamuelLJackson: A huge thank you 2 @theGNShow 4 showing another 1 of our films 4 @one4theboys with @Samhuntleyfilm &amp; #SarahJones. \nhttp\xe2\x80\xa6'
728152816057909248,2016-05-05 09:22:14+00:00,b'RT @sirrogermoore: BBC News - @twhiddleston Hiddleston defends war zone children https://t.co/RKX5CTLhwF'
728144305815097345,2016-05-05 08:48:25+00:00,b'RT @DFID_UK: Highlights of @justinegreening &amp; @twHiddleston chat on keeping children safe in emergencies: https://t.co/xuWpm5mln3 https://t\xe2\x80\xa6'
727885751984238596,2016-05-04 15:41:01+00:00,b'RT @Unicefuk_media: PRESS RELEASE: Put children at the top of the World Humanitarian Summit - @twhiddleston https://t.co/Im4qpza2Rx https:/\xe2\x80\xa6'
727863080655392771,2016-05-04 14:10:56+00:00,b'Just met students in London with @JustineGreening to discuss the importance of keeping schools safe for children in emergencies. @Unicef_UK'
727759991277522944,2016-05-04 07:21:17+00:00,"b""Haven't been home for 4 months. Celebrated with a run round Regent's Park in the spring sunshine. London. Greatest city in the world. Home."""
727464779451883521,2016-05-03 11:48:13+00:00,"b'A huge thank you to @EsquireUK for taking my picture, on a beautiful day, jumping into swimming pools in LA. https://t.co/EqbB9igsuN'"
726621169940619265,2016-05-01 03:56:01+00:00,b'Had such a laugh at the #WHCD with the @guardian team! @KathViner @meropemills @lee_glend @katiiia &amp; @carrieffisher https://t.co/eQMpmxGifW'
725860454858285063,2016-04-29 01:33:12+00:00,"b'Hello ladies &amp; gents of the US! Our mad, beautiful #HighRise is available to watch here: https://t.co/7JKVc5hXSb https://t.co/n5QJcnMZqv'"
725151454646796288,2016-04-27 02:35:54+00:00,"b""From the clifftop of Jonathan Pine's training run. Hartland Peninsula, North Devon. #TheNightManager https://t.co/NY7XNOqgr6"""
725130155660853248,2016-04-27 01:11:16+00:00,"b'Reminder that yesterday thanks to @JKCorden, @latelateshow &amp; @JungleJackHanna I met a baby leopard &amp; it was amazing. https://t.co/ji8ARSomiI'"
724350016358215681,2016-04-24 21:31:16+00:00,b'RT @Laurie_Rose: https://t.co/kBnPfRMIom'
722936602083860481,2016-04-20 23:54:52+00:00,b'.@mr_wheatley &amp; I are on our way to @Tribeca for the New York premiere of #HighRise! https://t.co/s9FXgz9RkJ'
722607702069940226,2016-04-20 02:07:56+00:00,"b""#TheNightManager has begun on @AMC_TV! Thank you for all your terrific questions. Sorry I didn't have time to answer more. #AskNightManager"""
722605973781749760,2016-04-20 02:01:04+00:00,"b"".@terrigirl_md I can't imagine anyone but Olivia Colman as Burr. She is definitive. #AskNightManager"""
722605404010770432,2016-04-20 01:58:48+00:00,"b"".@RoamingRebee We've updated it to the present day to honour the political resonance &amp; prescience of John le Carr\xc3\xa9's novel. #AskNightManager"""
722604831710539776,2016-04-20 01:56:31+00:00,"b"".@XPhile03 @hughlaurie is one of the funniest men I've ever met &amp; also the most dedicated &amp; rigorous. An exemplary leader. #AskNightManager"""
722603388882587648,2016-04-20 01:50:47+00:00,b'.@terrawindham When an outsider threatens the stability of the status quo there are always consequences. For both of them. #AskNightManager'
722602691319500800,2016-04-20 01:48:01+00:00,"b"".@daisy_104 I'll leave that to you to decide. You will have to wait and see. #AskNightManager"""
722602139755941888,2016-04-20 01:45:50+00:00,"b"".@paigehabicht It's an extraordinary story of moral courage. Pine &amp; Burr are brave enough to stand up to the face of evil. #AskNightManager"""
722537556089380864,2016-04-19 21:29:12+00:00,b'RT @NightManagerAMC: Jonathan Pine himself will be joining us for a #AskNightManager tonight at 9:30pm ET. Don\xe2\x80\x99t miss it! https://t.co/eD0P\xe2\x80\xa6'
