twitter_id,date,tweet
1546107430584684544,2022-07-10 12:21:51+00:00,b'Love love love this! Thank you sister Eid Mubarak https://t.co/YWlFQVlllq'
1538640900313780224,2022-06-19 21:52:31+00:00,"b""RT @Reuters: WATCH: Actor and singer Jennifer Hudson has become an EGOT, joining a select group of people who've won an Emmy, Grammy, Oscar\xe2\x80\xa6"""
1537328428243988481,2022-06-16 06:57:14+00:00,"b""RT @AttorneyCrump: Dr. Mutulu Shakur \xe2\x80\x93 a jailed human rights activist &amp; Tupac's step-father \xe2\x80\x93 has been in the U.S. Bureau of Prisons for 36\xe2\x80\xa6"""
1537010860723277824,2022-06-15 09:55:20+00:00,b'RT @Forbes: Bill Gates thinks you should read these five books this summer: https://t.co/07A61snMdC https://t.co/Krti4RF1hE'
1536816193767604225,2022-06-14 21:01:47+00:00,b'RT @Hoodcashent: Check out TYRESE sister Queen G with The Queen G Experience Live on Hood Cash Radio Pod Cast Edition streaming on @iheartr\xe2\x80\xa6'
1536649098455023616,2022-06-14 09:57:49+00:00,"b'RT @TheSource: Jennifer Hudson Wins Tony Award for \xe2\x80\x98A Strange Loop,\xe2\x80\x99 Gains EGOT Status https://t.co/RhZ40mwu9A'"
1535862538876887040,2022-06-12 05:52:18+00:00,b'Your the MAN!!!! https://t.co/QTVhpaobzH'
1534445389377638401,2022-06-08 08:01:04+00:00,b'RT @BookCameo: please remain seated with your seat belt fastened and keep the aisle clear @Tyrese is taking off https://t.co/LHkNxFRbYR'
1534056807869587456,2022-06-07 06:16:59+00:00,"b'RT @YahooEnt: \xe2\x80\x98Entertainment Tonight\xe2\x80\x99 anchors Kevin Frazier, Nischelle Turner to host this year\xe2\x80\x99s Daytime Emmys https://t.co/YoTM7tR1lZ htt\xe2\x80\xa6'"
1533701173169082368,2022-06-06 06:43:49+00:00,b'RT @Forbes: More than a year before contract negotiations begin the United Auto Workers and Ford Motor Co. announced the automaker will inv\xe2\x80\xa6'
1532734032387055617,2022-06-03 14:40:44+00:00,"b'RT @ManyamTitus: My first charcoal pencil drawing #pencildrawing #art with love for  @Tyrese trying to give you a new atire,something Afric\xe2\x80\xa6'"
1532331678299049986,2022-06-02 12:01:56+00:00,"b'RT @staceyabrams: I am proud to endorse my friends @BeeForGeorgia for Secretary of State, @charlie4georgia for Lieutenant Governor and @bod\xe2\x80\xa6'"
1532277548066938880,2022-06-02 08:26:50+00:00,b'RT @IAmSteveHarvey: Reflecting... This was real pain I felt going back to Ghana\xe2\x80\x99s slave castles...I could feel my ancestors on me... Powerf\xe2\x80\xa6'
1532277341287768064,2022-06-02 08:26:01+00:00,b'Always stand UP for yourself!!!! Always!!!!! https://t.co/N0l7EwfUoz'
1532276799148802048,2022-06-02 08:23:51+00:00,"b'RT @CBR: Warner Bros. Discovery is reportedly courting Joker director Todd Phillips to become an ""advisor"" for its DC film franchise.\n\nDeta\xe2\x80\xa6'"
1532162263108435969,2022-06-02 00:48:44+00:00,b'RT @joblocom: Joker director Todd Phillips reportedly asked to serve as DC Universe advisor https://t.co/3JX8xsdzzm https://t.co/GCWzUgXFKp'
1530332486001115136,2022-05-27 23:37:51+00:00,"b""RT @JJSea: Go watch #RogueHostage on @hulu now, it's a phenomenal Action Drama starring @Tyrese the best I've seen in years https://t.co/2H\xe2\x80\xa6"""
1528504134546112516,2022-05-22 22:32:38+00:00,b'RT @Forbes: A trove of artwork amassed by real estate tycoon Harry Macklowe and his ex-wife Linda during their nearly six-decade marriage b\xe2\x80\xa6'
1519352251717980160,2022-04-27 16:26:19+00:00,"b'RT @lacivilrights: Today we honor the First Lady of the Civil Rights Movement, Coretta Scott King. She would have been 95.\n\nA leader in her\xe2\x80\xa6'"
1519349865108717569,2022-04-27 16:16:50+00:00,b'RT @LMOroEsc: Emrace LA\n\nOn The Clock: The House Always Wins | Rams Full Draft Trailer https://t.co/3HC1OgQEqm a trav\xc3\xa9s de @YouTube'
1519289516636479488,2022-04-27 12:17:02+00:00,"b'RT @RamsNFL: The real blockbuster of the offseason. \n\n\xe2\x80\x98On the Clock\xe2\x80\x99, A #RamsHouse Production https://t.co/z5Yje8Xq3w'"
1519144518314041344,2022-04-27 02:40:52+00:00,b'Hardest secret I ever had to keep! \n\nR A M S!!!!!!!! https://t.co/Rx6rayFBZo'
1517948801184641025,2022-04-23 19:29:30+00:00,b'RT @Reuters: Exclusive: Local election chief threatened by Republican leader seeking illegal access to voting equipment https://t.co/B71ifu\xe2\x80\xa6'
1517674240639574016,2022-04-23 01:18:30+00:00,b'Yes! https://t.co/pZCLTnKtjg'
1517519472470364161,2022-04-22 15:03:31+00:00,b'RT @TIME: \xe2\x80\x9cI want to do my best to become a player people will remember.\xe2\x80\x9d \n\nShohei Ohtani is a baseball savant doing what has never been se\xe2\x80\xa6'
1517312562433515520,2022-04-22 01:21:19+00:00,b'RT @amberbillops: I appreciate @codywalkerroww and @Tyrese for allowing me to be apart of their car culture. They created Fuel Fest in hono\xe2\x80\xa6'
1517234750083280896,2022-04-21 20:12:07+00:00,"b'RT @joblocom: Fun fact from ""Tears Of The Sun""! https://t.co/y9hsoXhMfD'"
