twitter_id,date,tweet
1521721169518514176,2022-05-04 05:19:33+00:00,b'@nostalgicbbv Juuuuust sayin https://t.co/3rLAsW2L5N'
1521720806128205826,2022-05-04 05:18:07+00:00,b'@nostalgicbbv Crazy cause then I played her daughter a year later\xe2\x80\xa6. Just sayin.'
1521720635004796930,2022-05-04 05:17:26+00:00,"b'RT @nostalgicbbv: May 2, 2016: Vanessa Hudgens via snapchat. https://t.co/WNLh2U7K7n'"
1508147327512432641,2022-03-27 18:21:57+00:00,b'What a way to start Oscar Sunday. \xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\x98\xf0\x9f\x8f\xbd https://t.co/cT9muOTQ5M'
1480370529039093763,2022-01-10 02:46:52+00:00,"b'RT @goldenglobes: It takes 43 muscles to smile. Thanks for the work out \xf0\x9f\x8f\x8b\xef\xb8\x8f\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f Andrew Garfield, and congratulations for taking home the #Gol\xe2\x80\xa6'"
1463195065640112131,2021-11-23 17:17:43+00:00,b'RT @teamteetat: #TickTickBoomMovie https://t.co/gwJm8pYlge'
1460956320694210560,2021-11-17 13:01:44+00:00,"b'RT @FallonTonight: \xe2\x80\x9cHe just shows up and has so much energy, I don\xe2\x80\x99t know where he gets it from.\xe2\x80\x9d\n\n-@VanessaHudgens reminisces about being\xe2\x80\xa6'"
1407388152906489856,2021-06-22 17:20:58+00:00,b'I\xe2\x80\x99m SOO excited to bring @weareknowbeauty into the world in partnership with @madisonbeer and @drkarenk. We created KNOW to take the guesswork out of building a routine \xe2\x80\x94 and help you get to really understand your own skin. Come say hey! https://t.co/u3g1xu1hll https://t.co/KGJt9GzMYV'
1376545817402691589,2021-03-29 14:44:32+00:00,b'RT @pamsson: Good morning. I hope you all have a great day like the dad in Scoop There It Is. https://t.co/eIeS5PuPH3'
1325971432942264322,2020-11-10 01:19:59+00:00,"b'RT @NetflixFilm: Behold the trailer for THE PRINCESS SWITCH: SWITCHED AGAIN, starring Vanessa Hudgens with Vanessa Hudgens and introducing\xe2\x80\xa6'"
1325136995950063616,2020-11-07 18:04:14+00:00,b'YESSSSSSSSSSSSSS https://t.co/vQNHHMjDVs'
1320121190409711616,2020-10-24 21:53:13+00:00,b'It is National Vote Early Day! This election is the most important of our life so make sure your voice is heard and your vote is counted...EARLY! #VoteEarly #EveryVoteVounts https://t.co/y46aMmQ4og'
1307807017361440768,2020-09-20 22:21:05+00:00,b'@Rachel__Harper wow. Goddess.'
1307806983983173633,2020-09-20 22:20:57+00:00,b'RT @Rachel__Harper: ONE WAP \n\nTWELVE IMPRESSIONS\n\nHappy Sunday x https://t.co/nUS1V8GOwu'
1275502071127527425,2020-06-23 18:52:46+00:00,"b'RT @TheFightMovie: Goliath, meet David. The Fight comes to theaters and on demand July 31st. #TheFightMovie https://t.co/CLq4FLzhQF'"
1242566890628608001,2020-03-24 21:40:07+00:00,"b'I\xe2\x80\x99m joining @bethenny and @theellenshow by donating money to help fund the purchases of masks and other supplies for various hospitals.\xc2\xa0\xc2\xa0If you\xe2\x80\x99re able to help, here\xe2\x80\x99s the link to join https://t.co/tQEnJvcjSz'"
1240014528366043136,2020-03-17 20:37:56+00:00,b'https://t.co/Mjw6qJ5bET'
1237429784101044225,2020-03-10 17:27:05+00:00,"b""i'm ready to #PlayWithLife with #TheSims \xf0\x9f\x98\x98\xf0\x9f\x99\x8b\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\xa5\xb3you can too by showing us your favorite YOU with their latest challenge. Click the link to find out more! #EAambassador #playwithlifechallenge\n\nhttps://t.co/DArFbJjM5a https://t.co/uKzH5bACpW"""
1179426180874813443,2019-10-02 16:01:28+00:00,"b'You\xe2\x80\x99re invited to the Halloween event of the year. Watch the #31NightsOfHalloweenFanFest Saturday, October 5 at 8pm/7c during @31Nights of Halloween on @FreeformTV \xf0\x9f\x98\x88\xf0\x9f\x94\xae\xf0\x9f\x95\xb7\xf0\x9f\x91\xbb\xf0\x9f\x96\xa4 https://t.co/SGwRaiUrTb'"
1137926282539393024,2019-06-10 03:35:42+00:00,b'RT @clewisreviews: Vanessa Hudgens is here? https://t.co/YyY3raA8fd'
1130216483609382912,2019-05-19 20:59:42+00:00,"b'#ad Had the best time opening up @blacktapanaheim at downtown Disney \xf0\x9f\x8d\x94\xf0\x9f\xa5\xb0 I made this shake and hung out with Minnie, Mickey and goofy. I\xe2\x80\x99d say a preeeetty epic day. #blacktapanahiem #downtowndisney @blacktapnyc https://t.co/LOlhLQ1tJK'"
1121152094789099520,2019-04-24 20:41:04+00:00,b'Finally the perfect Keto snack!! \xf0\x9f\x98\x8d @SlimFast #SlimFastKeto Peanut Butter Cup Fat Bombs are creamy peanut butter and chocolatey goodness\xe2\x80\xa6 without all the sugar and carbs. And I loooovvvve that I can take it with me on-the-go \xf0\x9f\x91\x9c! #ad https://t.co/P0RRu04jbg'
1118219360957607936,2019-04-16 18:27:25+00:00,b'Amazon Lockers took so much pressure off me packing for @Coachella this year. SO convenient and easy. Pretty sure Lockers are going to be my new Amazon go-to-delivery method. Genius! https://t.co/RCudJUk4Qw. #amazonpartner #amazonlocker #coachella https://t.co/y5XYiIgIl8'
1114627447524167680,2019-04-06 20:34:26+00:00,"b""#ad This year, I\xe2\x80\x99m buying all my festival essentials from @Amazon's new @Coachella, shop\xc2\xa0\xe2\x80\x94\xc2\xa0https://t.co/41J4jUCeqW! I\xe2\x80\x99m having it all shipped to an Amazon Locker inside the festival grounds. GENIUS, right?  #amazonpartner #coachella #amazonlocker https://t.co/WkGnn9RFHJ"""
1109849594433806337,2019-03-24 16:08:57+00:00,b'Uber drivers can be such assholes. Back to lyft. Lol'
1105918907557150720,2019-03-13 19:49:49+00:00,b'It\xe2\x80\x99s butterfly seasonnnnn!!!! The painted ladies are migrating and cloaking us all in their magical presence. I\xe2\x80\x99m in heaven \xf0\x9f\xa6\x8b\xf0\x9f\xa6\x8b\xf0\x9f\xa6\x8b\xf0\x9f\xa6\x8b'
1101734429305831424,2019-03-02 06:42:11+00:00,b'Omg amazing lol soooo fun doing this one https://t.co/hU83F2cmsL'
1091461074233290752,2019-02-01 22:19:33+00:00,b'Yallll!!! Our cast album is on iTunes ready for your listening pleasure \xf0\x9f\x98\x9denjoyyyyy https://t.co/dzFdY7yWyH'
1090367274374975488,2019-01-29 21:53:10+00:00,"b""Don't miss me on #DrunkHistory tonight at 10/9c on #ComedyCentral! https://t.co/0mRROnnaiG"""
1089990005005668352,2019-01-28 20:54:02+00:00,b'OMG DEAAAAAAD loooool https://t.co/txYs7pleCT'
1089918500167135233,2019-01-28 16:09:54+00:00,b'@idinamenzel so special having a moment with you last night. Adore you \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/zsEYDZGptk'
1089774777118515200,2019-01-28 06:38:48+00:00,b'Ima miss this one. Night night rent. It\xe2\x80\x99s been a trip. https://t.co/NgxwOxkhn7'
1089727570612867072,2019-01-28 03:31:13+00:00,b'RT @Jony_Jones: When my friends take me to a non-gay club...\n#RENT #RentLive @VanessaHudgens #VanessaHudgens https://t.co/V3K6khl46f'
1089727537003954177,2019-01-28 03:31:05+00:00,b'RT @KyleMcChicken: #RENTLive #RentPreRecorded #VanessaHudgens #MOOOO https://t.co/hL88sNDKRY'
1089711632119296000,2019-01-28 02:27:53+00:00,b'https://t.co/7o9nnDeVK4'
1089633513383415808,2019-01-27 21:17:28+00:00,b'@RENTonFOX tonight at 8/7c https://t.co/8R0BgWKhJt'
1087862975279427584,2019-01-23 00:01:59+00:00,b'RT @extratv: Tonight on #ExtraTV: @VanessaHudgens &amp; her @RENTonFOX co-stars are getting ready to go live in primetime! We\xe2\x80\x99re sneak-peeking\xe2\x80\xa6'
1082455325309947904,2019-01-08 01:53:55+00:00,b'#Polar\xc2\xa0\xe2\x9d\x84\xef\xb8\x8f Coming to Netflix January 25th. https://t.co/tFR7rVuVmf'
1081372490780143616,2019-01-05 02:11:07+00:00,"b'Win an exclusive chance for you and a friend to sit with ME at SuperBowl LIII in Atlanta! Pre-game sideline passes, the hottest #VIP parties, air travel, hotel &amp; more! Go to https://t.co/L9XGiDeF4o to donate $10 to @AmericanCancer to enter to Win! #CrucialCatch #NFL #SBLIII https://t.co/hp1cnRicP0'"
