twitter_id,date,tweet
1546145172156710914,2022-07-10 14:51:49+00:00,b'RT @MU_Foundation: We hope you all enjoyed the day! \xf0\x9f\x98\x80\n\n@BrentwoodSEN | @TogetherTrust | @pioneerhousesch \xe2\x9d\xa4\xef\xb8\x8f\n\nThanks to @FoundationWR @Wayne\xe2\x80\xa6'
1545476581329608706,2022-07-08 18:35:05+00:00,b'Brilliant day at @Wimbledon with @ColeenRoo and Kai. Always a special experience to watch live. Good luck to those in the finals this weekend. \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x8e\xbe https://t.co/TeTdLFGODP'
1545475523085844481,2022-07-08 18:30:52+00:00,b'RT @Blockassetco: Web3 done differently.\n\nMillions of sports fans can now be onboarded into the Blockasset athlete token exchange in under\xe2\x80\xa6'
1544696954503954436,2022-07-06 14:57:07+00:00,b'Good luck to @Lionesses who kick off  @WEURO2022 tonight. Looking forward to watching. Enjoy it. We\xe2\x80\x99re all behind you \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xa5\xf3\xa0\x81\xae\xf3\xa0\x81\xa7\xf3\xa0\x81\xbf\xf0\x9f\xa6\x81\n\n#England #Lionesses\xc2\xa0 #WEURO2022 https://t.co/ZSSsXt8vYd'
1543558276658388997,2022-07-03 11:32:25+00:00,b'Just got round to watching @TonyBellew\xe2\x80\x99s \xe2\x80\x98Against The Odds\xe2\x80\x99 on @itvhub. Brilliant. Inspirational. Recommend anybody to watch it. Congratulations once again Tony on an unbelievable career. \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc'
1542180374545047553,2022-06-29 16:17:08+00:00,"b'Thanks for taking me in as one of your own. Please get behind the next manager and give them what you gave me, trust, loyalty, and unbelievable support. Some great memories I\xe2\x80\x99ll never forget.\xf0\x9f\x91\x8f\xf0\x9f\x96\xa4\xf0\x9f\x90\x8f'"
1542180329309495296,2022-06-29 16:16:57+00:00,"b'A massive thank you to all the fans, players, and staff at @dcfcofficial for your support over the last three years. This has been one of the hardest decisions I\xe2\x80\x99ve had to make in my career. (1/2) https://t.co/xpMd7lgRhx'"
1536306274584993793,2022-06-13 11:15:33+00:00,b'\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f https://t.co/cyOOJ79X0g'
1532015295833026561,2022-06-01 15:04:44+00:00,b'RT @MU_Foundation: Our participants have been loving their #RooneysInclusiveReds holiday camp this week! \xf0\x9f\x94\xb4\xe2\x9a\xbd\n\nWe\xe2\x80\x99re happy to see you\xe2\x80\x99ve all\xe2\x80\xa6'
1529816687205154816,2022-05-26 13:28:15+00:00,b'RT @dcfcofficial: The latest instalment of \xf0\x9d\x90\x96\xf0\x9d\x90\x9e \xf0\x9d\x90\x80\xf0\x9d\x90\xab\xf0\x9d\x90\x9e \xf0\x9d\x90\x83\xf0\x9d\x90\x9e\xf0\x9d\x90\xab\xf0\x9d\x90\x9b\xf0\x9d\x90\xb2 documents the final stages of our challenging 2021/22 campaign and highlights the u\xe2\x80\xa6'
1529816178285129731,2022-05-26 13:26:14+00:00,b'RT @TripleSComms: Exciting to see that #ROONEY has been shortlisted by the @OfficialNTAs in the public vote for the Factual Entertainment T\xe2\x80\xa6'
1523195256770273280,2022-05-08 06:57:03+00:00,"b'RT @dcfcofficial: ""\xf0\x9d\x98\xbc\xf0\x9d\x99\xa8 \xf0\x9d\x99\xa8\xf0\x9d\x99\xa9\xf0\x9d\x99\x96\xf0\x9d\x99\x9b\xf0\x9d\x99\x9b \xf0\x9d\x99\x96\xf0\x9d\x99\xa3\xf0\x9d\x99\x99 \xf0\x9d\x99\xa5\xf0\x9d\x99\xa1\xf0\x9d\x99\x96\xf0\x9d\x99\xae\xf0\x9d\x99\x9a\xf0\x9d\x99\xa7\xf0\x9d\x99\xa8, \xf0\x9d\x99\xac\xf0\x9d\x99\x9a\'\xf0\x9d\x99\xa7\xf0\x9d\x99\x9a \xf0\x9d\x99\xa7\xf0\x9d\x99\x9a\xf0\x9d\x99\x96\xf0\x9d\x99\xa1\xf0\x9d\x99\xa1\xf0\x9d\x99\xae \xf0\x9d\x99\x9c\xf0\x9d\x99\xa7\xf0\x9d\x99\x96\xf0\x9d\x99\xa9\xf0\x9d\x99\x9a\xf0\x9d\x99\x9b\xf0\x9d\x99\xaa\xf0\x9d\x99\xa1 \xf0\x9d\x99\x9b\xf0\x9d\x99\xa4\xf0\x9d\x99\xa7 \xf0\x9d\x99\xa9\xf0\x9d\x99\x9d\xf0\x9d\x99\x9a \xf0\x9d\x99\xa8\xf0\x9d\x99\xaa\xf0\x9d\x99\xa5\xf0\x9d\x99\xa5\xf0\x9d\x99\xa4\xf0\x9d\x99\xa7\xf0\x9d\x99\xa9 \xf0\x9d\x99\xa9\xf0\x9d\x99\x9d\xf0\x9d\x99\x9a \xf0\x9d\x99\x9b\xf0\x9d\x99\x96\xf0\x9d\x99\xa3\xf0\x9d\x99\xa8 \xf0\x9d\x99\x9d\xf0\x9d\x99\x96\xf0\x9d\x99\xab\xf0\x9d\x99\x9a \xf0\x9d\x99\x9c\xf0\x9d\x99\x9e\xf0\x9d\x99\xab\xf0\x9d\x99\x9a\xf0\x9d\x99\xa3 \xf0\x9d\x99\xaa\xf0\x9d\x99\xa8 \xf0\x9d\x99\x96\xf0\x9d\x99\xa1\xf0\x9d\x99\xa1 \xf0\x9d\x99\xa8\xf0\x9d\x99\x9a\xf0\x9d\x99\x96\xf0\x9d\x99\xa8\xf0\x9d\x99\xa4\xf0\x9d\x99\xa3.""\n\nLet\'s hear from @WayneR\xe2\x80\xa6'"
1522317667553746944,2022-05-05 20:49:49+00:00,b'RT @dcfcofficial: Good graft in the sun today! \xe2\x98\x80\xef\xb8\x8f\xf0\x9f\x90\x8f\n\n#DCFC https://t.co/zPvKWxa3Ou'
1522289860601651200,2022-05-05 18:59:20+00:00,b'Thanks for coming River. Legend and an inspiration to all of us. Glad you enjoyed it. Keep smiling champ \xf0\x9f\x99\x82\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc\xe2\x9d\xa4\xef\xb8\x8f https://t.co/iqP1jP0xjZ'
1521538810802282497,2022-05-03 17:14:55+00:00,"b'RT @Blockassetco: The stars have aligned &amp; lineup is set for the BLOCK Party premiere \xf0\x9f\x92\xab\n\nMaking our talk show debut tonight at 7 PM BST, si\xe2\x80\xa6'"
1521220455402815489,2022-05-02 20:09:54+00:00,b'Legend \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc https://t.co/5GNcmJ8OpX'
1521045525650415618,2022-05-02 08:34:47+00:00,"b'Congratulations to @DCFCWomen on a great season, finishing in 2nd place. Well done to all the players, staff and supporters \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x90\x8f #DCFCW https://t.co/K6qHtaCmdn'"
1521044691113988096,2022-05-02 08:31:28+00:00,"b'RT @Blockassetco: Introducing the hosts of Block Party.. \xf0\x9f\xa5\x81\n\nMulti-award winning sports presenters, @AdamCatterall &amp; @Peety_Editor!\n\nThe fir\xe2\x80\xa6'"
1520486012224421888,2022-04-30 19:31:29+00:00,b'RT @dcfcofficial: THAT noise \xf0\x9f\x92\x89\xf0\x9f\x96\xa4\xf0\x9f\xa4\x8d\n\n#DCFC #dcfcfans https://t.co/6f3GJj9oVT'
1519677717746176003,2022-04-28 13:59:36+00:00,"b'RT @dcfcofficial: Jason Knight says the players want to give our 4,000 travelling supporters something to shout about on what he feels will\xe2\x80\xa6'"
1519677697504514052,2022-04-28 13:59:31+00:00,"b'RT @dcfcofficial: WR: ""To get relegated and still have such large numbers travelling to Blackpool shows how big this club is.\n\n""It\'s a chan\xe2\x80\xa6'"
1519329556561289216,2022-04-27 14:56:08+00:00,b'RT @Blockassetco: Congratulations to Blockasset Legend @WayneRooney. \n\n@PremierLeague Hall of Famer \xf0\x9f\x91\x91'
1519318925447733251,2022-04-27 14:13:54+00:00,b'Great night. Thank you @premierleague \xf0\x9f\x99\x8c https://t.co/o3h2j9ivGD'
1517452578199642112,2022-04-22 10:37:42+00:00,b'RT @TripleSComms: It was a pleasure working with the @premierleague for the #HallOfFame event last night - what a fantastic evening. Congra\xe2\x80\xa6'
1517401828438204419,2022-04-22 07:16:02+00:00,b'Great night at the @premierleague #HallOfFame event. Congratulations to the other inductees. Enjoyed catching up and chatting through some old stories and rivalries \xf0\x9f\xa4\xa3\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xe2\x9a\xbd\xef\xb8\x8f https://t.co/j5bAfONj0f'
1516128626516930566,2022-04-18 18:56:47+00:00,"b'Absolutely gutted with the outcome from today. Proud of all the players and staff, unbelievable effort from everyone. Thanks to all our fans for the incredible support through some tough times. Hopefully we can start to rebuild as soon as possible. \xf0\x9f\x90\x8f\xf0\x9f\xa4\x8d\xf0\x9f\x96\xa4 #dcfc @dcfcofficial https://t.co/iTf4kBVYFu'"
1515746602706780163,2022-04-17 17:38:45+00:00,"b'RT @Blockassetco: The new Blockasset white paper is now live and public.\n\nGrab a drink, put your feet up and take a deep dive into the soci\xe2\x80\xa6'"
1515246842442928135,2022-04-16 08:32:53+00:00,b'\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc https://t.co/u8Fnootzn1'
